,tmmx_F_7d_mean,tmmn_F_7d_mean,vpd_kPa_7d_mean,vs_m_s_7d_mean,rmin_pct_7d_mean,pr_mm_30d_sum,erc_7d_mean,bi_7d_mean,fm100_pct_7d_mean,fm1000_pct_30d_mean,elevation,slope_degrees,northness,eastness,usdm_intensity,canopy_cover,has_canopy_cover,evc_code,evh_code,fvc_code
tmmx_F_7d_mean,1.0,0.8132253100540716,0.8951651426245454,-0.17247210902150273,-0.509785618281864,-0.31606251450004114,0.5375273058537597,0.44384340821705837,-0.549460640297715,-0.4241356715067763,-0.19909369508158115,-0.14187678350801755,0.021525760355311712,0.02637862397847716,0.002910070037314255,-0.03657787662006745,-0.02179775537278647,0.04319017634974216,0.046434448480249635,-0.0030999971834233713
tmmn_F_7d_mean,0.8132253100540716,1.0,0.7795409959133758,-0.17352990854839928,-0.2729198487915921,-0.2835887565041637,0.532407596864541,0.4184107608602207,-0.5153027459372944,-0.46479401792399655,-0.16149114090817904,-0.014962177949126267,0.0005813841168237286,0.020042508212878212,-0.0034014810546559755,-0.028354216798741016,-0.016974173318608725,0.009888315068809966,0.015283789905197158,-0.02578397739767788
vpd_kPa_7d_mean,0.8951651426245454,0.7795409959133758,1.0,-0.16663608095920737,-0.717711226891274,-0.28184376808525974,0.7627026135490848,0.6401944673478599,-0.7644010046922831,-0.6126265133537505,-0.029398231591719944,-0.055213974476645694,0.029651973480930672,0.047555635045098646,0.05135108120506116,0.0015756673731715672,0.020128432915378757,0.054737183436252834,0.05645517609076942,0.039276752992133
vs_m_s_7d_mean,-0.17247210902150273,-0.17352990854839928,-0.16663608095920737,1.0,0.11552950184930272,0.04417175111597022,-0.14955075801461212,0.3042614895041281,0.13745388312752832,0.15804382711203377,-0.14115622789265903,-0.054283822910472845,0.009987016121636032,0.07884280335007904,-0.03218478261524823,-0.03831242358086636,-0.05801139674413309,0.002832794017541757,0.0013210033523446342,-0.033979535284205616
rmin_pct_7d_mean,-0.509785618281864,-0.2729198487915921,-0.717711226891274,0.11552950184930272,1.0,0.26611629284739874,-0.8074341580094039,-0.7181891913199555,0.8392888863912373,0.6335816773645233,-0.23140800081705928,-0.02963744521810877,-0.01959749898604522,-0.05334558568645992,-0.05936300411735581,-0.02380071978474913,-0.04580645530126625,-0.06241423549512242,-0.06300277989025885,-0.08158992075824181
pr_mm_30d_sum,-0.31606251450004114,-0.2835887565041637,-0.28184376808525974,0.04417175111597022,0.26611629284739874,1.0,-0.39029675170861544,-0.36364883145647403,0.3074179657099691,0.42455280659274736,0.03922480712071084,0.02934722816502944,-0.033974922225755856,-0.008833565948355222,-0.024074718373216973,0.07505345425372817,0.05609811997841384,0.01067252533001634,0.0021138983209586194,0.04500502377922339
erc_7d_mean,0.5375273058537597,0.532407596864541,0.7627026135490848,-0.14955075801461212,-0.8074341580094039,-0.39029675170861544,1.0,0.8502628101501143,-0.9448051792801453,-0.8998506028426777,0.2839961916468454,0.1178985545504695,0.021187121294344732,0.06277786050705993,0.13734124800413366,0.05885121233973193,0.0857426214821613,0.03235264010180613,0.03226645663509529,0.0617376658858333
bi_7d_mean,0.44384340821705837,0.4184107608602207,0.6401944673478599,0.3042614895041281,-0.7181891913199555,-0.36364883145647403,0.8502628101501143,1.0,-0.7965778126496018,-0.7090056738349771,0.17180072069833158,0.037175373100497185,0.021086942016282258,0.078913357414795,0.07727330196210432,-0.01615317662336703,0.0021994814310481114,0.029913924139512483,0.03411495311387784,0.0317532348502836
fm100_pct_7d_mean,-0.549460640297715,-0.5153027459372944,-0.7644010046922831,0.13745388312752832,0.8392888863912373,0.3074179657099691,-0.9448051792801453,-0.7965778126496018,1.0,0.7529906362228618,-0.27863426388524404,-0.11780774011472081,-0.016820780630857523,-0.049911848320128196,-0.11600777374133892,-0.08014870554992481,-0.10353049667759748,-0.046556170242734465,-0.044219322047308246,-0.07754527877689202
fm1000_pct_30d_mean,-0.4241356715067763,-0.46479401792399655,-0.6126265133537505,0.15804382711203377,0.6335816773645233,0.42455280659274736,-0.8998506028426777,-0.7090056738349771,0.7529906362228618,1.0,-0.26484105336760544,-0.12894898212515965,-0.016611262178284472,-0.08173168722996454,-0.15788380962882315,-0.05818294914534095,-0.08726345930694154,-0.01938461763245412,-0.017891403970222607,-0.0477271507064087
elevation,-0.19909369508158115,-0.16149114090817904,-0.029398231591719944,-0.14115622789265903,-0.23140800081705928,0.03922480712071084,0.2839961916468454,0.17180072069833158,-0.27863426388524404,-0.26484105336760544,1.0,0.41879514379425764,0.02230564563423275,0.040907641197371544,0.05381327393091786,0.12912363262839072,0.14263175164399894,-0.015624542847985822,-0.02052098953482982,0.11954834053975773
slope_degrees,-0.14187678350801755,-0.014962177949126267,-0.055213974476645694,-0.054283822910472845,-0.02963744521810877,0.02934722816502944,0.1178985545504695,0.037175373100497185,-0.11780774011472081,-0.12894898212515965,0.41879514379425764,1.0,-0.005292644929948791,-0.031761388791598635,0.050750240291194994,0.237554652816735,0.2119124385899681,-0.043916652935972134,-0.05466303981002355,0.06892920236001052
northness,0.021525760355311712,0.0005813841168237286,0.029651973480930672,0.009987016121636032,-0.01959749898604522,-0.033974922225755856,0.021187121294344732,0.021086942016282258,-0.016820780630857523,-0.016611262178284472,0.02230564563423275,-0.005292644929948791,1.0,0.09602616375211392,0.015262070154656282,-0.0035957472614789156,0.0028816212581595606,-0.02370789883974483,-0.020104214375654256,-0.03890238929058003
eastness,0.02637862397847716,0.020042508212878212,0.047555635045098646,0.07884280335007904,-0.05334558568645992,-0.008833565948355222,0.06277786050705993,0.078913357414795,-0.049911848320128196,-0.08173168722996454,0.040907641197371544,-0.031761388791598635,0.09602616375211392,1.0,0.015564457687414218,-0.006397622875507118,-0.00532336693756794,0.038869339032402535,0.0427442777899417,0.05216140242545052
usdm_intensity,0.002910070037314255,-0.0034014810546559755,0.05135108120506116,-0.03218478261524823,-0.05936300411735581,-0.024074718373216973,0.13734124800413366,0.07727330196210432,-0.11600777374133892,-0.15788380962882315,0.05381327393091786,0.050750240291194994,0.015262070154656282,0.015564457687414218,1.0,0.08214921958587067,0.08719551105562574,0.005860357723835064,0.0002453245138742475,0.007540772988756197
canopy_cover,-0.03657787662006745,-0.028354216798741016,0.0015756673731715672,-0.03831242358086636,-0.02380071978474913,0.07505345425372817,0.05885121233973193,-0.01615317662336703,-0.08014870554992481,-0.05818294914534095,0.12912363262839072,0.237554652816735,-0.0035957472614789156,-0.006397622875507118,0.08214921958587067,1.0,0.9330215607434126,-0.22722420402082974,-0.2703521089182456,0.06189229835228907
has_canopy_cover,-0.02179775537278647,-0.016974173318608725,0.020128432915378757,-0.05801139674413309,-0.04580645530126625,0.05609811997841384,0.0857426214821613,0.0021994814310481114,-0.10353049667759748,-0.08726345930694154,0.14263175164399894,0.2119124385899681,0.0028816212581595606,-0.00532336693756794,0.08719551105562574,0.9330215607434126,1.0,-0.25068137840376525,-0.28484950620051047,0.06099322879114989
evc_code,0.04319017634974216,0.009888315068809966,0.054737183436252834,0.002832794017541757,-0.06241423549512242,0.01067252533001634,0.03235264010180613,0.029913924139512483,-0.046556170242734465,-0.01938461763245412,-0.015624542847985822,-0.043916652935972134,-0.02370789883974483,0.038869339032402535,0.005860357723835064,-0.22722420402082974,-0.25068137840376525,1.0,0.9957221291384143,0.8505362262239727
evh_code,0.046434448480249635,0.015283789905197158,0.05645517609076942,0.0013210033523446342,-0.06300277989025885,0.0021138983209586194,0.03226645663509529,0.03411495311387784,-0.044219322047308246,-0.017891403970222607,-0.02052098953482982,-0.05466303981002355,-0.020104214375654256,0.0427442777899417,0.0002453245138742475,-0.2703521089182456,-0.28484950620051047,0.9957221291384143,1.0,0.8440585150510155
fvc_code,-0.0030999971834233713,-0.02578397739767788,0.039276752992133,-0.033979535284205616,-0.08158992075824181,0.04500502377922339,0.0617376658858333,0.0317532348502836,-0.07754527877689202,-0.0477271507064087,0.11954834053975773,0.06892920236001052,-0.03890238929058003,0.05216140242545052,0.007540772988756197,0.06189229835228907,0.06099322879114989,0.8505362262239727,0.8440585150510155,1.0
