gridmet_id,fbfm40_code,evt_code,evc_code,evh_code,canopy_cover,fvt_code,fvc_code,fbfm40_group
fire_00075,185.0,7105.0,239.0,215.0,55.0,2015.0,105.0,timber_litter
fire_00076,121.0,7110.0,355.0,303.0,0.0,2110.0,115.0,grass_shrub
fire_00077,145.0,7110.0,240.0,213.0,0.0,2110.0,114.0,shrub
fire_00078,102.0,9301.0,339.0,303.0,0.0,2270.0,123.0,grass
fire_00079,183.0,9129.0,136.0,117.0,35.0,2152.0,103.0,timber_litter
fire_00080,122.0,7082.0,226.0,208.0,0.0,2082.0,112.0,grass_shrub
fire_00081,99.0,9213.0,100.0,100.0,0.0,2002.0,100.0,nonburnable_or_other
fire_00082,145.0,7105.0,251.0,218.0,0.0,2105.0,115.0,shrub
fire_00083,144.0,7114.0,131.0,135.0,35.0,2114.0,103.0,shrub
fire_00084,91.0,7296.0,22.0,22.0,0.0,2902.0,22.0,nonburnable_or_other
fire_00085,102.0,9301.0,353.0,304.0,0.0,2270.0,125.0,grass
fire_00086,122.0,7105.0,241.0,221.0,45.0,2030.0,103.0,grass_shrub
fire_00087,102.0,7987.0,353.0,303.0,0.0,2967.0,125.0,grass
fire_00088,102.0,9301.0,344.0,304.0,0.0,2270.0,124.0,grass
fire_00089,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00090,145.0,9301.0,341.0,303.0,0.0,2105.0,114.0,shrub
fire_00091,102.0,9301.0,326.0,304.0,0.0,2270.0,112.0,grass
fire_00092,144.0,9301.0,333.0,303.0,0.0,2105.0,112.0,shrub
fire_00093,163.0,9302.0,139.0,124.0,35.0,2271.0,103.0,timber_understory
fire_00094,102.0,9301.0,347.0,304.0,0.0,2270.0,124.0,grass
fire_00095,102.0,9301.0,348.0,304.0,0.0,2270.0,124.0,grass
fire_00096,186.0,7113.0,153.0,116.0,55.0,2113.0,105.0,timber_litter
fire_00097,122.0,7110.0,231.0,223.0,25.0,2014.0,103.0,grass_shrub
fire_00098,103.0,9301.0,333.0,303.0,0.0,2105.0,112.0,grass
fire_00099,186.0,7131.0,336.0,303.0,45.0,2265.0,104.0,timber_litter
fire_00100,103.0,9301.0,333.0,303.0,0.0,2105.0,112.0,grass
fire_00101,122.0,7110.0,239.0,219.0,25.0,2014.0,103.0,grass_shrub
fire_00102,103.0,7105.0,235.0,216.0,0.0,2105.0,115.0,grass
fire_00103,142.0,7043.0,180.0,128.0,85.0,2043.0,108.0,shrub
fire_00104,102.0,7113.0,130.0,108.0,0.0,2129.0,123.0,grass
fire_00105,102.0,9301.0,339.0,303.0,0.0,2184.0,126.0,grass
fire_00106,122.0,7105.0,238.0,213.0,0.0,2029.0,105.0,grass_shrub
fire_00107,185.0,7015.0,167.0,113.0,65.0,2015.0,106.0,timber_litter
fire_00108,102.0,9301.0,339.0,303.0,0.0,2270.0,124.0,grass
fire_00109,121.0,9301.0,340.0,302.0,0.0,2220.0,114.0,grass_shrub
fire_00110,121.0,7914.0,17.0,17.0,0.0,2917.0,17.0,grass_shrub
fire_00111,122.0,7014.0,132.0,112.0,35.0,2014.0,103.0,grass_shrub
fire_00112,122.0,7029.0,149.0,120.0,45.0,2029.0,104.0,grass_shrub
fire_00113,122.0,7105.0,325.0,308.0,0.0,2105.0,113.0,grass_shrub
fire_00114,165.0,7043.0,172.0,133.0,75.0,2043.0,107.0,timber_understory
fire_00115,122.0,9337.0,215.0,208.0,0.0,2270.0,111.0,grass_shrub
fire_00116,165.0,7043.0,178.0,129.0,75.0,2043.0,107.0,timber_understory
fire_00117,101.0,9336.0,226.0,205.0,0.0,2282.0,114.0,grass
fire_00118,184.0,7030.0,145.0,118.0,45.0,2030.0,104.0,timber_litter
fire_00119,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00120,99.0,9213.0,100.0,100.0,0.0,2002.0,100.0,nonburnable_or_other
fire_00121,188.0,7008.0,130.0,107.0,45.0,2027.0,103.0,timber_litter
fire_00122,101.0,7126.0,218.0,206.0,0.0,2126.0,111.0,grass
fire_00123,121.0,9301.0,326.0,304.0,0.0,2270.0,122.0,grass_shrub
fire_00124,122.0,7662.0,342.0,304.0,0.0,2662.0,124.0,grass_shrub
fire_00125,145.0,7105.0,244.0,219.0,0.0,2105.0,114.0,shrub
fire_00126,101.0,7029.0,145.0,138.0,35.0,2029.0,104.0,grass
fire_00127,145.0,9301.0,337.0,303.0,0.0,2105.0,114.0,shrub
fire_00128,122.0,7029.0,155.0,121.0,55.0,2029.0,105.0,grass_shrub
fire_00129,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00130,165.0,7031.0,141.0,118.0,45.0,2031.0,104.0,timber_understory
fire_00131,189.0,7027.0,142.0,123.0,45.0,2027.0,104.0,timber_litter
fire_00132,123.0,7113.0,148.0,134.0,45.0,2113.0,104.0,grass_shrub
fire_00133,122.0,7110.0,223.0,223.0,0.0,2110.0,112.0,grass_shrub
fire_00134,163.0,9302.0,142.0,124.0,45.0,2271.0,104.0,timber_understory
fire_00135,102.0,9301.0,347.0,303.0,0.0,2270.0,124.0,grass
fire_00136,144.0,7114.0,132.0,111.0,35.0,2114.0,103.0,shrub
fire_00137,165.0,7114.0,140.0,109.0,45.0,2114.0,104.0,timber_understory
fire_00138,93.0,7981.0,61.0,61.0,0.0,2961.0,61.0,nonburnable_or_other
fire_00139,101.0,9301.0,355.0,303.0,0.0,2270.0,123.0,grass
fire_00140,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00141,102.0,7105.0,232.0,208.0,25.0,2029.0,103.0,grass
fire_00142,162.0,7043.0,168.0,135.0,65.0,2043.0,106.0,timber_understory
fire_00143,122.0,9337.0,242.0,229.0,0.0,2270.0,114.0,grass_shrub
fire_00144,122.0,7032.0,137.0,111.0,35.0,2032.0,103.0,grass_shrub
fire_00145,185.0,7980.0,148.0,116.0,45.0,2960.0,104.0,timber_litter
fire_00146,122.0,7110.0,240.0,220.0,55.0,2118.0,105.0,grass_shrub
fire_00147,141.0,7098.0,225.0,204.0,0.0,2098.0,113.0,shrub
fire_00148,183.0,7027.0,134.0,112.0,25.0,2027.0,104.0,timber_litter
fire_00149,165.0,7030.0,150.0,120.0,55.0,2030.0,105.0,timber_understory
fire_00150,165.0,7027.0,152.0,120.0,55.0,2027.0,105.0,timber_understory
fire_00151,122.0,7017.0,134.0,116.0,35.0,2017.0,103.0,grass_shrub
fire_00152,122.0,7087.0,224.0,205.0,0.0,2087.0,112.0,grass_shrub
fire_00153,99.0,9062.0,100.0,100.0,0.0,2002.0,100.0,nonburnable_or_other
fire_00154,93.0,7984.0,64.0,64.0,0.0,2964.0,64.0,nonburnable_or_other
fire_00155,102.0,7980.0,110.0,102.0,15.0,2960.0,101.0,grass
fire_00156,122.0,9337.0,214.0,210.0,0.0,2270.0,111.0,grass_shrub
fire_00157,102.0,7110.0,227.0,218.0,0.0,2129.0,125.0,grass
fire_00158,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00159,122.0,7092.0,228.0,209.0,0.0,2092.0,112.0,grass_shrub
fire_00160,144.0,7105.0,225.0,218.0,0.0,2105.0,112.0,shrub
fire_00161,144.0,7105.0,222.0,211.0,0.0,2105.0,112.0,shrub
fire_00162,99.0,9062.0,31.0,31.0,0.0,31.0,31.0,nonburnable_or_other
fire_00163,93.0,7984.0,64.0,64.0,0.0,2964.0,64.0,nonburnable_or_other
fire_00164,91.0,7297.0,23.0,23.0,0.0,2903.0,23.0,nonburnable_or_other
fire_00165,102.0,9301.0,326.0,304.0,0.0,2270.0,124.0,grass
fire_00166,102.0,9301.0,342.0,303.0,0.0,2270.0,124.0,grass
fire_00167,121.0,9337.0,233.0,209.0,0.0,2270.0,113.0,grass_shrub
fire_00168,93.0,7984.0,64.0,64.0,0.0,2964.0,64.0,nonburnable_or_other
fire_00169,98.0,7292.0,11.0,11.0,0.0,11.0,11.0,nonburnable_or_other
fire_00170,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00171,102.0,9301.0,340.0,303.0,0.0,2270.0,124.0,grass
fire_00172,102.0,9301.0,346.0,304.0,0.0,2270.0,124.0,grass
fire_00173,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00174,102.0,9301.0,340.0,303.0,0.0,2270.0,125.0,grass
fire_00175,122.0,9337.0,220.0,209.0,0.0,2270.0,112.0,grass_shrub
fire_00176,122.0,9337.0,221.0,209.0,0.0,2270.0,112.0,grass_shrub
fire_00177,91.0,7296.0,22.0,22.0,0.0,2902.0,22.0,nonburnable_or_other
fire_00178,122.0,9337.0,216.0,205.0,0.0,2270.0,111.0,grass_shrub
fire_00179,145.0,7110.0,249.0,227.0,0.0,2110.0,114.0,shrub
fire_00180,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00181,121.0,9301.0,325.0,304.0,0.0,2270.0,122.0,grass_shrub
fire_00182,102.0,9301.0,325.0,304.0,0.0,2270.0,123.0,grass
fire_00183,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00184,101.0,9301.0,334.0,303.0,0.0,2270.0,122.0,grass
fire_00185,91.0,7296.0,22.0,22.0,0.0,2902.0,22.0,nonburnable_or_other
fire_00186,102.0,9301.0,347.0,304.0,0.0,2270.0,124.0,grass
fire_00187,121.0,9301.0,341.0,302.0,0.0,2092.0,112.0,grass_shrub
fire_00188,122.0,7092.0,234.0,223.0,0.0,2092.0,113.0,grass_shrub
fire_00189,99.0,9246.0,31.0,31.0,0.0,31.0,31.0,nonburnable_or_other
fire_00190,102.0,7087.0,220.0,205.0,0.0,2087.0,112.0,grass
fire_00191,102.0,7129.0,335.0,304.0,0.0,2129.0,123.0,grass
fire_00192,91.0,7297.0,23.0,23.0,0.0,2903.0,23.0,nonburnable_or_other
fire_00193,163.0,9302.0,139.0,128.0,35.0,2271.0,103.0,timber_understory
fire_00194,122.0,9337.0,218.0,212.0,0.0,2270.0,111.0,grass_shrub
fire_00195,122.0,7087.0,224.0,212.0,0.0,2087.0,112.0,grass_shrub
fire_00196,102.0,7986.0,331.0,304.0,0.0,2966.0,123.0,grass
fire_00197,102.0,7967.0,347.0,304.0,0.0,2967.0,124.0,grass
fire_00198,99.0,9062.0,31.0,31.0,0.0,31.0,31.0,nonburnable_or_other
fire_00199,142.0,7087.0,216.0,205.0,0.0,2087.0,111.0,shrub
fire_00200,93.0,7984.0,64.0,64.0,0.0,2964.0,64.0,nonburnable_or_other
fire_00201,102.0,9336.0,218.0,205.0,0.0,2282.0,111.0,grass
fire_00202,122.0,7092.0,219.0,208.0,0.0,2092.0,111.0,grass_shrub
fire_00203,142.0,7129.0,340.0,302.0,0.0,2110.0,114.0,shrub
fire_00204,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
