pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,288.6,307.5,20.0,65.2,2.6,364.8,53.0,73.0,6.6,8.9,2.42,7.5
0.0,286.8,304.0,24.6,71.9,2.5,365.1,51.0,71.0,7.1,8.9,1.85,6.8
0.0,285.5,299.9,33.0,80.0,3.9,362.2,58.0,68.0,8.1,8.9,1.29,6.5
0.0,285.7,304.7,20.3,68.0,3.2,365.5,56.0,71.0,8.0,8.8,2.03,7.4
0.0,291.7,307.1,16.6,45.5,2.0,255.3,48.0,73.0,7.2,8.7,2.75,6.0
0.0,291.1,309.0,14.2,46.2,2.2,357.5,53.0,76.0,6.6,8.5,3.03,7.5
0.0,290.1,308.6,12.2,42.5,2.9,364.2,60.0,78.0,6.1,8.4,3.04,8.2
0.0,289.5,308.8,14.1,49.9,3.2,360.4,63.0,78.0,6.0,8.2,2.92,8.4
0.0,290.7,308.7,16.0,51.0,2.0,360.4,52.0,78.0,5.9,8.1,2.88,7.2
0.0,290.4,309.3,16.2,54.2,1.6,363.0,49.0,79.0,5.9,8.0,2.91,6.9
0.0,292.6,308.9,17.8,50.3,2.4,353.7,56.0,79.0,6.0,7.9,2.92,7.6
0.0,293.9,307.9,23.2,55.0,2.0,335.9,51.0,78.0,6.2,7.8,2.64,6.9
0.0,293.6,310.1,21.9,60.0,2.2,345.2,53.0,78.0,6.4,7.8,2.87,7.4
0.0,293.1,309.5,20.1,55.8,2.3,352.3,54.0,78.0,6.4,7.7,2.88,7.5
0.0,292.3,310.3,16.1,50.8,1.9,343.4,52.0,80.0,6.3,7.6,3.15,7.1
0.0,292.8,311.7,13.6,46.3,1.8,357.0,53.0,82.0,5.9,7.5,3.51,7.3
0.0,293.4,312.5,13.5,46.3,1.7,347.0,53.0,83.0,5.7,7.4,3.66,7.2
0.0,291.9,311.4,15.2,52.6,2.1,354.1,56.0,83.0,5.7,7.3,3.3,7.6
0.0,291.7,308.8,18.1,53.4,2.9,341.6,61.0,82.0,5.9,7.2,2.84,7.8
0.0,293.7,308.4,22.3,55.4,3.0,344.6,61.0,81.0,6.2,7.2,2.71,7.8
0.0,293.6,308.7,22.9,57.9,2.4,330.6,55.0,80.0,6.4,7.2,2.69,7.2
0.0,293.7,310.3,21.7,59.9,1.5,341.0,48.0,80.0,6.6,7.2,2.91,6.7
0.0,294.1,311.4,18.8,54.9,2.1,342.9,54.0,81.0,6.5,7.2,3.23,7.4
0.0,294.3,312.8,14.5,47.3,2.0,345.4,55.0,83.0,6.2,7.1,3.7,7.5
0.0,293.4,311.7,12.7,42.4,2.1,340.6,57.0,84.0,5.8,7.0,3.61,7.5
0.0,292.9,310.5,14.1,44.7,2.7,349.7,62.0,85.0,5.6,6.9,3.33,8.0
0.0,292.5,311.0,12.9,43.7,2.2,346.1,59.0,86.0,5.5,6.8,3.44,7.5
0.0,293.0,306.6,17.3,42.4,2.5,342.6,60.0,85.0,5.5,6.7,2.76,7.2
0.0,292.8,309.2,14.7,43.3,2.4,336.5,60.0,86.0,5.4,6.6,3.14,7.4
0.0,292.5,310.5,13.1,43.1,2.6,324.7,62.0,87.0,5.4,6.6,3.37,7.7
