pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,285.2,302.1,20.2,69.9,4.1,346.5,63.0,71.0,8.0,8.6,1.7,7.2
0.0,283.1,296.0,15.6,47.3,4.7,358.9,70.0,73.0,7.4,8.5,1.43,6.8
0.0,284.7,300.6,15.2,56.2,3.9,362.3,64.0,74.0,7.2,8.4,1.77,7.3
0.0,294.1,307.0,9.7,35.6,3.1,362.9,62.0,78.0,6.4,8.2,3.08,8.3
0.0,294.8,309.1,8.1,34.7,2.4,360.0,58.0,81.0,5.7,8.0,3.46,7.8
0.0,292.4,307.1,12.0,43.9,3.8,345.4,70.0,81.0,5.5,7.9,2.85,8.6
0.0,289.3,303.9,10.5,41.2,4.5,345.4,76.0,82.0,5.4,7.8,2.43,8.5
0.0,286.6,301.6,9.0,39.3,4.0,364.2,74.0,83.0,5.1,7.6,2.15,7.9
0.0,287.9,300.4,20.5,56.4,5.0,360.8,76.0,80.0,5.7,7.5,1.73,7.7
0.0,289.3,302.4,16.3,49.7,6.1,362.5,87.0,81.0,5.8,7.4,2.08,8.9
0.0,285.3,299.7,22.8,68.2,7.1,359.6,91.0,78.0,6.5,7.4,1.48,7.9
0.0,285.0,296.6,23.4,59.7,6.6,358.6,85.0,77.0,6.9,7.5,1.32,7.2
0.0,291.2,304.1,13.3,43.0,4.3,355.4,72.0,80.0,6.5,7.4,2.44,8.5
0.0,294.9,308.7,12.2,41.9,3.2,356.7,64.0,81.0,6.2,7.3,3.19,8.5
0.0,294.9,309.4,11.7,42.3,2.8,358.5,63.0,83.0,5.8,7.2,3.29,8.2
0.0,291.8,307.9,8.8,39.9,3.1,364.6,67.0,85.0,5.4,7.1,3.06,8.4
0.0,288.4,306.0,10.9,49.3,2.7,357.6,63.0,85.0,5.4,7.0,2.55,7.5
0.0,284.0,302.5,16.3,68.2,2.6,357.5,59.0,83.0,6.0,6.9,1.82,6.6
0.0,283.3,295.4,34.5,83.0,4.7,361.9,67.0,75.0,7.6,7.1,0.92,5.8
0.0,284.8,300.0,25.6,77.8,4.7,361.5,69.0,75.0,8.1,7.2,1.38,6.9
0.0,290.5,305.5,18.7,59.5,5.0,360.1,77.0,79.0,7.6,7.2,2.27,8.8
0.0,294.4,309.4,14.3,49.1,4.4,361.2,74.0,80.0,7.1,7.2,3.1,9.5
0.0,294.0,307.9,11.2,40.3,5.0,366.5,81.0,82.0,6.4,7.1,3.09,10.0
0.0,295.1,309.4,6.8,31.9,4.3,367.0,79.0,86.0,5.6,7.0,3.59,9.9
0.0,292.6,309.4,10.1,44.3,4.7,362.4,81.0,86.0,5.4,6.8,3.21,9.9
0.0,294.3,309.9,13.7,49.2,2.7,360.2,63.0,86.0,5.5,6.7,3.18,8.2
0.0,294.7,309.3,16.1,51.8,3.9,360.3,71.0,84.0,5.8,6.7,3.01,9.0
0.0,295.0,308.0,15.9,47.4,3.9,360.4,72.0,85.0,5.8,6.7,2.92,8.9
0.0,292.5,307.9,4.7,29.4,5.1,372.1,91.0,90.0,4.9,6.5,3.33,10.4
0.0,290.4,304.0,7.0,31.9,5.3,365.3,92.0,90.0,4.5,6.4,2.66,9.5
