pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,287.2,302.6,38.4,100.0,4.8,307.6,50.0,60.0,11.9,8.5,1.23,6.0
0.0,287.0,304.5,22.5,73.5,3.2,307.5,45.0,64.0,10.9,8.5,1.96,6.5
0.0,289.3,306.0,19.3,61.7,2.8,300.2,44.0,67.0,9.7,8.5,2.34,6.5
0.0,289.3,305.4,24.3,71.6,2.7,302.3,43.0,66.0,9.4,8.5,2.06,6.2
0.0,288.1,301.5,31.8,77.6,6.9,300.1,65.0,64.0,9.7,8.7,1.49,7.1
1.2,287.2,295.9,50.7,89.0,6.0,171.1,0.0,43.0,11.5,9.1,0.77,4.0
0.0,287.2,297.1,55.6,100.0,2.9,155.9,34.0,50.0,13.4,9.4,0.63,3.0
0.0,287.0,304.3,28.1,86.9,4.3,296.9,47.0,57.0,12.9,9.5,1.7,6.6
0.0,289.1,307.1,19.7,67.1,3.4,291.8,45.0,61.0,11.3,9.4,2.39,6.9
0.0,290.1,310.3,15.5,62.2,1.9,294.2,38.0,64.0,9.9,9.4,3.0,6.1
0.0,292.0,310.4,12.8,49.4,3.4,294.0,49.0,67.0,8.6,9.3,3.29,7.8
0.0,290.5,310.5,13.0,54.4,4.3,291.5,55.0,68.0,7.8,9.2,3.19,8.6
0.0,291.1,308.9,18.6,62.9,3.2,287.4,47.0,68.0,7.6,9.1,2.73,7.0
0.0,291.3,309.2,16.6,58.8,3.3,287.2,49.0,70.0,7.4,8.8,2.88,7.2
0.0,288.5,307.4,19.1,69.9,4.9,281.8,59.0,69.0,7.6,8.7,2.4,7.9
0.0,286.4,303.6,19.3,65.4,4.9,285.0,58.0,69.0,7.7,8.7,1.99,7.2
0.0,290.2,310.2,9.1,44.1,5.4,285.9,66.0,73.0,6.8,8.5,3.36,9.7
0.0,293.2,312.7,8.4,40.4,4.6,279.8,62.0,75.0,6.1,8.4,3.95,9.5
0.0,294.0,311.9,8.6,37.7,4.5,270.3,62.0,76.0,5.6,8.3,3.89,9.1
0.0,292.8,311.3,10.9,45.1,3.1,271.9,52.0,77.0,5.5,8.1,3.56,7.3
0.0,289.9,309.0,16.0,61.2,3.6,263.2,54.0,76.0,6.0,8.0,2.8,7.1
0.0,289.3,307.4,17.2,61.8,3.3,264.4,51.0,75.0,6.4,7.9,2.55,6.6
0.0,291.2,310.2,13.3,53.3,3.6,260.4,55.0,76.0,6.4,7.8,3.17,7.4
0.0,287.6,305.5,17.5,62.7,4.2,265.4,57.0,75.0,6.7,7.8,2.27,6.9
0.0,285.7,301.8,25.9,77.9,3.4,261.8,49.0,70.0,7.8,8.0,1.59,5.4
0.0,288.7,303.6,23.6,66.7,6.3,261.3,67.0,70.0,8.0,8.0,1.93,7.4
0.0,289.2,305.7,15.7,53.3,5.7,261.5,66.0,73.0,7.6,8.0,2.47,8.2
0.0,288.1,305.6,12.5,48.3,3.2,253.0,51.0,75.0,7.1,7.8,2.54,6.3
7.1,286.4,297.5,33.4,72.5,5.2,244.4,0.0,47.0,10.4,8.6,1.21,5.2
0.5,285.4,294.4,57.2,100.0,2.8,221.3,34.0,51.0,13.0,9.1,0.52,3.1
