pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,282.2,297.8,36.9,100.0,2.7,344.2,27.0,34.0,15.1,16.5,0.85,5.2
0.0,283.8,298.9,35.6,100.0,3.3,341.7,30.0,34.0,15.0,16.4,0.98,5.6
0.0,284.8,299.3,36.8,99.9,2.7,342.0,27.0,34.0,14.9,16.4,0.99,5.5
0.0,285.9,298.9,38.7,95.0,3.4,339.7,30.0,35.0,14.6,16.2,0.98,5.6
0.0,286.4,302.6,31.4,95.9,2.5,340.2,28.0,37.0,14.2,16.1,1.34,6.0
0.0,287.9,308.2,21.8,89.8,2.1,342.0,28.0,40.0,13.2,15.8,2.15,6.8
0.0,288.7,310.1,19.4,83.8,3.2,356.1,35.0,42.0,12.0,15.6,2.54,8.1
0.0,289.2,307.5,23.6,82.3,2.9,356.7,34.0,43.0,11.3,15.3,2.12,7.4
0.0,287.4,307.5,20.7,83.1,3.1,358.9,37.0,45.0,10.8,15.0,2.17,7.6
0.0,285.7,302.8,23.8,79.3,3.3,362.8,38.0,46.0,10.4,14.7,1.65,6.9
0.0,284.9,302.8,19.9,73.1,2.8,370.5,37.0,48.0,9.7,14.4,1.77,6.9
0.0,284.4,299.6,26.7,78.9,2.7,362.8,36.0,48.0,9.7,14.1,1.34,6.1
0.0,284.4,299.4,29.2,83.6,3.2,362.5,39.0,48.0,10.0,13.9,1.25,6.2
0.0,285.1,300.0,29.1,82.5,3.3,362.3,40.0,48.0,10.2,13.8,1.31,6.3
0.0,285.6,301.3,28.6,84.8,2.9,359.8,38.0,49.0,10.4,13.6,1.4,6.3
0.0,286.6,304.6,23.2,81.4,3.5,358.4,43.0,50.0,10.2,13.4,1.82,7.3
0.0,287.3,305.5,23.0,81.1,3.8,352.3,45.0,51.0,10.0,13.2,1.92,7.5
0.0,290.2,305.6,23.8,70.6,3.2,345.5,43.0,53.0,9.4,13.0,2.06,7.3
0.0,289.5,306.6,22.0,73.2,2.6,352.1,40.0,54.0,9.1,12.7,2.16,7.1
0.0,288.7,308.2,22.1,83.7,3.0,352.9,43.0,55.0,9.3,12.6,2.23,7.5
0.0,291.3,310.7,18.5,71.7,2.2,344.7,40.0,57.0,8.8,12.4,2.81,7.4
0.0,291.8,309.8,21.6,74.3,3.5,330.1,48.0,57.0,8.7,12.1,2.57,8.0
0.0,292.6,308.5,24.1,72.1,3.2,339.5,46.0,58.0,8.6,11.9,2.39,7.7
0.0,292.0,307.2,25.8,73.6,2.9,341.5,44.0,58.0,8.6,11.8,2.17,7.3
0.0,292.3,308.3,22.3,68.5,2.4,343.7,43.0,59.0,8.3,11.6,2.45,7.2
0.0,292.3,309.3,19.5,65.3,2.6,346.7,45.0,61.0,8.0,11.4,2.69,7.6
0.0,291.9,307.4,22.7,67.8,2.7,347.0,46.0,62.0,7.9,11.2,2.34,7.3
0.0,291.3,308.3,21.1,69.8,3.3,328.9,51.0,62.0,7.9,11.0,2.45,7.7
0.0,290.9,307.3,26.2,79.6,3.4,337.4,50.0,61.0,8.4,10.9,2.09,7.4
0.0,291.5,309.8,22.6,78.3,2.0,336.4,42.0,62.0,8.7,10.8,2.49,6.9
