pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,278.6,293.7,17.7,55.8,1.2,289.7,46.0,81.0,6.0,7.0,1.17,4.3
0.0,274.8,292.8,15.7,61.5,1.6,310.2,50.0,82.0,6.4,7.0,1.07,4.5
0.0,273.7,291.6,11.8,50.2,1.9,313.5,54.0,83.0,6.4,7.0,1.07,4.6
0.0,273.9,290.1,14.8,53.7,1.9,314.1,52.0,82.0,6.5,7.0,0.95,4.4
0.0,274.2,292.3,9.2,43.0,2.1,320.0,57.0,84.0,6.1,6.9,1.17,4.8
0.0,275.3,293.6,8.1,39.9,1.3,316.8,51.0,86.0,5.7,6.8,1.3,4.5
0.0,276.7,295.2,9.4,43.8,2.8,310.3,65.0,86.0,5.5,6.8,1.4,5.4
0.0,277.5,296.5,8.0,40.6,3.0,309.2,68.0,88.0,5.2,6.6,1.54,5.7
0.0,277.9,296.8,7.1,37.6,2.3,308.9,63.0,89.0,5.0,6.5,1.6,5.4
0.0,278.0,297.1,7.6,39.4,2.1,307.7,61.0,90.0,4.8,6.4,1.61,5.2
0.0,277.8,295.8,8.5,39.8,1.8,306.6,58.0,90.0,4.8,6.3,1.49,4.9
0.0,276.1,294.2,10.4,45.8,1.3,306.3,52.0,89.0,5.1,6.3,1.3,4.4
0.0,275.6,293.9,12.5,52.7,1.4,304.1,51.0,87.0,5.5,6.3,1.22,4.4
0.0,276.3,295.7,8.1,42.1,1.7,301.6,57.0,89.0,5.3,6.2,1.45,4.7
0.0,276.8,296.7,4.2,30.3,2.1,304.0,64.0,92.0,4.7,6.1,1.64,5.1
0.0,279.7,295.2,9.4,36.7,2.8,293.6,67.0,91.0,4.8,6.0,1.49,5.3
0.0,279.2,296.0,12.4,47.2,1.5,292.1,53.0,89.0,5.1,6.0,1.44,4.6
0.0,279.7,296.0,13.5,48.5,2.3,294.1,60.0,88.0,5.4,6.0,1.43,5.0
0.0,279.9,296.2,17.7,59.1,1.7,288.3,53.0,86.0,6.0,6.0,1.33,4.6
0.0,280.7,297.3,14.7,52.2,2.0,281.4,56.0,86.0,6.2,6.1,1.5,4.8
0.0,280.3,297.4,15.9,56.9,3.0,281.9,65.0,86.0,6.4,6.1,1.46,5.3
0.0,279.2,296.6,18.7,65.7,2.3,280.7,56.0,83.0,7.0,6.2,1.3,4.8
0.0,277.9,296.3,17.3,66.3,2.1,284.8,55.0,83.0,7.3,6.3,1.28,4.7
0.0,278.1,297.2,8.2,41.3,2.1,286.8,59.0,87.0,6.5,6.3,1.6,4.9
0.0,276.9,297.2,4.9,33.3,1.4,295.3,55.0,90.0,5.6,6.1,1.66,4.5
0.0,277.7,296.8,10.0,44.7,1.5,284.5,54.0,89.0,5.4,6.1,1.52,4.4
0.0,279.4,294.0,19.8,57.1,1.3,212.0,48.0,85.0,6.0,6.1,1.17,3.5
0.0,278.9,294.4,20.9,62.9,1.5,268.7,50.0,84.0,6.5,6.2,1.15,4.0
0.0,279.1,294.6,19.0,58.3,3.1,272.9,62.0,82.0,6.9,6.3,1.21,4.8
1.7,279.2,291.5,28.5,67.5,3.9,254.6,0.0,60.0,7.9,6.5,0.89,4.4
