pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,288.0,306.6,30.2,97.0,2.9,339.8,36.0,44.0,10.0,15.2,1.69,6.8
0.0,286.7,301.9,39.4,100.0,4.0,342.2,38.0,41.0,11.5,15.1,1.08,6.1
0.0,285.2,298.8,47.1,100.0,3.2,345.2,33.0,39.0,12.9,15.1,0.72,5.2
0.0,285.1,297.7,46.7,100.0,3.2,339.4,33.0,38.0,13.8,15.1,0.73,5.1
0.0,285.2,298.6,45.6,100.0,3.2,346.0,33.0,38.0,14.3,15.1,0.77,5.3
0.0,285.7,301.8,41.8,100.0,2.4,339.8,29.0,37.0,14.6,15.2,0.94,5.5
0.0,287.0,305.5,35.3,100.0,3.5,343.3,35.0,38.0,14.5,15.2,1.35,6.6
0.0,287.2,302.3,39.5,100.0,3.1,345.1,33.0,38.0,14.6,15.2,1.11,6.0
0.0,286.0,297.8,48.1,99.2,4.1,346.0,36.0,37.0,14.7,15.1,0.73,5.3
0.0,284.5,300.8,30.9,88.8,3.9,353.5,38.0,40.0,13.8,15.0,1.26,6.4
0.0,286.0,305.9,19.7,74.8,3.8,351.8,41.0,45.0,12.0,14.6,2.05,7.8
0.0,287.9,307.5,20.4,74.4,2.8,348.3,37.0,47.0,10.9,14.3,2.24,7.3
0.0,287.1,303.2,28.0,79.4,3.0,337.4,38.0,48.0,10.2,14.1,1.59,6.5
0.0,286.0,303.1,27.8,84.2,4.6,347.1,46.0,47.0,10.7,14.0,1.54,7.2
0.0,285.1,298.4,35.6,83.7,5.3,343.8,48.0,46.0,10.9,13.8,1.07,6.2
0.0,284.6,298.3,33.4,81.4,4.4,315.5,44.0,47.0,10.6,13.6,1.11,5.8
0.0,284.2,298.3,32.5,81.5,3.6,294.8,41.0,48.0,10.7,13.4,1.12,5.4
0.0,283.9,302.0,24.5,81.9,4.5,330.5,47.0,50.0,10.5,13.3,1.51,6.9
0.0,285.2,303.0,24.4,79.3,4.0,354.5,45.0,51.0,10.3,13.1,1.63,7.1
0.0,285.3,300.1,33.7,94.6,4.2,359.1,45.0,49.0,11.4,13.2,1.12,6.2
0.0,285.1,299.9,36.2,100.0,4.4,353.8,44.0,46.0,12.4,13.2,1.02,6.0
0.0,284.9,298.9,40.6,100.0,4.7,357.7,43.0,44.0,13.2,13.3,0.85,5.7
0.0,285.2,301.0,34.1,100.0,3.6,356.0,38.0,44.0,13.7,13.3,1.12,6.1
0.0,286.1,302.3,30.3,93.7,3.5,356.8,39.0,45.0,13.4,13.3,1.34,6.5
0.0,285.6,302.0,30.0,94.3,3.5,344.9,39.0,46.0,13.1,13.3,1.32,6.3
0.0,285.4,299.1,37.2,96.2,4.2,339.9,41.0,44.0,13.5,13.4,0.99,5.8
0.0,284.8,297.9,38.9,96.6,4.5,351.4,43.0,44.0,13.5,13.4,0.89,5.6
0.0,285.2,300.9,34.2,100.0,3.6,350.2,39.0,44.0,13.8,13.4,1.11,6.0
0.0,287.7,302.0,39.3,100.0,3.7,343.7,38.0,43.0,14.1,13.4,1.07,6.0
0.0,287.3,304.1,30.9,97.5,4.6,347.7,44.0,44.0,14.0,13.4,1.44,7.0
