pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,287.8,296.3,1.0,20.5,3.5,173.7,64.0,73.0,6.5,9.9,1.98,4.5
0.0,285.5,296.6,1.0,19.3,2.2,167.6,55.0,76.0,5.3,9.6,1.95,3.3
0.0,287.8,300.1,1.0,13.8,2.1,168.6,57.0,80.0,4.3,9.3,2.46,3.4
0.0,287.7,301.0,1.0,17.3,2.2,165.1,60.0,82.0,3.7,8.9,2.49,3.6
0.0,285.0,296.5,9.1,39.0,2.8,153.3,61.0,81.0,4.3,8.6,1.63,3.6
0.0,286.1,297.3,11.4,42.3,1.8,81.4,50.0,79.0,4.8,8.4,1.66,2.7
8.4,284.3,294.0,30.6,70.7,5.6,59.2,0.0,49.0,8.8,9.2,0.96,3.5
0.7,285.5,293.6,53.1,97.4,4.6,129.7,0.0,42.0,12.1,9.8,0.5,2.2
3.8,285.0,294.5,48.3,98.2,4.2,133.6,0.0,36.0,14.9,10.6,0.57,2.3
2.4,284.8,291.3,63.9,100.0,3.1,113.3,0.0,31.0,17.0,11.3,0.28,1.5
0.0,283.5,291.6,39.6,77.9,3.8,151.8,43.0,47.0,15.6,11.5,0.71,2.5
0.0,286.3,294.1,7.7,29.9,4.2,156.0,55.0,57.0,12.0,11.2,1.6,4.4
0.0,289.0,296.6,4.6,25.1,3.9,154.4,58.0,63.0,9.4,11.0,1.96,4.6
0.0,287.8,298.5,4.4,29.0,2.8,151.0,54.0,68.0,7.7,10.5,2.03,3.8
0.0,283.8,294.7,18.7,54.9,2.3,137.5,45.0,65.0,7.7,10.4,1.24,2.6
0.0,282.2,291.7,45.7,95.0,2.3,145.3,39.0,55.0,10.8,10.6,0.53,1.8
0.0,282.2,290.6,27.3,61.0,3.2,147.8,48.0,60.0,10.2,10.4,0.88,2.6
0.0,285.1,289.7,14.2,33.0,4.7,137.1,62.0,64.0,8.7,10.2,1.22,3.9
0.0,285.9,292.2,6.9,26.7,4.0,127.2,63.0,70.0,7.2,10.0,1.5,4.1
0.0,281.7,294.5,10.7,45.7,2.3,142.4,50.0,70.0,7.0,10.0,1.34,2.7
0.0,282.2,290.1,47.8,89.4,2.7,121.5,41.0,57.0,9.8,10.2,0.5,1.7
0.0,281.2,290.0,53.1,100.0,2.4,124.3,36.0,50.0,13.0,10.6,0.36,1.4
0.0,280.6,290.3,28.9,70.6,4.9,137.4,56.0,56.0,12.2,10.4,0.77,2.9
0.0,280.7,291.6,18.2,56.5,2.4,137.9,44.0,60.0,10.9,10.3,1.01,2.4
0.0,281.3,291.6,22.0,61.1,2.2,132.1,42.0,60.0,10.2,10.3,0.96,2.2
0.0,286.9,298.4,9.1,40.5,2.2,121.5,47.0,66.0,8.7,10.2,1.81,3.0
0.0,291.4,299.4,7.9,31.8,2.3,132.4,50.0,69.0,7.4,10.1,2.17,3.2
0.0,281.8,295.8,20.3,71.6,2.3,130.4,45.0,65.0,8.2,10.0,1.14,2.4
0.0,281.9,291.8,25.1,64.7,4.2,125.9,57.0,64.0,8.5,9.8,0.92,3.0
0.0,281.6,293.5,13.5,50.7,3.8,135.6,60.0,68.0,8.2,9.6,1.21,3.4
