pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,283.9,295.0,50.9,100.0,4.2,354.5,31.0,31.0,18.0,15.8,0.53,4.9
0.0,284.9,296.2,51.3,100.0,4.4,350.9,32.0,31.0,17.5,15.8,0.55,5.0
0.0,285.8,299.1,43.1,100.0,3.3,342.5,29.0,33.0,16.9,15.9,0.83,5.5
0.0,287.7,303.3,33.7,100.0,3.0,349.5,29.0,35.0,16.1,15.9,1.34,6.4
0.0,285.1,299.6,38.1,100.0,5.0,354.7,37.0,35.0,15.8,15.7,0.96,6.1
0.0,284.2,296.4,46.9,100.0,5.2,351.9,37.0,34.0,15.8,15.7,0.64,5.2
0.0,283.6,298.6,28.1,86.5,3.3,355.0,33.0,38.0,14.4,15.5,1.2,6.0
0.0,284.8,299.6,18.9,64.5,2.9,363.1,34.0,43.0,12.1,15.1,1.59,6.5
0.0,282.4,295.8,26.1,75.8,3.8,360.3,39.0,44.0,11.2,14.8,1.11,6.0
0.0,282.3,296.4,26.6,79.7,2.8,370.7,35.0,45.0,10.8,14.6,1.12,5.8
0.0,283.6,299.3,23.2,78.3,2.1,287.1,32.0,46.0,10.3,14.4,1.38,5.2
0.0,283.2,299.2,22.2,77.3,3.5,360.6,41.0,49.0,9.9,14.0,1.39,6.5
0.0,285.2,299.6,22.1,70.0,4.2,359.8,46.0,51.0,9.4,13.7,1.5,6.9
0.0,285.6,300.5,24.0,76.0,3.6,361.8,44.0,51.0,9.2,13.5,1.5,6.8
0.0,284.0,300.1,25.2,84.5,4.2,360.3,47.0,51.0,9.6,13.4,1.37,6.7
0.0,284.5,303.0,22.8,89.2,2.2,359.1,36.0,51.0,10.1,13.2,1.61,6.3
0.0,292.3,309.0,16.8,63.2,1.8,355.5,36.0,55.0,9.0,12.9,2.77,7.1
0.0,293.6,310.9,16.8,59.2,2.1,345.4,39.0,57.0,8.2,12.7,3.13,7.5
0.0,293.7,309.1,18.9,58.7,2.4,345.4,42.0,59.0,7.7,12.3,2.84,7.5
0.0,291.8,308.7,17.1,59.4,3.7,347.3,52.0,61.0,7.3,12.0,2.77,8.5
0.0,289.2,305.1,17.5,58.5,4.3,350.0,57.0,62.0,7.0,11.7,2.28,8.3
0.0,288.6,304.8,12.3,47.1,3.1,362.4,52.0,65.0,6.5,11.4,2.46,7.7
0.0,287.2,303.1,13.9,50.7,3.3,357.6,54.0,66.0,6.3,11.1,2.17,7.5
0.0,286.9,302.2,17.8,58.1,3.6,355.3,55.0,66.0,6.4,10.9,1.93,7.3
0.0,287.8,303.5,17.1,57.2,2.9,351.6,51.0,67.0,6.4,10.7,2.1,7.1
0.0,288.2,303.6,20.7,64.5,3.1,349.9,52.0,66.0,6.7,10.5,1.98,7.1
0.0,289.2,307.5,17.2,65.0,3.0,341.4,53.0,68.0,6.8,10.3,2.49,7.6
0.0,293.2,307.8,18.5,55.7,3.4,336.8,56.0,68.0,6.7,10.1,2.71,8.0
0.0,294.1,307.1,23.7,61.2,3.7,332.1,57.0,68.0,6.8,10.0,2.45,7.9
0.0,293.5,307.0,22.3,60.2,3.4,338.7,56.0,69.0,6.9,9.8,2.47,7.8
