pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,287.1,298.7,17.1,36.4,4.8,316.8,83.0,89.0,4.8,6.0,1.8,7.2
0.0,286.7,298.9,13.8,31.6,2.6,333.0,64.0,90.0,4.7,5.9,1.9,6.2
0.0,288.9,300.8,13.5,30.1,2.4,328.5,63.0,91.0,4.7,5.8,2.16,6.3
0.0,290.2,302.5,14.1,31.9,2.6,325.7,65.0,91.0,4.6,5.7,2.34,6.6
0.0,292.1,302.8,13.3,27.3,2.2,328.5,62.0,92.0,4.5,5.7,2.52,6.4
0.0,292.5,304.5,12.8,28.6,2.8,321.7,68.0,93.0,4.4,5.6,2.72,7.0
0.0,292.1,304.4,11.7,27.0,2.3,322.8,64.0,94.0,4.3,5.5,2.73,6.5
0.0,291.9,303.0,14.4,29.9,1.5,286.0,54.0,92.0,4.4,5.5,2.48,5.3
0.0,291.1,302.4,15.8,32.9,2.4,310.3,63.0,93.0,4.5,5.4,2.32,6.2
0.0,291.1,302.0,12.5,26.5,2.6,313.7,66.0,94.0,4.4,5.4,2.42,6.4
0.0,290.4,301.4,14.7,30.4,1.9,302.2,59.0,93.0,4.5,5.3,2.25,5.6
0.0,291.0,301.4,17.0,33.1,3.0,304.2,68.0,92.0,4.6,5.3,2.2,6.5
0.0,290.5,301.3,21.5,41.6,4.3,304.3,78.0,90.0,5.1,5.3,2.0,7.0
0.0,289.9,301.7,20.7,42.9,2.8,304.5,64.0,90.0,5.4,5.4,2.01,6.2
0.0,289.8,302.8,12.7,30.5,2.5,313.0,65.0,92.0,5.1,5.3,2.4,6.3
0.0,290.6,302.8,9.3,22.7,3.4,311.1,76.0,95.0,4.6,5.2,2.58,7.1
0.0,289.1,301.5,9.7,23.9,3.2,310.0,74.0,95.0,4.3,5.2,2.36,6.7
0.0,287.7,298.6,15.6,32.1,3.3,307.2,72.0,94.0,4.5,5.2,1.87,6.2
0.0,286.9,298.7,14.8,32.6,2.6,305.9,66.0,94.0,4.6,5.1,1.86,5.7
0.0,286.4,297.9,16.5,35.3,4.5,306.5,83.0,93.0,4.8,5.1,1.73,6.6
0.0,285.7,296.5,16.9,34.6,3.9,305.1,76.0,92.0,5.0,5.1,1.61,6.1
0.0,285.3,297.6,14.6,33.6,3.0,303.4,69.0,93.0,5.0,5.1,1.72,5.7
0.0,285.7,296.9,12.4,27.4,3.5,302.5,75.0,94.0,4.8,5.1,1.76,6.0
0.0,285.8,296.2,18.3,36.1,3.8,292.1,75.0,92.0,5.0,5.1,1.56,5.9
0.0,286.0,297.0,23.0,45.6,3.0,290.7,65.0,90.0,5.5,5.2,1.48,5.4
0.0,285.1,296.8,24.4,50.3,3.6,284.5,69.0,88.0,6.1,5.3,1.39,5.5
0.0,284.1,294.7,24.0,46.7,3.8,286.3,70.0,87.0,6.4,5.4,1.27,5.3
0.0,283.9,296.2,16.6,37.5,2.6,291.2,62.0,89.0,6.1,5.4,1.52,5.1
0.0,287.8,299.6,14.9,38.9,3.3,275.1,70.0,90.0,5.9,5.4,1.92,5.9
0.0,289.7,302.1,10.5,31.7,2.9,274.8,69.0,92.0,5.4,5.4,2.36,6.0
