pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,285.8,298.8,25.1,58.5,1.9,309.1,39.0,68.0,7.9,8.5,1.46,5.2
0.0,284.7,296.9,35.7,76.2,1.5,303.6,35.0,65.0,8.8,8.5,1.03,4.6
0.0,284.3,297.0,30.3,68.1,1.1,308.2,33.0,66.0,8.9,8.5,1.17,4.5
0.0,286.4,301.2,22.8,59.6,2.8,307.2,45.0,69.0,8.1,8.4,1.68,5.9
0.0,290.2,303.1,18.5,44.2,3.0,308.6,49.0,72.0,7.3,8.3,2.18,6.5
0.0,291.1,303.9,17.0,40.8,1.6,304.6,40.0,74.0,6.7,8.2,2.35,5.5
0.0,289.2,301.1,17.3,39.7,1.8,303.4,41.0,74.0,6.3,8.1,2.03,5.4
0.0,289.0,302.4,19.5,47.7,2.1,300.5,44.0,75.0,6.2,8.1,2.02,5.6
0.0,288.2,299.5,24.5,51.3,1.8,298.2,40.0,73.0,6.5,7.9,1.63,5.1
0.0,287.7,299.9,25.7,56.4,1.8,268.4,40.0,72.0,6.8,7.8,1.59,4.8
0.0,288.1,301.2,22.6,53.3,2.4,296.2,45.0,74.0,6.8,7.8,1.78,5.6
0.0,286.7,299.7,24.9,57.8,1.6,283.6,39.0,74.0,6.9,7.7,1.55,4.7
0.0,287.1,301.0,20.5,51.7,2.5,286.9,46.0,74.0,6.9,7.7,1.79,5.5
0.0,290.0,303.4,13.7,35.9,3.2,298.1,53.0,77.0,6.3,7.7,2.39,6.6
0.0,292.7,305.1,11.5,29.5,2.1,293.2,46.0,79.0,5.6,7.5,2.81,5.9
0.0,293.3,304.7,11.2,27.3,2.4,289.8,50.0,81.0,5.0,7.2,2.83,6.1
0.0,290.3,303.5,16.0,39.9,2.8,285.4,52.0,81.0,5.0,7.1,2.32,6.1
0.0,288.6,301.8,16.5,41.2,1.5,289.8,42.0,81.0,5.2,7.0,2.07,4.9
0.0,289.8,303.6,10.0,29.2,3.7,289.3,60.0,83.0,4.9,6.9,2.55,7.0
0.0,293.1,307.4,6.4,27.9,2.3,281.8,52.0,86.0,4.4,6.7,3.24,6.1
0.0,295.2,308.4,7.0,27.2,2.1,277.2,50.0,87.0,4.1,6.6,3.49,5.9
0.0,294.3,306.7,9.8,31.4,2.1,260.0,50.0,87.0,4.1,6.5,3.08,5.6
0.0,292.3,306.6,13.2,41.9,3.7,188.9,60.0,85.0,4.5,6.4,2.75,6.4
0.0,288.7,301.5,23.7,59.7,2.9,266.5,51.0,81.0,5.5,6.4,1.72,5.4
2.2,285.8,299.6,37.6,93.2,3.3,255.8,0.0,53.0,9.1,7.0,1.01,4.6
3.8,282.6,286.6,100.0,100.0,3.5,189.5,0.0,33.0,15.3,8.2,0.0,1.8
0.0,282.2,296.9,41.3,100.0,2.1,250.3,33.0,53.0,15.8,8.7,0.71,3.7
0.0,285.8,299.6,28.6,74.3,1.7,258.0,34.0,58.0,13.9,8.9,1.32,4.2
0.0,288.7,302.7,16.0,47.9,2.2,261.4,40.0,63.0,11.4,8.9,2.09,5.1
0.0,290.5,304.4,15.9,47.0,3.6,250.2,50.0,66.0,9.7,8.9,2.32,6.2
