pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,284.1,297.1,39.0,80.2,4.8,358.6,52.0,51.0,10.4,12.7,0.98,5.9
0.0,282.6,295.4,35.7,73.2,3.9,369.4,48.0,52.0,10.2,12.5,0.97,5.7
0.0,282.1,302.2,24.9,91.3,2.8,359.1,43.0,54.0,10.6,12.4,1.51,6.3
0.0,287.2,307.7,19.3,72.3,1.7,357.2,39.0,57.0,9.8,12.2,2.37,6.6
0.0,290.2,309.3,20.8,69.9,2.7,353.6,46.0,58.0,9.1,12.0,2.6,7.7
0.0,286.5,305.6,23.3,78.8,3.7,360.6,52.0,58.0,9.1,11.9,1.97,7.6
0.0,286.0,302.5,23.5,68.9,3.4,346.6,50.0,59.0,8.8,11.7,1.75,6.9
0.0,285.3,299.7,31.3,78.5,4.1,358.4,53.0,57.0,9.2,11.6,1.31,6.5
0.0,286.2,301.0,31.8,80.8,3.1,359.5,46.0,57.0,9.7,11.5,1.38,6.4
0.0,285.8,304.0,24.0,77.1,3.7,359.8,52.0,59.0,9.5,11.4,1.81,7.3
0.0,286.0,298.5,33.8,74.8,5.0,352.9,58.0,57.0,9.7,11.3,1.23,6.5
0.0,284.6,300.4,20.9,60.7,3.6,363.1,53.0,61.0,8.9,11.2,1.66,6.9
0.0,284.2,304.9,20.1,77.5,3.3,350.5,52.0,62.0,8.8,11.0,1.96,7.3
0.0,287.5,309.2,17.8,72.1,2.9,360.4,50.0,63.0,8.4,10.9,2.61,8.0
0.0,290.4,309.6,18.2,62.9,3.2,361.1,53.0,65.0,7.9,10.7,2.79,8.4
0.0,288.2,305.5,23.7,71.4,3.7,361.0,56.0,64.0,8.0,10.5,2.04,7.7
0.0,285.2,302.6,29.1,87.3,4.1,359.6,56.0,62.0,9.0,10.5,1.5,7.0
0.0,285.2,300.8,33.1,88.2,4.2,358.5,54.0,59.0,10.0,10.5,1.28,6.5
0.0,285.8,298.6,36.6,81.7,2.8,307.2,43.0,57.0,10.4,10.6,1.13,5.3
0.0,286.6,304.3,25.1,77.4,2.9,358.6,48.0,60.0,10.0,10.6,1.82,6.9
0.0,288.1,307.3,20.6,70.8,2.6,351.0,47.0,62.0,9.5,10.5,2.32,7.3
0.0,286.8,305.8,22.9,76.9,3.6,347.0,54.0,62.0,9.4,10.4,2.03,7.5
0.0,286.2,308.0,16.6,69.2,2.3,367.3,47.0,65.0,8.8,10.3,2.49,7.4
0.0,287.5,311.4,12.6,62.0,2.5,366.5,51.0,68.0,7.9,10.1,3.17,8.2
0.0,292.4,310.9,12.9,45.9,3.7,363.6,62.0,70.0,7.1,9.8,3.38,9.4
0.0,288.0,307.8,17.3,63.6,4.3,362.2,65.0,70.0,7.0,9.6,2.52,8.9
0.0,288.0,303.7,27.2,73.5,3.5,358.4,55.0,67.0,7.6,9.6,1.77,7.2
0.0,288.1,307.1,16.5,58.5,3.5,365.4,59.0,70.0,7.3,9.5,2.51,8.3
0.0,287.8,304.2,17.9,54.3,4.2,360.5,65.0,71.0,7.0,9.3,2.18,8.2
0.0,287.6,304.2,20.8,62.1,3.2,359.7,56.0,71.0,7.0,9.2,2.05,7.4
