pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,285.9,302.3,34.4,93.6,5.4,302.5,43.0,43.0,13.9,13.3,1.29,6.3
0.0,287.4,297.9,50.5,92.8,4.1,296.5,35.0,41.0,14.3,13.4,0.77,4.7
0.0,285.0,299.1,41.2,96.6,4.1,304.9,36.0,41.0,14.6,13.4,0.94,5.1
0.0,284.4,300.8,33.7,92.9,4.9,302.9,40.0,43.0,14.3,13.4,1.2,5.9
0.0,285.3,304.1,28.2,90.8,4.9,285.5,41.0,44.0,13.7,13.4,1.58,6.6
0.0,286.7,300.0,40.1,89.1,5.3,297.3,41.0,43.0,13.6,13.5,1.07,5.6
0.0,286.6,297.2,48.4,90.0,5.4,294.1,41.0,41.0,13.8,13.5,0.79,4.9
0.5,286.2,295.6,47.0,81.6,3.3,234.3,31.0,40.0,13.6,13.5,0.8,4.0
0.0,286.1,298.3,44.7,92.4,2.1,234.8,27.0,41.0,13.9,13.5,0.87,3.9
0.0,285.8,302.6,29.8,84.3,2.7,293.0,32.0,45.0,13.1,13.4,1.48,5.4
0.0,286.6,306.3,23.6,81.0,3.3,290.5,36.0,47.0,12.2,13.3,1.98,6.4
0.0,284.7,306.2,25.1,96.0,3.9,291.5,38.0,46.0,12.7,13.3,1.82,6.6
0.0,285.8,303.3,28.0,83.3,3.1,291.1,35.0,47.0,12.2,13.2,1.58,5.7
0.0,286.3,299.9,34.9,80.1,3.5,288.2,36.0,46.0,11.9,13.1,1.22,5.2
0.0,286.0,299.5,37.7,85.5,4.0,285.0,38.0,46.0,12.1,13.1,1.11,5.2
0.0,286.3,298.6,37.5,84.8,4.5,284.2,40.0,46.0,12.2,13.0,1.05,5.1
0.0,285.4,298.3,40.3,93.7,5.4,280.8,43.0,44.0,13.0,13.1,0.92,5.0
0.0,284.6,298.7,37.8,95.8,4.6,284.3,39.0,44.0,13.7,13.2,0.96,5.0
0.0,285.4,309.5,16.3,86.6,3.2,284.8,37.0,48.0,12.8,13.1,2.47,6.9
0.0,285.8,304.8,24.2,87.3,2.5,279.2,32.0,47.0,12.5,13.1,1.74,5.4
0.0,284.9,307.4,18.6,87.8,3.3,271.8,37.0,49.0,12.2,13.0,2.13,6.4
0.0,284.8,306.2,20.3,88.0,4.1,273.6,41.0,49.0,12.0,12.9,1.96,6.6
0.0,283.7,301.4,30.0,98.1,3.6,271.4,36.0,46.0,13.0,13.0,1.25,5.1
0.0,283.4,306.7,20.3,99.0,3.2,263.8,35.0,46.0,13.6,13.0,1.93,6.0
0.0,284.2,300.0,34.3,97.7,3.8,259.1,36.0,43.0,14.2,13.1,1.08,4.7
0.0,284.0,296.0,47.9,100.0,4.0,260.2,34.0,40.0,15.2,13.4,0.63,3.8
0.0,283.8,299.6,37.6,100.0,6.1,255.2,43.0,40.0,15.7,13.6,0.95,5.0
0.0,284.9,302.0,31.0,96.3,4.6,262.6,38.0,41.0,15.4,13.7,1.29,5.4
0.0,284.8,304.2,23.6,88.3,3.9,260.2,37.0,43.0,14.4,13.7,1.68,5.8
0.0,284.1,299.3,35.4,96.8,5.4,259.3,41.0,41.0,14.8,13.7,1.03,5.0
