pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,288.4,309.4,25.5,88.1,4.0,350.5,47.0,52.0,11.3,12.4,2.27,8.3
0.0,291.7,310.8,27.3,82.3,2.5,350.4,39.0,53.0,10.8,12.4,2.48,7.6
0.0,290.7,310.8,27.2,87.3,3.4,351.5,44.0,53.0,10.8,12.3,2.42,8.2
0.0,286.2,307.1,30.3,100.0,3.8,344.5,45.0,51.0,11.7,12.4,1.75,7.3
0.0,286.3,302.4,36.7,94.7,3.5,339.0,42.0,49.0,12.2,12.3,1.27,6.2
0.0,285.9,303.0,33.1,91.3,3.3,345.6,42.0,50.0,12.2,12.3,1.42,6.4
0.0,286.1,306.8,28.7,98.3,3.1,350.6,41.0,50.0,12.6,12.3,1.81,7.1
0.0,290.6,310.7,25.1,81.5,2.5,351.9,39.0,52.0,11.6,12.2,2.53,7.6
0.0,287.2,309.2,25.8,95.2,3.5,354.9,44.0,52.0,11.8,12.3,2.17,7.9
0.0,286.0,303.5,29.9,85.3,3.8,358.0,45.0,51.0,11.5,12.3,1.57,7.0
0.0,285.9,304.8,23.5,74.5,3.5,359.3,46.0,54.0,10.5,12.1,1.91,7.4
0.0,285.4,303.2,21.1,63.9,3.2,362.3,46.0,57.0,9.5,11.7,1.88,7.1
0.0,285.2,304.0,19.7,63.8,4.1,358.1,54.0,60.0,8.7,11.5,1.99,7.8
0.0,285.6,300.2,23.2,57.5,5.1,367.8,61.0,61.0,8.2,11.2,1.64,7.6
0.0,284.3,303.5,13.8,48.7,2.9,344.8,50.0,64.0,7.3,11.0,2.16,7.1
0.0,284.4,304.2,16.0,56.8,3.1,361.0,52.0,65.0,7.0,10.8,2.13,7.4
0.0,284.1,304.8,20.0,72.7,3.2,360.7,52.0,65.0,7.3,10.7,1.99,7.3
0.0,285.3,307.1,21.7,82.1,2.9,359.5,49.0,64.0,7.9,10.6,2.14,7.4
0.0,291.6,311.5,17.9,59.4,2.6,361.1,49.0,67.0,7.4,10.3,3.13,8.2
0.0,292.3,311.1,16.6,52.4,4.0,360.2,61.0,68.0,6.9,10.1,3.21,9.5
0.0,291.7,311.2,14.4,48.4,3.1,356.8,56.0,71.0,6.4,9.8,3.32,8.7
0.0,292.4,309.6,13.8,41.0,2.7,246.8,53.0,71.0,5.9,9.7,3.22,7.1
0.0,289.0,307.6,15.9,51.0,4.3,353.7,67.0,73.0,5.9,9.5,2.67,9.0
0.0,286.9,306.1,17.6,58.3,3.3,361.8,59.0,73.0,6.1,9.3,2.34,7.9
0.0,287.4,309.1,14.2,55.9,2.7,361.7,56.0,74.0,6.0,9.1,2.83,7.9
0.0,290.9,309.7,15.1,48.8,3.2,357.4,60.0,76.0,5.9,8.9,3.05,8.5
0.0,291.0,308.4,22.9,69.6,3.4,356.0,59.0,73.0,6.4,8.8,2.45,8.1
0.0,291.0,310.3,19.1,66.6,3.1,363.0,58.0,74.0,6.6,8.7,2.84,8.4
0.0,293.3,313.1,12.6,49.0,3.5,366.5,64.0,77.0,6.2,8.6,3.75,9.6
0.0,294.2,314.2,10.1,42.3,3.8,368.5,69.0,79.0,5.6,8.4,4.16,10.3
