pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,295.9,308.2,11.2,33.2,3.1,347.5,66.0,85.0,4.8,7.4,3.33,8.3
0.0,297.5,309.0,11.2,31.7,3.1,322.4,67.0,86.0,4.6,7.2,3.56,8.2
0.0,296.5,305.8,14.8,34.1,3.3,336.5,68.0,86.0,4.6,7.1,2.96,8.0
0.0,295.3,303.1,18.4,36.7,3.3,338.4,67.0,85.0,4.8,7.0,2.5,7.6
0.0,294.5,303.2,15.2,33.8,4.3,340.3,77.0,86.0,4.8,6.9,2.57,8.3
0.0,293.9,303.8,12.3,31.4,3.4,344.6,71.0,88.0,4.6,6.7,2.7,7.9
0.0,294.1,303.7,15.1,35.3,3.2,343.6,68.0,87.0,4.7,6.6,2.58,7.6
0.0,296.0,306.1,12.0,31.1,2.7,338.4,65.0,89.0,4.5,6.5,3.08,7.5
0.0,295.1,305.5,13.6,34.2,2.8,332.0,66.0,89.0,4.5,6.4,2.88,7.4
0.0,293.4,302.8,13.9,33.1,3.5,333.0,72.0,89.0,4.5,6.3,2.51,7.6
0.0,293.6,303.6,15.6,36.9,3.0,334.7,67.0,89.0,4.7,6.3,2.52,7.3
0.0,293.3,303.2,16.0,37.3,4.3,320.1,79.0,89.0,4.8,6.2,2.45,8.0
0.0,292.6,303.1,10.0,28.7,4.2,340.4,81.0,91.0,4.5,6.1,2.64,8.3
0.0,292.4,302.3,10.8,29.1,4.1,337.9,80.0,92.0,4.4,6.0,2.53,8.1
0.0,291.2,303.7,9.8,31.6,4.2,334.2,83.0,93.0,4.2,5.9,2.6,8.2
0.0,291.4,304.3,9.4,31.4,4.3,322.0,84.0,93.0,4.1,5.8,2.69,8.3
0.0,292.3,302.0,11.6,30.2,3.1,276.2,70.0,93.0,4.2,5.7,2.46,6.7
0.0,292.4,301.8,13.1,33.4,3.9,277.9,77.0,92.0,4.3,5.6,2.4,7.2
0.0,286.4,299.5,8.4,31.9,3.3,328.8,76.0,95.0,4.2,5.5,2.04,6.8
0.0,286.3,295.8,17.6,41.3,4.2,330.6,78.0,91.0,4.7,5.5,1.54,6.5
0.0,286.5,296.7,21.7,49.7,3.8,328.3,72.0,89.0,5.3,5.6,1.48,6.3
0.0,288.5,298.9,19.7,46.6,4.1,327.0,75.0,89.0,5.6,5.6,1.75,6.9
0.0,290.5,299.7,21.5,46.3,3.8,323.0,72.0,88.0,5.8,5.7,1.84,6.8
0.0,292.2,301.6,17.0,39.4,3.6,320.4,72.0,89.0,5.7,5.7,2.23,7.2
0.0,290.8,300.8,16.6,40.3,3.3,324.8,69.0,89.0,5.6,5.6,2.1,6.8
0.0,290.5,299.2,20.2,43.1,3.5,286.9,68.0,87.0,5.7,5.7,1.86,6.4
0.0,287.9,295.5,38.3,66.7,3.3,159.5,57.0,78.0,6.9,5.8,1.07,4.0
0.0,287.6,295.6,47.5,81.7,5.1,307.6,69.0,75.0,8.6,6.1,0.81,5.2
0.0,288.8,298.3,35.0,68.8,3.1,293.2,56.0,75.0,8.9,6.3,1.25,5.4
2.6,290.2,301.3,23.3,54.3,2.8,303.7,0.0,58.0,9.2,6.6,1.84,6.1
