pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,287.9,306.8,21.5,78.3,3.9,354.6,69.0,82.0,6.6,6.8,2.18,8.0
0.0,288.9,308.1,20.5,76.3,3.7,352.1,67.0,81.0,7.2,6.8,2.39,8.1
0.0,289.1,306.2,23.0,74.6,3.9,351.1,67.0,79.0,7.6,6.9,2.13,7.9
0.0,288.8,306.5,23.8,79.2,3.9,348.7,66.0,77.0,8.1,7.0,2.09,7.8
0.0,289.6,310.2,19.3,77.9,3.3,349.4,62.0,78.0,8.3,7.1,2.68,8.2
0.0,288.6,307.5,21.3,77.6,3.9,349.9,66.0,77.0,8.4,7.2,2.28,8.1
0.0,288.3,305.1,24.7,77.9,3.9,346.7,64.0,75.0,8.7,7.3,1.94,7.5
0.0,288.0,304.8,24.9,78.7,3.7,343.1,62.0,74.0,8.9,7.4,1.89,7.3
0.0,287.6,304.7,24.7,79.7,4.6,350.1,68.0,74.0,9.1,7.5,1.87,7.8
0.0,287.9,306.7,20.6,75.5,3.4,348.8,61.0,75.0,8.9,7.6,2.22,7.6
0.0,288.0,306.1,20.8,73.3,3.7,345.3,63.0,75.0,8.7,7.6,2.17,7.7
0.0,287.6,308.5,15.4,68.3,3.2,347.7,61.0,77.0,8.2,7.6,2.63,7.9
0.0,289.9,310.1,13.9,60.5,3.5,346.3,65.0,78.0,7.6,7.5,3.01,8.6
0.0,289.1,309.8,13.9,62.3,4.0,343.8,70.0,79.0,7.2,7.5,2.93,8.9
0.0,288.7,310.3,13.4,63.6,3.4,344.7,66.0,80.0,7.0,7.4,3.0,8.5
0.0,289.3,310.1,14.0,62.7,3.8,346.0,69.0,81.0,6.8,7.4,2.97,8.8
0.0,288.7,309.4,15.0,65.9,4.4,342.7,74.0,80.0,6.8,7.3,2.8,9.1
0.0,287.4,309.0,15.2,73.0,3.8,345.9,69.0,80.0,7.1,7.3,2.65,8.5
0.0,286.9,308.8,14.4,71.8,3.5,340.8,66.0,80.0,7.2,7.3,2.64,8.1
0.0,288.4,309.0,15.3,69.3,4.1,327.9,71.0,79.0,7.3,7.4,2.7,8.5
0.0,289.3,309.5,14.6,65.5,4.0,331.2,70.0,80.0,7.1,7.3,2.84,8.6
0.0,288.8,307.0,21.1,76.6,4.4,330.2,70.0,77.0,7.7,7.4,2.24,8.0
0.0,286.9,300.7,37.2,95.3,4.4,326.2,62.0,69.0,9.7,7.7,1.17,6.0
0.0,286.5,303.8,30.9,99.2,3.5,324.3,55.0,67.0,11.2,8.0,1.48,6.3
0.0,288.0,306.4,24.0,85.5,2.9,320.7,52.0,68.0,11.0,8.1,2.01,6.7
0.0,290.3,308.5,18.9,70.2,3.3,321.1,58.0,71.0,10.0,8.2,2.56,7.6
0.0,291.3,310.3,16.8,67.0,3.5,320.2,61.0,72.0,9.1,8.2,2.91,8.1
0.0,290.0,309.6,17.2,70.7,3.9,319.5,64.0,73.0,8.7,8.2,2.74,8.2
0.0,289.0,304.8,25.8,78.6,3.9,317.6,61.0,70.0,9.0,8.3,1.88,7.0
0.0,288.7,309.5,16.7,74.0,3.2,321.1,59.0,73.0,8.7,8.2,2.68,7.6
