pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,291.4,304.9,31.3,81.1,2.5,261.9,37.0,49.0,12.6,12.3,1.71,5.3
0.0,292.2,308.4,25.7,80.1,2.9,251.7,40.0,51.0,11.8,12.2,2.22,6.0
0.0,293.6,309.8,27.9,84.6,3.0,256.8,41.0,52.0,11.9,12.1,2.27,6.2
0.0,291.6,304.2,39.9,93.5,3.1,255.8,39.0,47.0,13.4,12.3,1.33,5.1
0.0,289.9,300.9,46.3,97.3,3.2,260.8,37.0,44.0,14.6,12.5,0.95,4.6
0.0,289.0,297.6,54.7,98.1,2.9,212.8,32.0,39.0,15.8,12.8,0.66,3.5
0.0,289.8,297.6,54.1,92.6,3.0,235.3,32.0,37.0,16.6,13.1,0.72,3.8
0.0,290.3,300.3,42.0,85.0,2.3,256.3,30.0,40.0,16.2,13.3,1.13,4.4
0.0,288.4,298.2,47.6,93.6,2.6,254.8,31.0,38.0,16.6,13.5,0.83,4.0
0.0,288.1,300.5,39.6,93.3,2.4,255.3,30.0,39.0,16.5,13.7,1.08,4.3
0.0,290.6,299.1,45.3,83.1,2.8,249.9,32.0,39.0,16.1,13.7,1.03,4.3
0.0,291.4,298.9,46.6,80.1,2.7,233.7,30.0,38.0,15.8,13.8,1.04,4.2
0.0,285.4,295.8,59.1,100.0,3.3,139.9,30.0,34.0,16.8,14.0,0.38,2.3
0.0,285.1,297.2,37.0,88.0,3.0,252.6,33.0,39.0,16.2,14.0,0.97,4.1
0.0,285.2,298.0,36.3,90.2,2.5,250.3,30.0,39.0,15.9,14.1,1.0,4.0
0.0,285.5,303.3,18.1,71.0,2.7,250.1,36.0,45.0,13.5,13.9,1.86,5.2
0.0,286.8,304.6,10.4,50.3,2.6,251.6,39.0,50.0,11.0,13.6,2.35,5.5
0.0,287.2,303.4,16.7,61.1,2.4,246.2,38.0,52.0,9.8,13.2,2.02,5.0
0.0,286.8,305.0,17.8,71.1,2.4,244.7,39.0,54.0,9.3,13.0,2.06,5.1
0.0,288.4,307.6,13.9,63.0,1.8,241.2,38.0,57.0,8.6,12.6,2.55,4.8
0.0,287.8,306.6,17.4,71.8,2.1,238.7,40.0,57.0,8.4,12.3,2.25,4.9
0.0,288.6,301.6,28.0,73.6,2.6,234.6,40.0,55.0,9.3,12.2,1.55,4.5
0.0,289.8,299.6,33.2,73.0,2.5,233.1,38.0,53.0,10.0,12.2,1.31,4.2
0.0,288.7,299.0,37.4,82.4,2.7,232.2,38.0,50.0,11.2,12.3,1.1,4.0
0.0,287.0,297.2,41.5,89.3,3.0,227.3,37.0,47.0,12.8,12.5,0.87,3.7
0.0,285.6,301.8,20.0,74.3,2.0,234.9,36.0,51.0,12.0,12.4,1.63,4.1
0.0,286.3,304.6,12.9,63.6,1.8,230.6,37.0,56.0,10.4,12.2,2.13,4.3
0.0,287.6,308.9,4.1,45.6,1.7,233.3,41.0,61.0,8.6,11.8,3.07,4.7
0.0,287.5,308.9,5.0,48.8,2.4,230.3,48.0,64.0,7.4,11.5,3.01,5.5
0.0,286.6,300.8,26.1,79.2,2.4,224.6,42.0,58.0,8.8,11.5,1.42,4.1
