pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
1.5,282.6,295.9,37.6,91.6,2.6,203.7,0.0,21.0,14.7,17.6,0.86,3.5
2.2,278.9,288.5,59.1,100.0,3.7,194.1,0.0,18.0,16.5,17.9,0.28,2.3
2.0,279.0,287.9,50.4,91.6,3.9,197.6,0.0,18.0,16.9,18.0,0.42,2.7
0.0,279.7,290.3,44.5,91.0,2.6,248.5,23.0,28.0,16.3,17.8,0.55,3.1
0.0,279.2,292.3,37.4,91.7,2.5,266.4,24.0,30.0,15.8,17.7,0.69,3.5
0.0,279.5,295.2,32.0,93.9,1.2,198.1,20.0,31.0,15.4,17.5,0.88,2.9
0.6,279.9,289.6,59.4,100.0,2.6,244.5,0.0,19.0,16.6,17.7,0.29,2.7
21.8,280.6,288.8,49.1,85.2,3.0,90.1,0.0,15.0,19.0,18.8,0.5,2.1
1.6,278.4,288.3,54.5,100.0,2.8,165.9,0.0,15.0,19.2,18.9,0.34,2.2
2.4,281.0,290.9,50.8,98.3,1.8,215.7,0.0,15.0,19.3,19.0,0.47,2.8
0.0,280.2,294.5,38.6,100.0,2.0,283.5,20.0,25.0,18.5,19.0,0.72,3.7
0.0,280.7,298.4,29.4,98.8,1.1,284.3,18.0,27.0,17.6,19.0,1.07,3.8
0.0,282.2,299.8,28.3,94.0,2.1,285.4,22.0,28.0,16.5,18.8,1.21,4.5
1.8,279.0,287.1,58.6,100.0,4.5,169.1,0.0,16.0,17.5,19.0,0.3,2.3
1.8,276.0,286.3,48.4,98.6,3.4,203.2,0.0,16.0,17.9,18.9,0.37,2.5
0.0,275.6,289.4,34.9,93.2,2.0,297.7,21.0,27.0,16.9,18.7,0.59,3.4
0.0,277.9,290.2,35.1,84.2,2.8,276.8,25.0,29.0,15.5,18.3,0.66,3.6
0.0,276.4,293.1,33.7,100.0,2.2,299.1,23.0,29.0,15.7,18.3,0.69,3.8
0.0,279.7,297.6,27.4,95.1,1.6,298.3,22.0,31.0,15.3,18.2,1.07,4.2
0.0,282.1,300.6,28.4,99.5,2.0,294.1,23.0,31.0,15.3,18.1,1.23,4.7
0.0,284.4,303.4,27.8,98.6,1.2,295.0,20.0,32.0,15.2,18.0,1.47,4.6
1.7,283.6,297.9,34.5,90.7,4.3,292.7,0.0,21.0,15.2,17.7,1.02,5.1
13.9,279.1,291.2,55.6,100.0,2.7,70.7,0.0,15.0,18.9,18.9,0.31,1.5
11.7,280.0,288.2,60.9,100.0,2.4,121.5,0.0,11.0,21.5,20.0,0.28,1.9
0.0,280.4,291.4,49.8,100.0,1.7,252.5,16.0,20.0,20.2,20.1,0.47,3.2
0.0,280.9,296.0,42.7,100.0,1.9,306.4,18.0,22.0,19.1,20.1,0.66,4.1
0.0,283.7,300.0,38.4,100.0,1.6,291.6,18.0,23.0,18.1,20.1,0.94,4.4
0.0,285.7,302.6,33.2,100.0,1.5,263.1,18.0,24.0,17.3,20.0,1.28,4.5
0.0,285.9,301.0,31.0,85.8,2.5,307.1,23.0,27.0,15.6,19.6,1.32,5.3
0.0,284.8,302.6,30.4,98.9,2.7,308.5,24.0,29.0,15.4,19.1,1.35,5.5
