pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,290.2,306.8,6.8,35.8,6.8,220.4,93.0,77.0,5.9,8.8,2.94,9.2
0.0,292.5,309.8,3.1,27.4,3.1,221.9,66.0,81.0,5.1,8.6,3.67,6.3
0.0,293.8,309.5,2.5,24.0,2.5,218.6,63.0,84.0,4.4,8.3,3.76,5.4
0.0,291.4,307.1,5.8,31.8,3.9,215.8,75.0,84.0,4.3,8.0,3.1,6.7
0.0,290.1,305.9,6.8,34.5,6.2,206.6,95.0,85.0,4.3,7.9,2.84,8.4
0.0,292.0,307.1,6.9,33.1,1.9,208.6,57.0,85.0,4.3,7.8,3.09,4.3
0.0,293.5,308.2,8.9,36.5,3.4,190.2,70.0,85.0,4.4,7.5,3.21,6.0
0.0,292.9,307.9,8.9,37.1,2.5,155.3,62.0,86.0,4.5,7.4,3.14,4.9
0.0,291.4,307.8,9.5,41.5,3.6,196.1,72.0,86.0,4.8,7.3,2.99,6.1
0.0,289.5,303.8,12.3,43.6,3.2,194.8,67.0,85.0,5.1,7.2,2.36,5.1
0.0,288.7,301.4,17.3,49.9,2.7,180.4,59.0,82.0,5.6,7.2,1.95,4.2
0.0,285.6,299.7,19.2,58.5,3.8,186.2,68.0,81.0,6.3,7.2,1.62,4.6
0.6,284.1,293.7,43.7,85.8,3.2,74.9,0.0,53.0,9.0,7.6,0.72,2.3
0.0,284.4,299.2,36.7,100.0,2.5,190.3,46.0,65.0,11.7,8.0,0.98,3.1
0.0,287.2,300.8,29.8,78.3,2.5,188.5,47.0,66.0,11.6,8.2,1.39,3.5
0.6,287.0,299.7,29.6,74.1,2.2,185.0,0.0,49.0,11.5,8.4,1.35,3.2
2.4,285.9,294.5,48.7,88.0,2.5,143.6,0.0,42.0,13.3,9.0,0.68,2.3
0.0,279.0,291.1,35.2,85.3,7.1,187.6,70.0,57.0,13.4,9.3,0.69,3.5
0.0,278.1,294.8,11.0,49.8,8.8,185.2,92.0,65.0,11.3,9.3,1.31,6.2
0.0,283.9,301.7,5.2,35.3,7.3,182.4,90.0,71.0,9.2,9.1,2.18,7.8
0.0,283.8,296.4,10.9,38.1,5.2,173.1,74.0,72.0,8.0,8.8,1.61,5.3
0.0,282.5,294.8,18.6,52.8,5.3,170.4,72.0,71.0,7.9,8.8,1.27,4.6
0.0,282.7,295.2,26.8,69.3,3.6,161.4,56.0,68.0,8.5,8.8,1.09,3.4
0.0,279.5,295.8,19.2,68.8,2.5,149.0,50.0,69.0,8.7,8.7,1.19,2.9
0.0,279.3,295.9,16.2,62.3,6.2,173.3,79.0,71.0,8.5,8.7,1.27,5.0
0.0,283.6,295.9,16.1,47.5,4.0,100.4,62.0,71.0,8.0,8.7,1.43,4.1
0.0,283.5,296.9,12.3,42.8,5.3,161.6,76.0,74.0,7.4,8.6,1.58,5.1
3.5,280.0,293.1,46.5,100.0,8.6,109.2,0.0,43.0,12.0,9.4,0.5,2.7
0.0,277.7,288.4,53.5,100.0,3.5,92.2,42.0,49.0,14.4,9.9,0.31,1.4
0.0,278.1,291.1,29.7,79.1,5.6,162.3,60.0,55.0,13.7,10.0,0.76,3.2
