pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,282.6,294.0,26.8,47.7,2.1,341.8,45.0,68.0,7.4,9.5,1.17,5.3
0.7,284.5,296.8,21.1,39.1,3.2,345.7,0.0,52.0,7.1,9.3,1.52,6.3
0.0,287.6,298.7,18.3,30.7,3.8,352.4,62.0,73.0,6.4,9.0,1.86,7.2
0.0,289.6,300.5,16.5,26.9,3.6,352.2,63.0,75.0,5.8,8.8,2.15,7.5
0.0,291.4,302.3,17.3,26.4,2.8,348.5,57.0,77.0,5.4,8.6,2.35,7.2
0.0,290.5,302.0,20.1,32.6,2.2,347.9,52.0,77.0,5.3,8.5,2.16,6.6
0.0,289.6,301.0,23.3,38.1,2.5,348.4,54.0,77.0,5.4,8.4,1.93,6.7
0.0,288.5,299.6,24.2,39.2,2.5,348.3,54.0,77.0,5.6,8.2,1.76,6.5
0.0,286.9,298.1,21.5,34.9,3.4,353.2,62.0,78.0,5.6,8.0,1.68,6.8
0.0,282.2,294.2,22.4,39.6,3.7,352.2,64.0,78.0,5.7,7.9,1.26,6.1
0.0,276.0,289.6,27.2,56.8,4.4,344.6,67.0,76.0,6.3,7.9,0.8,5.1
0.0,275.0,284.4,36.3,57.2,5.2,361.8,69.0,72.0,7.1,7.9,0.54,4.4
3.8,272.8,284.0,39.0,71.1,4.4,350.7,0.0,50.0,9.3,8.5,0.45,3.9
0.0,273.5,286.7,31.6,65.4,2.9,354.5,50.0,67.0,9.2,8.5,0.6,4.3
0.0,277.3,288.6,30.1,53.1,4.1,200.4,58.0,67.0,8.7,8.5,0.76,4.0
0.0,281.7,293.5,35.6,64.2,2.5,338.2,47.0,68.0,8.8,8.5,0.9,5.2
0.0,282.4,293.5,37.9,65.1,4.7,347.9,62.0,67.0,8.9,8.5,0.88,5.6
0.0,281.2,290.3,45.9,69.8,4.8,338.1,60.0,64.0,9.4,8.7,0.63,4.9
0.0,281.0,294.1,25.9,50.3,3.0,359.6,53.0,69.0,8.7,8.6,1.13,5.8
0.0,288.4,300.8,16.0,27.3,2.8,362.0,56.0,75.0,7.3,8.3,2.11,7.1
0.0,293.1,303.6,13.2,18.6,3.3,358.5,63.0,78.0,6.1,8.1,2.75,8.0
0.0,293.0,303.7,13.2,18.9,2.1,357.7,55.0,81.0,5.3,7.9,2.75,7.0
0.0,292.5,303.2,17.1,25.5,2.2,354.4,55.0,81.0,5.0,7.8,2.5,7.0
0.0,291.5,302.1,18.4,27.7,2.9,354.1,61.0,82.0,4.9,7.6,2.3,7.3
0.0,289.7,299.9,18.2,26.8,3.2,355.7,64.0,83.0,4.8,7.4,2.05,7.2
0.0,285.3,296.6,24.1,40.2,2.9,352.2,59.0,81.0,5.2,7.3,1.45,6.3
0.0,285.6,295.1,27.8,41.3,3.1,351.3,60.0,80.0,5.6,7.2,1.31,6.1
0.8,284.7,296.5,27.6,48.2,1.5,339.3,0.0,60.0,6.3,7.3,1.32,5.4
0.0,287.6,299.5,24.8,42.7,2.5,350.2,55.0,79.0,6.3,7.3,1.68,6.4
0.0,292.2,303.6,16.2,25.3,3.3,354.8,66.0,83.0,5.6,7.2,2.55,7.8
