pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
5.5,284.8,298.3,32.5,76.2,3.4,209.4,0.0,54.0,9.3,7.6,1.2,4.7
0.0,283.4,301.7,25.5,81.6,2.6,311.3,52.0,71.0,9.6,7.7,1.52,5.8
0.0,285.8,302.0,20.1,58.5,3.6,311.1,62.0,74.0,8.8,7.7,1.85,6.7
0.0,286.5,302.7,12.6,40.3,3.6,309.7,66.0,78.0,7.6,7.6,2.23,7.1
0.0,287.0,303.0,14.8,44.9,3.1,291.7,61.0,79.0,7.0,7.6,2.19,6.5
0.0,287.4,301.7,18.3,48.3,4.1,280.9,68.0,78.0,6.7,7.5,1.98,6.8
0.0,285.5,301.6,19.0,55.7,3.9,307.3,67.0,78.0,6.7,7.6,1.85,6.7
0.0,282.7,301.5,14.3,52.2,3.7,292.4,68.0,81.0,6.6,7.3,1.9,6.6
0.0,281.9,300.5,8.5,35.7,3.3,250.1,68.0,84.0,5.8,7.2,2.0,6.1
0.0,281.2,297.9,12.6,42.8,4.4,295.8,77.0,84.0,5.7,7.0,1.64,6.5
0.0,279.7,296.2,18.7,58.2,3.5,306.8,66.0,81.0,6.1,7.1,1.32,5.6
0.0,280.4,297.0,19.4,60.1,2.8,306.6,59.0,81.0,6.5,7.1,1.36,5.4
0.0,281.1,296.8,19.9,58.1,3.7,305.0,66.0,80.0,6.7,7.2,1.36,5.7
0.0,280.4,297.8,18.0,59.0,2.9,303.2,60.0,80.0,6.8,7.2,1.45,5.5
0.0,280.5,294.7,25.3,65.4,5.1,301.3,75.0,78.0,7.3,7.1,1.11,5.6
0.0,280.2,296.1,21.6,63.2,3.9,303.4,66.0,78.0,7.4,7.2,1.25,5.6
0.0,282.6,296.8,16.0,44.5,3.8,300.9,68.0,80.0,7.0,7.1,1.53,6.0
0.0,280.4,296.5,17.1,52.6,3.9,281.8,69.0,80.0,6.9,7.1,1.4,5.7
0.0,279.7,296.7,17.9,57.7,3.1,297.9,62.0,80.0,6.9,7.1,1.37,5.4
0.0,281.8,294.3,19.4,47.1,4.8,296.9,75.0,80.0,6.8,7.1,1.29,5.8
0.0,280.8,286.8,40.3,59.9,6.0,270.9,75.0,73.0,7.6,7.3,0.66,4.3
7.0,275.1,280.8,69.0,96.6,4.0,148.1,0.0,43.0,12.7,8.3,0.16,1.7
0.0,273.9,290.5,30.2,91.8,3.0,289.5,48.0,61.0,13.0,8.6,0.69,3.9
0.0,277.7,296.5,18.8,67.7,3.6,289.1,56.0,66.0,11.5,8.7,1.27,5.3
0.0,279.2,300.3,14.2,60.7,2.7,285.6,52.0,69.0,10.1,8.7,1.69,5.4
0.0,280.9,300.6,13.1,52.1,1.8,286.4,47.0,71.0,8.9,8.7,1.8,4.9
0.0,283.1,301.5,13.9,49.9,3.6,282.4,62.0,73.0,8.0,8.6,1.93,6.2
0.0,283.6,302.6,9.8,39.6,2.7,282.4,57.0,76.0,7.0,8.5,2.2,5.9
0.0,283.1,301.9,10.8,44.1,2.2,279.7,55.0,79.0,6.5,8.0,2.08,5.3
0.0,285.0,300.4,13.2,42.2,3.7,272.3,67.0,79.0,6.2,7.9,1.95,6.2
