pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,290.7,303.4,22.6,59.1,6.2,342.5,83.0,77.0,6.6,7.9,2.06,8.7
0.0,289.3,303.1,14.0,45.3,6.3,285.2,88.0,80.0,6.3,7.7,2.3,8.9
0.0,288.4,302.4,14.8,47.7,6.7,350.5,93.0,81.0,6.1,7.5,2.16,9.3
0.0,286.3,298.7,18.5,51.5,9.0,348.4,108.0,80.0,6.2,7.5,1.69,8.9
0.0,286.1,301.9,13.0,48.4,2.7,347.4,60.0,82.0,6.0,7.4,2.08,6.8
0.0,288.7,302.1,12.5,41.5,5.2,354.9,83.0,83.0,5.7,7.4,2.25,8.7
0.0,288.3,299.7,23.2,56.9,6.9,348.0,91.0,80.0,6.2,7.4,1.69,8.2
0.0,285.1,298.2,25.7,68.1,8.0,328.9,96.0,78.0,6.9,7.4,1.38,7.6
0.0,284.6,297.6,28.2,72.9,7.1,346.8,87.0,76.0,7.6,7.4,1.26,7.1
0.0,288.2,301.6,16.4,49.5,4.1,350.9,70.0,80.0,7.1,7.3,2.04,7.7
0.0,288.7,307.3,9.0,43.8,4.2,351.6,76.0,83.0,6.3,7.2,2.9,9.0
0.0,288.1,308.0,7.6,42.7,4.7,354.5,82.0,85.0,5.7,7.1,3.02,9.7
0.0,288.9,307.7,12.3,53.2,3.5,351.1,69.0,84.0,5.7,7.1,2.78,8.4
0.0,290.6,310.0,9.0,44.9,3.5,351.4,72.0,86.0,5.4,7.0,3.33,8.9
0.0,293.3,306.2,10.8,36.3,4.2,360.8,78.0,87.0,5.1,6.8,3.0,9.1
0.0,291.0,305.1,14.5,46.3,5.9,347.6,91.0,86.0,5.2,6.7,2.56,9.6
0.0,291.3,302.8,19.3,49.3,5.5,343.2,85.0,85.0,5.5,6.6,2.2,8.7
0.0,293.0,305.5,17.4,48.0,4.1,343.4,74.0,85.0,5.6,6.6,2.6,8.4
0.0,293.3,307.0,20.7,57.2,3.4,338.6,66.0,84.0,5.9,6.6,2.58,7.9
0.0,296.1,308.8,20.4,53.5,2.5,334.7,58.0,83.0,6.1,6.7,2.96,7.6
0.0,296.1,309.9,18.5,52.4,5.4,336.8,84.0,84.0,6.1,6.6,3.17,10.1
0.0,295.5,307.6,19.5,50.4,6.3,342.3,91.0,84.0,6.2,6.6,2.86,10.3
0.0,293.1,306.6,19.4,54.2,6.8,343.5,95.0,84.0,6.2,6.6,2.6,10.1
0.0,292.5,305.1,14.0,41.8,6.7,347.6,98.0,86.0,5.9,6.5,2.69,10.3
0.0,293.8,307.9,11.6,39.7,4.4,344.2,80.0,88.0,5.5,6.4,3.17,9.4
0.0,296.7,308.9,10.4,34.0,2.9,345.1,67.0,89.0,5.1,6.3,3.58,8.3
0.0,294.5,307.4,13.9,41.9,3.8,345.7,75.0,88.0,5.1,6.3,3.05,8.8
0.0,294.8,305.8,10.9,33.4,4.9,344.8,87.0,90.0,4.8,6.2,3.06,9.6
0.0,296.9,310.6,7.3,30.1,2.5,348.0,67.0,93.0,4.4,6.0,4.01,8.1
0.0,297.2,310.7,8.0,31.3,4.8,348.7,90.0,94.0,4.1,5.9,4.0,10.6
