pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,285.8,296.4,31.8,68.4,2.5,352.8,48.0,69.0,7.3,9.1,1.15,5.8
0.0,285.9,297.4,21.4,53.2,3.8,358.0,61.0,71.0,7.2,8.9,1.48,6.7
0.0,283.8,294.2,19.0,46.4,5.2,360.6,73.0,73.0,6.8,8.7,1.32,6.8
0.0,282.0,293.5,21.4,54.1,4.2,355.3,65.0,73.0,6.8,8.5,1.16,6.1
0.0,280.5,290.5,30.3,65.1,5.6,351.7,72.0,71.0,7.4,8.5,0.83,5.5
0.0,280.5,291.9,17.4,46.6,3.1,353.2,58.0,74.0,6.9,8.4,1.13,5.6
0.0,281.5,293.0,19.3,50.3,3.5,354.9,61.0,74.0,6.8,8.4,1.17,5.9
0.0,283.2,294.5,21.6,53.5,2.9,353.6,56.0,74.0,6.8,8.4,1.24,5.9
0.0,284.2,297.6,18.2,52.8,3.5,358.0,62.0,76.0,6.7,8.3,1.51,6.6
0.0,288.1,301.6,11.0,37.6,4.2,360.8,72.0,79.0,6.0,8.0,2.2,8.0
0.0,288.6,300.8,19.3,50.7,4.2,351.2,69.0,78.0,6.2,7.9,1.87,7.5
0.0,289.5,301.3,31.0,70.6,3.3,342.2,58.0,74.0,7.0,7.9,1.51,6.7
0.0,289.3,299.5,36.2,73.5,3.3,342.5,55.0,71.0,7.9,8.0,1.27,6.3
0.0,287.4,300.0,28.6,69.9,5.0,346.9,69.0,72.0,8.1,8.1,1.44,7.1
0.0,285.4,298.8,26.6,69.7,5.9,349.7,76.0,72.0,8.2,8.1,1.36,7.2
0.0,285.6,299.9,10.9,39.5,3.6,359.1,66.0,78.0,7.1,8.0,1.95,7.3
0.0,286.3,300.5,11.1,39.4,4.2,359.3,72.0,80.0,6.4,7.8,2.02,7.8
0.0,287.0,297.0,16.7,38.8,4.9,358.6,76.0,80.0,6.0,7.7,1.67,7.5
0.0,287.5,297.4,18.5,41.5,2.8,359.3,59.0,80.0,5.9,7.5,1.67,6.5
0.0,289.7,301.8,12.0,34.4,4.3,353.2,76.0,83.0,5.5,7.4,2.29,8.1
0.0,291.0,303.3,10.0,30.8,2.8,352.4,64.0,85.0,5.0,7.3,2.57,7.4
0.0,291.9,302.6,12.1,31.8,2.7,350.8,63.0,86.0,4.8,7.1,2.49,7.2
0.0,292.1,304.0,7.1,24.8,3.2,352.9,71.0,89.0,4.2,6.9,2.84,7.9
0.0,293.2,306.3,4.2,20.6,3.0,354.7,73.0,92.0,3.7,6.7,3.3,8.0
0.0,293.7,305.1,6.5,23.0,3.3,353.9,75.0,93.0,3.4,6.5,3.09,8.2
0.0,292.9,305.2,5.8,22.9,3.4,353.7,78.0,94.0,3.2,6.3,3.07,8.2
0.0,291.7,305.0,5.9,24.3,3.3,353.5,77.0,95.0,3.1,6.1,2.97,8.1
0.0,291.8,305.6,4.5,22.1,3.5,354.2,81.0,97.0,2.9,5.9,3.1,8.3
0.0,292.9,305.7,5.0,21.9,1.9,323.1,64.0,97.0,2.8,5.8,3.17,6.6
0.0,293.8,304.4,8.0,24.6,2.4,295.5,68.0,97.0,3.0,5.6,2.96,6.7
