pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,287.8,299.5,24.3,50.3,5.0,355.3,43.0,43.0,11.1,15.3,1.67,7.5
0.0,286.9,302.6,20.6,55.1,2.8,351.3,35.0,46.0,9.7,14.9,1.93,6.7
0.0,288.1,305.3,23.9,68.1,2.4,348.5,33.0,48.0,9.2,14.5,2.03,6.7
0.0,286.8,305.8,27.7,86.7,3.2,349.1,38.0,48.0,9.8,13.9,1.82,7.0
0.0,285.6,304.7,28.3,89.7,2.8,349.8,35.0,48.0,10.5,13.8,1.67,6.6
0.0,284.8,301.7,31.4,87.2,3.4,352.5,37.0,47.0,10.8,13.8,1.37,6.3
0.0,284.5,303.8,29.1,93.7,3.3,348.0,37.0,46.0,11.5,13.8,1.54,6.6
0.0,286.1,304.5,28.8,87.1,3.8,349.7,39.0,46.0,11.4,13.8,1.66,7.0
0.0,284.9,300.8,37.6,96.9,3.2,350.6,35.0,44.0,12.3,13.9,1.12,5.9
0.0,284.4,300.1,38.5,98.3,2.7,353.3,32.0,42.0,13.1,13.9,1.05,5.6
0.0,285.0,299.8,38.5,92.9,3.1,354.1,34.0,43.0,13.2,13.6,1.07,5.8
0.0,283.8,300.4,31.7,87.1,3.6,358.4,37.0,45.0,12.7,13.5,1.27,6.3
0.0,285.8,300.6,28.5,70.3,4.3,360.8,42.0,47.0,11.4,13.4,1.47,6.9
0.0,287.3,303.5,21.3,58.3,3.7,363.2,42.0,51.0,10.0,13.1,1.98,7.6
0.0,286.8,302.1,28.4,71.6,4.3,358.1,44.0,51.0,9.6,13.0,1.6,7.2
0.0,284.4,301.5,25.4,73.3,4.8,361.5,48.0,52.0,9.4,12.8,1.56,7.3
0.0,284.0,292.0,51.7,81.0,5.0,359.6,44.0,47.0,10.4,12.8,0.62,4.8
0.0,282.8,294.5,46.8,93.5,4.2,361.0,40.0,47.0,11.7,12.5,0.68,5.0
0.0,282.2,301.1,31.0,98.8,3.7,360.5,39.0,48.0,12.4,12.6,1.25,6.3
0.0,283.9,302.8,29.4,93.1,4.1,361.0,42.0,48.0,12.4,12.7,1.45,6.9
0.0,284.4,302.0,31.2,90.6,4.6,357.8,44.0,48.0,12.3,12.7,1.37,6.9
0.0,286.2,304.6,24.8,76.2,4.5,366.3,45.0,50.0,11.3,12.7,1.85,7.9
0.0,287.1,307.0,20.9,71.1,3.9,360.7,44.0,53.0,10.2,12.5,2.24,8.2
0.0,286.9,307.1,21.0,77.9,4.0,363.5,45.0,54.0,9.7,12.3,2.21,8.2
0.0,286.5,300.1,33.9,81.0,5.6,356.3,51.0,53.0,10.0,12.0,1.29,6.9
0.0,287.9,302.0,33.4,81.8,5.3,349.7,50.0,53.0,10.2,11.9,1.44,7.2
0.0,289.4,299.2,46.4,84.9,5.2,313.8,46.0,49.0,10.9,11.9,1.02,5.9
0.0,291.7,309.9,22.4,71.3,5.1,348.4,52.0,55.0,9.9,11.8,2.65,9.4
0.0,292.5,311.0,24.9,78.6,3.6,350.4,43.0,55.0,9.7,11.7,2.64,8.5
0.0,289.6,308.6,25.1,82.7,4.4,353.6,48.0,55.0,9.7,11.7,2.26,8.5
