pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,283.3,299.0,20.8,65.8,3.4,348.9,54.0,68.0,8.4,8.9,1.46,6.4
0.0,283.5,297.7,25.6,70.7,4.7,353.1,62.0,67.0,8.4,8.9,1.26,6.5
0.0,283.0,299.1,20.3,66.4,3.9,366.0,58.0,69.0,8.2,8.9,1.46,6.8
0.0,283.0,300.9,15.2,59.6,4.9,362.9,68.0,71.0,7.6,8.8,1.74,7.7
0.0,283.8,299.5,23.7,72.6,4.0,340.8,58.0,69.0,7.9,8.8,1.41,6.5
0.0,284.3,298.7,23.0,65.6,4.3,361.2,61.0,70.0,7.9,8.7,1.42,6.8
0.0,284.6,301.9,20.7,71.2,3.3,360.6,55.0,70.0,7.9,8.6,1.67,6.9
0.0,293.9,305.8,13.0,36.7,3.6,359.9,61.0,74.0,6.9,8.5,2.83,8.4
0.0,294.7,307.9,15.0,42.7,3.5,351.2,60.0,76.0,6.3,8.3,3.02,8.5
0.0,292.9,306.9,14.5,43.9,3.6,352.4,62.0,77.0,6.0,8.2,2.82,8.4
0.0,291.9,305.3,21.0,55.5,4.1,349.8,64.0,75.0,6.2,8.1,2.31,8.2
0.0,290.7,305.7,19.7,58.1,4.3,350.9,66.0,76.0,6.3,8.1,2.31,8.3
0.0,289.5,304.0,16.8,50.6,4.2,355.4,66.0,77.0,6.2,7.9,2.25,8.2
0.0,286.2,302.4,18.8,61.2,4.6,356.1,69.0,77.0,6.4,7.8,1.87,7.8
0.0,279.9,297.8,20.0,73.6,5.2,353.8,71.0,75.0,7.0,7.8,1.31,6.8
0.0,279.0,292.4,30.8,79.9,4.7,359.7,63.0,70.0,8.1,8.0,0.83,5.3
0.0,278.2,291.2,30.7,78.3,5.3,361.6,66.0,69.0,8.8,8.1,0.78,5.2
0.0,278.2,293.7,24.5,75.7,4.5,365.6,62.0,69.0,8.9,8.2,0.98,5.7
0.0,282.0,296.6,18.3,56.4,4.3,356.7,63.0,72.0,8.2,8.1,1.38,6.6
0.0,285.5,299.8,33.8,87.8,4.1,348.9,57.0,67.0,9.3,8.3,1.18,6.3
0.0,285.7,300.8,36.3,97.2,5.3,349.5,62.0,64.0,10.8,8.5,1.13,6.5
0.0,285.0,299.1,39.0,98.0,4.8,349.9,56.0,60.0,11.9,8.8,0.97,6.0
0.0,284.5,301.5,19.0,65.2,4.5,363.8,61.0,66.0,10.4,8.7,1.73,7.6
0.0,290.2,304.3,13.4,42.4,3.4,349.4,57.0,71.0,8.7,8.6,2.46,7.8
0.0,295.0,308.4,10.0,33.4,3.1,354.5,57.0,75.0,7.2,8.4,3.37,8.5
0.0,296.7,310.9,8.8,32.0,3.0,353.8,59.0,78.0,6.1,8.3,3.89,8.7
0.0,296.2,310.5,9.4,33.5,3.6,356.3,65.0,80.0,5.4,8.0,3.76,9.3
0.0,292.7,309.1,9.7,38.5,3.3,356.9,63.0,81.0,5.0,7.7,3.29,8.7
0.0,287.0,305.0,17.0,62.4,4.0,358.7,66.0,79.0,5.6,7.6,2.17,8.1
0.0,284.6,301.2,27.7,85.2,3.4,353.0,56.0,74.0,7.2,7.7,1.4,6.5
