pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,284.4,295.7,46.5,90.0,3.4,357.5,33.0,39.0,13.4,14.8,0.76,5.2
0.0,284.5,298.5,39.3,90.4,3.3,357.8,33.0,40.0,13.3,14.6,1.0,5.7
0.0,285.1,296.3,46.2,88.5,4.1,310.3,35.0,39.0,13.3,14.6,0.8,5.0
0.0,284.4,297.0,43.4,91.2,3.9,354.6,35.0,40.0,13.3,14.5,0.85,5.4
0.0,284.7,296.2,47.2,92.1,4.1,343.2,36.0,39.0,13.6,14.5,0.76,5.2
0.0,283.9,298.6,37.1,89.8,4.2,361.2,38.0,41.0,13.2,14.4,1.04,6.0
0.0,283.6,299.1,36.2,97.1,4.1,358.1,37.0,41.0,13.5,14.4,1.05,6.0
0.0,283.6,301.8,31.1,99.2,3.9,359.1,37.0,42.0,13.6,14.4,1.31,6.5
0.0,284.5,304.8,26.3,96.0,4.1,352.1,39.0,43.0,13.3,14.3,1.69,7.3
0.0,285.8,305.8,26.5,94.0,3.3,357.1,36.0,44.0,13.0,14.2,1.8,7.2
0.0,286.4,300.0,36.8,87.0,4.0,322.9,37.0,42.0,12.6,14.1,1.18,6.0
0.0,286.3,296.6,47.9,90.9,4.2,296.1,37.0,40.0,13.0,14.0,0.8,4.9
0.0,286.0,297.1,48.1,95.6,3.7,336.4,35.0,40.0,13.5,14.1,0.78,5.2
0.0,285.5,299.7,41.4,100.0,3.7,349.2,35.0,41.0,14.0,14.1,0.98,5.8
0.0,284.5,298.1,42.2,99.1,4.1,344.2,36.0,40.0,14.3,14.1,0.89,5.5
0.0,283.9,299.6,34.4,93.8,3.7,259.9,35.0,40.0,13.9,14.1,1.14,5.2
0.0,285.0,299.9,37.7,96.4,3.7,345.0,36.0,41.0,13.9,14.1,1.08,5.9
0.0,286.3,298.6,43.0,92.6,3.5,315.0,34.0,40.0,13.8,14.1,0.96,5.3
0.0,285.9,299.7,41.1,97.2,3.6,350.4,35.0,41.0,14.0,14.1,1.01,5.8
0.0,285.8,302.5,35.4,100.0,3.9,353.4,37.0,41.0,14.1,14.1,1.27,6.5
0.0,285.4,303.0,32.7,99.0,3.7,354.0,36.0,42.0,14.0,14.1,1.38,6.6
0.0,286.2,303.5,30.7,91.7,4.2,358.7,39.0,43.0,13.4,14.0,1.52,7.1
0.0,285.7,303.4,32.0,97.4,3.3,353.9,35.0,43.0,13.4,13.9,1.44,6.6
0.0,285.3,300.4,36.2,94.0,5.1,340.9,43.0,42.0,13.3,13.9,1.16,6.4
0.0,283.4,296.8,33.3,80.3,5.7,367.9,46.0,44.0,12.4,13.8,1.07,6.4
0.0,283.2,299.1,27.0,77.6,4.4,367.6,43.0,47.0,11.5,13.6,1.33,6.7
0.0,283.4,301.3,24.5,79.9,3.9,367.3,41.0,49.0,10.8,13.4,1.52,7.0
0.0,284.7,297.3,35.1,79.5,4.7,361.7,44.0,48.0,10.7,13.2,1.09,6.2
0.0,285.0,298.0,36.8,84.8,3.8,358.4,39.0,48.0,11.0,13.1,1.07,5.9
0.0,284.9,299.2,35.6,88.6,3.4,348.4,37.0,48.0,11.3,13.0,1.13,5.9
