pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,284.8,300.1,29.1,79.0,4.2,322.2,54.0,64.0,9.0,9.5,1.34,6.2
0.0,286.1,302.3,20.8,62.5,3.0,322.0,49.0,66.0,8.5,9.4,1.81,6.4
0.0,288.3,304.0,22.3,63.5,3.0,317.8,49.0,67.0,8.2,9.3,1.97,6.6
0.0,288.5,304.4,21.4,62.0,2.6,318.9,46.0,67.0,8.0,9.3,2.04,6.4
0.0,289.0,306.3,15.8,52.6,3.6,318.7,56.0,70.0,7.4,9.1,2.48,7.6
0.0,291.4,306.6,17.3,49.7,3.2,313.6,53.0,71.0,7.0,9.0,2.58,7.3
0.0,293.7,307.4,18.8,48.2,2.1,305.0,45.0,72.0,6.7,8.8,2.73,6.4
0.0,295.9,308.5,18.9,45.3,2.7,289.8,50.0,73.0,6.5,8.6,3.0,7.0
0.0,296.3,310.5,17.7,46.7,1.7,301.3,44.0,74.0,6.3,8.5,3.29,6.4
0.0,296.2,311.6,20.6,55.9,2.0,295.8,45.0,74.0,6.4,8.4,3.21,6.7
0.0,295.0,308.0,29.6,66.8,2.4,292.8,46.0,71.0,7.1,8.4,2.3,6.4
0.0,296.1,310.0,25.8,62.2,1.9,250.3,42.0,71.0,7.2,8.4,2.74,5.8
0.0,297.1,312.7,21.9,59.1,1.7,295.6,43.0,72.0,7.2,8.3,3.31,6.5
0.0,295.9,310.0,25.3,61.8,3.5,291.3,55.0,72.0,7.3,8.3,2.75,7.5
0.0,295.0,309.7,25.5,64.6,3.8,281.6,57.0,72.0,7.5,8.2,2.64,7.5
0.0,295.9,308.0,30.3,64.7,1.4,226.0,38.0,69.0,7.8,8.3,2.34,4.9
0.0,292.4,304.8,43.3,90.7,3.5,277.3,48.0,63.0,9.7,8.5,1.33,5.7
0.0,292.2,305.5,40.8,90.8,2.8,289.0,43.0,61.0,10.9,8.7,1.44,5.8
0.0,292.4,306.1,35.0,80.9,3.3,289.5,47.0,62.0,11.0,8.9,1.75,6.3
0.0,292.8,306.9,27.8,68.0,3.9,291.1,53.0,64.0,10.2,8.9,2.17,7.1
0.0,293.3,308.4,22.0,59.1,3.9,290.9,55.0,67.0,9.3,8.8,2.61,7.6
0.0,293.6,308.3,18.0,49.3,3.5,277.3,54.0,70.0,8.3,8.7,2.85,7.4
0.0,290.9,306.9,19.2,56.4,3.9,285.9,57.0,70.0,7.9,8.7,2.47,7.4
0.0,287.9,305.1,22.5,69.5,4.4,293.0,60.0,69.0,8.1,8.6,2.01,7.1
0.0,287.0,303.1,22.6,66.2,3.7,296.8,55.0,70.0,8.1,8.5,1.83,6.4
0.0,287.5,301.1,28.4,70.9,4.0,290.0,55.0,68.0,8.5,8.5,1.51,6.0
0.0,288.5,300.9,29.8,68.5,4.1,290.7,55.0,67.0,8.6,8.6,1.51,6.1
0.0,289.1,302.4,30.8,73.9,3.4,286.1,50.0,66.0,9.0,8.7,1.56,5.8
0.0,292.5,304.9,25.4,59.3,1.9,285.9,42.0,68.0,8.6,8.7,2.12,5.5
0.0,294.3,308.8,19.8,54.0,1.8,283.7,42.0,70.0,8.0,8.6,2.81,5.8
