pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.5,282.5,288.7,63.8,96.3,3.1,224.3,20.0,20.0,15.2,20.9,0.28,2.8
0.0,282.5,292.9,47.3,96.8,2.9,287.4,22.0,24.0,15.5,20.6,0.54,3.9
0.0,283.0,291.9,50.2,92.5,2.7,297.3,21.0,24.0,15.5,20.1,0.51,3.9
0.0,282.6,295.2,41.5,98.9,2.2,303.4,20.0,25.0,15.7,20.0,0.68,4.2
0.0,282.5,303.4,20.2,92.0,2.6,305.4,24.0,29.0,14.6,19.7,1.61,5.8
0.0,286.5,304.9,17.7,70.8,1.9,305.4,24.0,33.0,12.6,19.1,1.99,5.7
0.0,289.3,308.0,13.8,60.0,2.3,307.6,27.0,37.0,10.7,18.5,2.58,6.6
0.0,289.2,307.4,16.1,64.5,2.4,308.1,29.0,39.0,9.6,18.1,2.4,6.5
0.0,287.1,305.2,21.2,78.6,2.9,293.4,31.0,39.0,9.5,17.6,1.88,6.2
0.0,286.7,303.2,22.0,74.1,2.3,313.4,29.0,41.0,9.3,17.0,1.71,5.8
0.0,286.9,307.0,18.5,79.8,1.5,310.1,27.0,42.0,9.4,16.5,2.12,5.7
0.0,287.9,304.4,25.6,82.2,2.3,306.0,30.0,42.0,9.7,16.3,1.68,5.8
0.0,286.6,303.4,25.9,86.0,2.4,292.6,30.0,42.0,10.2,16.0,1.57,5.6
0.0,285.2,301.1,24.5,79.2,3.3,329.5,35.0,43.0,10.1,15.7,1.45,6.1
0.0,284.4,300.5,23.0,76.9,3.2,318.0,36.0,44.0,9.9,15.6,1.44,5.9
0.0,284.1,300.5,25.8,85.3,2.6,317.6,33.0,44.0,10.3,15.3,1.33,5.5
0.0,284.1,305.0,16.6,80.2,1.6,332.9,30.0,47.0,10.0,14.9,1.95,5.8
0.0,288.4,307.8,11.0,55.9,2.2,330.9,36.0,51.0,8.7,14.4,2.67,6.8
0.0,288.5,309.3,6.9,47.5,2.1,338.5,38.0,55.0,7.5,14.0,3.07,7.0
0.0,289.0,309.4,6.7,45.7,2.0,324.3,40.0,58.0,6.6,13.5,3.12,6.8
0.0,287.8,306.8,9.0,49.4,2.5,342.2,44.0,59.0,6.1,13.1,2.64,7.1
0.0,286.6,304.6,14.6,61.9,2.4,314.2,42.0,59.0,6.3,12.9,2.12,6.4
0.0,287.0,302.4,22.1,70.9,2.8,272.0,43.0,57.0,7.0,12.6,1.69,5.8
0.0,284.7,300.1,20.5,68.1,3.2,339.9,47.0,59.0,7.3,12.2,1.52,6.3
0.0,283.8,295.4,36.1,83.9,4.3,330.9,49.0,54.0,8.7,12.2,0.88,5.3
0.0,282.7,295.9,37.2,95.0,3.6,320.6,44.0,51.0,10.4,12.3,0.81,5.0
0.0,282.4,298.3,33.6,100.0,3.0,319.5,40.0,50.0,11.9,12.4,0.94,5.1
0.0,285.5,300.7,29.1,86.5,2.3,336.7,36.0,51.0,11.8,12.4,1.29,5.7
0.0,285.7,304.2,24.8,92.1,2.4,324.4,37.0,51.0,11.9,12.5,1.61,6.1
0.0,286.0,302.2,28.0,88.7,3.4,334.4,43.0,51.0,11.8,12.4,1.4,6.3
