pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,279.1,295.2,13.9,54.9,4.0,347.7,63.0,70.0,7.5,9.3,1.33,6.2
0.0,278.7,297.1,10.9,53.2,3.8,344.9,63.0,72.0,7.1,9.2,1.51,6.4
0.0,281.2,298.9,11.6,52.6,2.2,340.8,51.0,73.0,6.8,9.1,1.68,5.8
0.0,282.3,301.1,11.6,55.1,3.0,344.4,59.0,75.0,6.5,8.8,1.89,6.7
0.0,285.2,304.0,11.1,52.5,3.2,344.2,62.0,77.0,6.3,8.6,2.27,7.3
0.0,285.8,303.5,15.1,60.1,4.9,341.7,74.0,76.0,6.4,8.5,2.09,8.2
0.0,285.8,303.5,13.2,55.2,4.6,344.7,73.0,77.0,6.3,8.4,2.16,8.1
0.0,287.5,305.2,15.2,59.9,5.0,299.3,75.0,76.0,6.4,8.4,2.3,8.2
0.0,286.2,307.0,13.7,65.7,5.7,345.7,82.0,77.0,6.5,8.3,2.47,9.4
0.0,285.6,304.1,15.9,64.9,7.2,349.3,92.0,76.0,6.7,8.3,2.09,9.4
0.0,284.5,302.4,11.2,50.9,7.6,296.7,97.0,78.0,6.4,8.0,2.1,9.3
0.0,285.4,301.9,14.8,56.1,8.0,354.5,100.0,78.0,6.4,7.9,1.96,9.4
0.0,283.8,297.6,14.6,49.1,8.4,357.0,103.0,79.0,6.2,7.8,1.62,8.6
0.0,281.6,300.6,11.9,56.7,3.7,352.5,68.0,80.0,6.2,7.8,1.81,7.1
0.0,283.9,302.4,9.1,46.8,5.8,359.5,89.0,82.0,5.8,7.7,2.15,9.0
0.0,284.6,302.4,12.9,55.1,7.2,354.4,98.0,81.0,5.9,7.6,2.03,9.3
0.0,283.4,296.0,21.7,60.3,8.1,343.8,98.0,78.0,6.3,7.6,1.32,7.5
0.0,282.4,296.7,21.4,65.6,8.0,354.3,97.0,78.0,6.8,7.5,1.32,7.5
0.0,282.9,302.8,12.0,59.2,4.7,356.5,77.0,81.0,6.6,7.4,2.03,8.1
0.0,283.0,303.1,11.4,57.7,4.1,359.0,73.0,82.0,6.4,7.4,2.08,7.9
0.0,282.9,302.7,10.7,55.0,4.8,360.2,80.0,82.0,6.2,7.3,2.07,8.3
0.0,283.3,305.1,11.7,63.7,4.5,357.8,77.0,82.0,6.3,7.3,2.26,8.5
0.0,285.1,306.5,9.2,53.5,3.5,357.3,70.0,83.0,6.0,7.3,2.59,8.2
0.0,286.4,306.7,11.0,54.0,5.3,363.8,85.0,83.0,5.9,7.2,2.61,9.6
0.0,287.8,305.1,13.5,52.7,7.0,353.9,98.0,84.0,5.9,7.0,2.41,10.0
0.0,287.3,303.9,16.6,58.5,6.1,349.1,89.0,83.0,6.1,7.0,2.15,9.0
0.0,287.2,307.3,15.1,65.3,5.4,348.3,84.0,83.0,6.3,7.0,2.5,9.3
0.0,288.8,308.8,15.4,65.0,3.8,346.1,70.0,82.0,6.5,7.0,2.72,8.5
0.0,290.3,311.7,12.5,59.8,2.8,343.3,63.0,84.0,6.3,7.0,3.31,8.2
0.0,293.6,311.4,14.2,53.9,5.4,343.0,85.0,84.0,6.2,6.9,3.39,10.5
