pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,287.7,300.4,13.9,46.0,2.8,355.6,52.0,68.0,8.0,9.9,1.99,6.8
0.0,279.9,296.7,19.2,72.1,3.7,281.5,56.0,66.0,8.1,9.8,1.28,5.6
0.0,280.1,291.0,42.3,94.5,3.5,350.0,48.0,59.0,10.1,10.0,0.6,4.6
0.0,280.7,290.6,60.0,100.0,2.6,197.9,37.0,50.0,12.4,10.3,0.28,2.8
0.0,282.6,294.8,45.9,100.0,3.8,343.6,46.0,52.0,13.5,10.5,0.62,4.9
0.0,284.8,296.3,45.0,100.0,3.8,345.8,45.0,50.0,14.2,10.8,0.74,5.3
0.0,285.4,296.0,43.8,93.5,3.7,233.8,42.0,48.0,14.2,11.0,0.8,4.4
0.0,284.6,289.5,66.6,96.0,6.0,324.2,50.0,43.0,15.1,11.3,0.33,3.9
0.0,284.4,292.3,47.5,86.3,4.3,346.5,45.0,47.0,14.4,11.5,0.66,5.0
0.0,285.0,296.7,37.5,88.0,2.9,345.4,39.0,49.0,13.8,11.6,0.96,5.5
0.0,287.2,298.1,37.3,83.1,3.6,347.1,44.0,51.0,13.0,11.5,1.1,6.0
0.0,287.4,297.7,43.5,90.8,5.0,343.9,50.0,49.0,13.1,11.5,0.92,6.0
0.0,287.3,299.1,44.8,100.0,2.7,323.7,36.0,47.0,13.9,11.7,0.88,5.4
0.0,290.4,300.8,36.8,79.1,3.5,343.5,43.0,50.0,12.8,11.7,1.35,6.5
0.0,290.4,296.7,40.4,68.8,7.3,347.3,63.0,51.0,11.8,11.6,1.17,7.0
0.0,283.5,294.7,41.2,92.7,7.8,346.8,64.0,50.0,12.4,11.8,0.78,5.7
0.0,282.5,295.6,21.3,63.0,4.6,350.0,54.0,55.0,10.8,11.6,1.27,6.4
0.0,284.6,296.4,14.7,46.1,3.6,357.7,52.0,60.0,9.2,11.3,1.57,6.7
0.0,283.8,293.8,13.3,40.1,4.9,357.4,63.0,63.0,7.9,10.9,1.43,6.9
0.0,283.2,295.7,13.0,44.7,3.4,367.9,55.0,66.0,7.1,10.6,1.52,6.5
0.0,283.2,298.3,14.1,53.1,2.7,268.6,50.0,67.0,6.8,10.4,1.63,5.6
0.0,284.3,297.7,12.4,45.2,4.4,357.9,65.0,69.0,6.4,10.2,1.7,7.3
0.0,287.3,297.2,17.4,46.2,5.0,355.4,68.0,70.0,6.2,9.9,1.66,7.5
0.0,286.9,299.2,23.3,63.2,4.2,354.2,61.0,68.0,6.6,9.8,1.56,7.0
0.0,284.2,299.1,19.8,65.2,4.0,354.7,61.0,69.0,6.9,9.7,1.54,6.9
0.0,284.7,304.6,15.1,69.7,2.5,351.9,51.0,71.0,7.0,9.6,2.1,6.9
0.0,293.3,306.2,13.1,43.9,1.7,349.2,47.0,73.0,6.4,9.3,2.84,6.7
0.0,295.4,308.0,12.2,35.4,2.0,342.5,51.0,75.0,5.8,9.1,3.27,7.2
0.0,291.0,308.0,11.7,43.6,3.4,343.6,63.0,76.0,5.5,8.9,2.98,8.3
0.0,289.1,308.0,9.3,41.9,4.9,345.7,78.0,79.0,5.2,8.7,2.99,9.6
