pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,294.1,310.3,13.9,26.7,3.3,359.4,70.0,88.0,4.2,6.7,3.57,9.0
0.0,290.6,307.2,16.6,34.4,3.5,360.6,71.0,88.0,4.4,6.6,2.82,8.5
0.0,288.4,304.0,22.0,45.1,3.3,358.1,66.0,86.0,4.9,6.6,2.16,7.5
0.0,288.4,303.7,24.4,49.6,2.8,357.2,61.0,84.0,5.4,6.5,2.04,7.1
0.0,288.5,301.9,27.2,49.4,1.9,343.3,51.0,83.0,5.9,6.6,1.82,6.1
0.0,289.4,305.9,23.4,50.8,1.6,353.4,50.0,83.0,6.1,6.6,2.3,6.5
0.0,291.3,310.9,16.7,41.8,1.7,357.7,53.0,85.0,5.8,6.5,3.27,7.2
0.0,294.9,310.7,17.1,32.8,2.1,353.4,57.0,87.0,5.4,6.4,3.49,7.7
0.0,294.3,309.9,18.1,34.7,3.1,353.9,66.0,87.0,5.3,6.4,3.29,8.5
0.0,293.9,309.7,18.0,35.0,2.7,353.7,63.0,88.0,5.1,6.3,3.24,8.1
0.0,293.9,308.6,20.3,37.6,4.0,355.6,74.0,87.0,5.2,6.2,2.99,9.0
0.0,292.6,306.7,24.6,48.1,3.9,364.5,71.0,85.0,5.6,6.2,2.48,8.5
0.0,292.4,307.6,19.8,41.2,2.1,366.1,57.0,87.0,5.5,6.2,2.79,7.3
0.0,292.6,308.0,19.2,40.3,3.3,365.6,68.0,87.0,5.5,6.1,2.87,8.4
0.0,291.5,307.6,19.3,42.5,3.0,307.2,64.0,86.0,5.5,6.1,2.76,7.5
0.0,291.2,307.9,14.7,33.3,3.0,370.0,67.0,89.0,5.2,6.0,3.01,8.3
0.0,291.0,307.6,15.3,34.5,2.8,368.0,66.0,90.0,5.0,6.0,2.93,8.0
0.0,290.8,308.4,12.8,30.4,1.8,375.2,58.0,91.0,4.7,5.9,3.14,7.3
0.0,291.1,311.1,10.0,27.1,1.5,373.7,56.0,93.0,4.4,5.8,3.68,7.1
0.0,294.7,313.6,9.8,24.1,1.9,360.0,61.0,94.0,4.0,5.6,4.33,7.7
0.0,296.8,314.9,11.4,26.6,1.9,358.9,61.0,95.0,3.9,5.5,4.6,7.9
0.0,294.8,313.5,10.3,25.1,3.0,362.8,73.0,96.0,3.8,5.4,4.29,9.1
0.0,293.2,311.2,9.7,22.9,2.6,366.0,69.0,97.0,3.6,5.3,3.85,8.4
0.0,291.1,309.4,12.1,30.0,3.0,363.6,73.0,96.0,3.7,5.3,3.32,8.5
0.0,289.6,307.0,17.7,42.5,3.7,366.9,76.0,94.0,4.3,5.2,2.66,8.5
0.0,289.0,305.1,20.8,46.7,4.1,362.4,78.0,92.0,4.8,5.3,2.31,8.3
0.0,288.7,306.1,15.3,36.8,2.9,368.7,69.0,93.0,4.8,5.3,2.64,7.9
0.0,289.7,308.3,13.2,33.9,2.7,363.9,68.0,94.0,4.7,5.2,3.04,8.0
0.0,292.2,309.8,12.1,28.3,3.2,349.4,74.0,95.0,4.5,5.2,3.45,8.6
0.0,293.7,309.3,12.9,26.6,3.4,276.6,75.0,95.0,4.3,5.1,3.44,8.1
