pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,289.5,307.2,24.4,57.7,2.3,347.3,45.0,64.0,8.6,9.9,2.36,7.1
0.0,288.7,306.3,27.2,64.8,3.0,338.1,49.0,64.0,8.4,9.9,2.11,7.2
0.0,287.5,307.8,21.6,60.1,1.9,366.0,44.0,67.0,7.9,9.7,2.45,7.0
0.0,291.3,310.7,17.2,43.1,3.1,364.7,56.0,70.0,7.1,9.5,3.22,8.7
0.0,292.8,310.9,16.9,38.5,4.8,366.6,70.0,73.0,6.4,9.2,3.37,10.4
0.0,289.6,311.6,16.8,49.8,3.0,364.4,58.0,74.0,6.2,9.0,3.25,8.7
0.0,288.8,304.8,28.6,61.9,2.3,360.5,49.0,71.0,6.6,8.9,1.95,6.8
0.0,289.2,306.7,22.8,53.0,3.2,364.3,57.0,73.0,6.6,8.9,2.38,7.9
0.0,287.6,305.7,21.1,51.3,4.4,366.5,67.0,74.0,6.5,8.7,2.29,8.6
0.0,287.7,303.4,26.0,55.2,1.7,358.5,45.0,73.0,6.7,8.6,1.92,6.2
0.0,290.1,308.2,21.0,49.9,3.6,361.0,62.0,75.0,6.5,8.5,2.66,8.5
0.0,294.9,311.1,17.3,34.5,5.0,365.5,76.0,77.0,6.0,8.3,3.53,10.6
0.0,291.9,311.8,17.5,47.2,4.0,374.7,68.0,78.0,5.9,8.2,3.35,9.9
0.0,290.9,309.3,20.7,51.9,3.4,371.7,62.0,78.0,6.0,8.1,2.81,8.7
0.0,290.0,305.3,23.2,49.0,2.8,373.7,56.0,77.0,6.2,8.0,2.28,7.6
0.0,288.2,301.9,34.2,67.2,4.5,368.1,65.0,73.0,7.1,8.0,1.53,7.3
0.0,288.1,304.8,25.2,58.8,4.6,371.5,69.0,75.0,7.1,8.0,2.05,8.4
0.0,292.6,304.0,26.4,43.3,3.5,219.2,58.0,74.0,6.9,7.9,2.22,6.4
0.0,291.5,308.7,20.1,46.7,2.8,356.4,57.0,77.0,6.7,7.9,2.82,7.9
0.0,292.0,308.6,17.9,39.7,4.1,370.0,70.0,79.0,6.3,7.7,2.97,9.3
0.0,291.2,309.1,17.9,43.3,3.8,367.7,68.0,80.0,6.1,7.6,2.97,9.1
0.0,292.9,309.5,19.3,42.7,1.8,366.1,51.0,80.0,6.0,7.6,3.05,7.3
0.0,292.0,310.1,20.2,49.5,2.0,368.4,52.0,80.0,6.0,7.5,2.99,7.5
0.0,294.6,310.9,20.8,45.0,2.6,360.6,58.0,81.0,6.0,7.4,3.23,8.2
0.0,296.3,306.3,30.3,45.3,1.6,287.5,46.0,77.0,6.3,7.3,2.47,5.9
0.0,295.1,311.1,25.8,55.3,1.8,352.2,49.0,79.0,6.6,7.3,2.97,7.3
0.0,293.9,310.5,24.4,54.3,1.7,357.3,49.0,79.0,6.6,7.3,2.92,7.1
0.0,293.9,311.5,19.7,46.1,1.8,358.9,51.0,81.0,6.4,7.2,3.31,7.4
0.0,294.5,312.2,17.4,40.4,1.8,361.0,52.0,82.0,6.1,7.2,3.59,7.5
0.0,295.6,313.2,16.2,37.1,2.0,358.0,55.0,83.0,5.8,7.1,3.89,7.8
