pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,283.5,299.5,26.8,75.2,3.1,334.7,36.0,45.0,10.9,14.7,1.36,5.8
0.0,284.1,300.0,32.4,87.7,2.7,328.6,34.0,45.0,11.3,14.4,1.22,5.5
11.0,278.8,293.5,51.5,100.0,3.7,154.3,0.0,24.0,15.7,15.4,0.41,2.6
0.0,277.7,289.7,46.2,98.9,3.9,326.5,33.0,35.0,15.9,15.4,0.48,3.8
0.0,278.4,293.8,32.9,89.8,2.2,331.9,27.0,37.0,14.9,15.5,0.83,4.5
0.0,280.6,296.1,34.4,92.5,3.5,340.7,33.0,37.0,14.5,15.5,0.92,5.2
0.0,282.4,297.5,30.9,81.3,2.4,342.8,29.0,39.0,13.3,15.5,1.12,5.3
0.0,285.0,301.2,19.4,57.3,2.3,342.6,32.0,44.0,11.3,15.1,1.77,6.0
0.0,285.5,302.3,21.1,63.6,2.7,338.9,35.0,47.0,10.1,14.7,1.8,6.4
0.0,287.5,303.9,22.1,63.7,2.0,340.8,34.0,50.0,9.2,14.0,1.96,6.2
0.0,288.4,305.5,22.4,66.6,2.8,340.6,40.0,52.0,8.8,13.6,2.1,6.9
0.0,287.9,304.8,25.4,73.5,2.6,338.9,38.0,52.0,8.8,13.5,1.9,6.6
0.0,287.8,303.5,26.9,72.1,2.6,338.5,38.0,52.0,8.8,13.3,1.76,6.4
0.0,288.8,304.8,26.7,72.5,2.9,339.9,41.0,53.0,8.8,13.2,1.89,6.8
0.0,289.8,305.4,28.9,75.3,3.0,339.9,41.0,52.0,8.9,13.0,1.88,6.9
0.0,288.9,303.9,28.3,72.1,2.5,343.2,39.0,53.0,8.9,12.8,1.78,6.5
0.0,287.9,303.4,27.0,71.5,2.4,342.0,39.0,55.0,8.8,12.3,1.75,6.3
0.0,285.9,301.9,27.2,74.9,1.8,346.1,36.0,56.0,9.0,12.2,1.57,5.8
0.0,285.4,300.0,27.0,68.9,2.9,349.2,43.0,56.0,8.8,12.0,1.46,6.2
0.0,284.9,302.0,23.5,70.8,2.3,349.4,41.0,57.0,8.6,11.9,1.67,6.1
0.0,286.1,303.5,18.7,59.2,2.0,351.4,40.0,60.0,8.1,11.7,2.01,6.3
0.0,285.5,300.9,24.8,67.0,2.4,348.8,42.0,59.0,8.0,11.6,1.59,6.1
0.0,282.5,299.8,25.6,78.6,2.7,331.7,44.0,59.0,8.5,11.5,1.37,5.8
0.0,282.2,297.7,32.5,87.2,2.5,350.7,41.0,57.0,9.6,11.3,1.07,5.4
0.0,283.6,300.5,29.5,86.1,1.4,351.2,35.0,57.0,10.1,11.2,1.32,5.4
0.0,286.9,305.2,25.1,79.1,1.3,349.3,35.0,58.0,9.9,11.2,1.88,5.9
0.0,286.9,305.8,23.3,76.8,2.5,347.0,43.0,59.0,9.6,11.1,2.0,6.8
0.0,287.5,304.0,22.2,64.3,2.7,355.6,45.0,60.0,8.9,11.0,1.96,6.9
0.0,288.1,306.3,19.2,62.2,2.0,354.4,42.0,63.0,8.3,10.9,2.3,6.7
0.0,291.3,306.5,21.8,56.3,1.8,352.8,41.0,64.0,7.8,10.7,2.42,6.7
