pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,282.2,296.4,33.5,78.3,3.5,368.0,42.0,54.0,9.5,11.9,1.02,5.7
0.0,282.8,304.3,21.2,83.6,3.0,356.3,41.0,56.0,9.5,11.8,1.81,6.9
0.0,289.0,310.1,15.5,59.9,2.1,354.6,38.0,59.0,8.4,11.5,2.91,7.4
0.0,289.8,310.9,17.2,64.6,2.1,350.9,39.0,61.0,7.9,11.3,2.94,7.4
0.0,286.8,307.0,16.8,61.9,3.3,361.2,47.0,62.0,7.5,11.1,2.41,8.0
0.0,284.6,303.6,20.1,68.3,2.2,359.5,39.0,62.0,7.5,11.0,1.88,6.5
0.0,285.2,302.5,26.3,77.6,3.4,360.3,45.0,60.0,8.1,10.8,1.59,6.8
0.0,285.0,303.3,27.8,86.2,2.3,358.7,38.0,59.0,9.0,10.7,1.57,6.3
0.0,286.6,305.6,20.6,68.7,3.0,346.5,44.0,62.0,8.5,10.6,2.1,7.2
0.0,282.5,298.3,31.9,85.8,4.7,356.9,51.0,58.0,9.3,10.6,1.12,6.2
0.0,282.4,301.3,17.8,62.3,3.8,360.6,49.0,62.0,8.5,10.5,1.73,7.2
0.0,286.1,306.9,17.9,67.8,3.7,349.0,50.0,63.0,8.1,10.3,2.31,8.0
0.0,289.6,310.7,15.0,57.8,2.8,359.7,45.0,66.0,7.4,10.2,3.04,8.3
0.0,289.0,310.2,16.2,62.4,1.8,361.0,39.0,67.0,7.1,10.0,2.88,7.2
0.0,288.9,306.5,22.1,66.1,2.8,359.4,45.0,66.0,7.2,9.7,2.22,7.4
0.0,287.0,303.6,28.1,78.0,3.7,356.8,49.0,64.0,7.9,9.7,1.67,7.1
0.0,285.4,302.7,30.0,87.0,4.0,360.5,49.0,62.0,9.0,9.7,1.47,6.9
0.0,284.9,299.8,36.0,89.2,3.3,356.1,43.0,59.0,10.1,9.9,1.13,6.0
0.0,286.6,305.0,25.3,79.0,2.5,357.3,40.0,61.0,9.9,9.9,1.85,6.8
0.0,289.4,308.7,19.7,65.8,1.8,350.6,38.0,64.0,9.0,9.8,2.55,6.9
0.0,287.2,307.5,20.6,73.4,3.3,337.2,47.0,64.0,8.7,9.8,2.28,7.6
0.0,288.0,308.9,16.5,62.6,1.4,364.1,36.0,66.0,8.1,9.6,2.67,6.6
0.0,291.8,312.1,11.8,45.3,2.5,365.1,46.0,70.0,7.1,9.4,3.56,8.4
0.0,294.1,313.1,10.6,38.4,5.0,364.2,64.0,72.0,6.2,9.1,3.95,11.3
0.0,289.0,310.1,15.1,58.7,4.1,361.2,58.0,72.0,6.2,8.9,2.93,9.3
0.0,287.4,306.0,23.0,73.3,2.3,359.2,43.0,70.0,6.8,8.9,2.05,6.9
0.0,288.0,307.0,15.2,52.7,2.9,367.0,49.0,72.0,6.6,8.8,2.56,7.9
0.0,287.0,305.6,18.0,59.7,4.1,363.0,57.0,72.0,6.5,8.6,2.24,8.3
0.0,287.4,305.4,21.0,65.4,1.9,356.7,41.0,71.0,6.7,8.5,2.11,6.5
0.0,290.9,310.0,15.5,53.0,2.4,358.5,46.0,74.0,6.4,8.4,3.01,7.8
