pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,284.4,298.9,37.0,82.8,8.3,359.9,64.0,56.0,9.1,10.9,1.09,6.9
0.0,284.4,300.7,30.7,77.1,9.7,358.7,72.0,57.0,9.3,10.8,1.36,8.1
0.0,285.1,302.3,28.5,75.2,8.5,357.0,68.0,58.0,9.3,10.8,1.55,8.4
0.0,285.5,304.8,22.3,67.2,7.1,358.1,63.0,60.0,8.8,10.6,1.97,9.2
0.0,285.1,303.1,25.6,71.4,7.4,351.5,64.0,60.0,8.7,10.5,1.7,8.5
0.0,283.6,300.7,30.9,81.8,9.3,356.7,71.0,58.0,9.2,10.5,1.32,7.9
0.0,282.9,300.9,27.4,77.3,10.7,357.9,79.0,59.0,9.3,10.4,1.43,8.5
0.0,283.0,302.9,18.6,59.9,10.8,361.9,84.0,62.0,8.5,10.3,1.88,10.3
0.0,284.3,306.0,14.2,51.4,9.7,359.0,82.0,65.0,7.7,10.0,2.39,11.5
0.0,286.6,306.8,14.7,47.4,5.8,353.9,62.0,67.0,7.0,9.9,2.56,9.7
0.0,287.2,304.8,18.9,51.1,4.1,336.8,51.0,67.0,6.8,9.7,2.21,7.9
0.0,288.2,303.1,26.1,58.9,3.0,209.6,42.0,65.0,7.0,9.6,1.84,5.5
0.0,286.2,301.2,38.6,87.9,3.6,177.8,42.0,59.0,8.7,9.6,1.18,4.5
0.0,286.0,306.0,26.4,82.1,5.4,342.0,55.0,62.0,9.1,9.6,1.89,8.1
0.0,289.2,307.8,22.6,63.5,5.7,340.3,58.0,64.0,8.6,9.5,2.38,9.1
0.0,288.3,308.5,19.6,61.3,4.5,339.6,53.0,66.0,8.0,9.4,2.55,8.7
0.0,286.9,305.9,22.1,64.8,2.4,338.9,40.0,66.0,7.9,9.4,2.13,6.6
0.0,285.6,303.8,24.2,84.6,1.7,329.6,35.0,64.0,8.7,9.4,1.67,5.7
0.0,284.0,301.6,23.2,80.1,2.5,328.4,39.0,63.0,9.0,9.5,1.52,5.8
0.0,284.1,305.6,13.6,67.5,5.3,319.9,59.0,67.0,8.4,9.3,2.2,8.5
0.0,283.5,304.2,17.4,77.2,4.1,333.9,51.0,66.0,8.5,9.2,1.89,7.3
0.0,282.4,299.1,35.2,100.0,6.0,328.3,55.0,59.0,10.6,9.5,0.96,5.8
0.0,285.1,303.5,22.3,80.5,7.1,326.7,64.0,62.0,10.3,9.5,1.71,8.2
0.0,287.5,305.1,19.4,68.3,6.8,325.2,64.0,63.0,9.4,9.5,2.06,8.8
0.0,287.0,303.1,25.4,77.4,8.3,312.7,70.0,62.0,9.4,9.5,1.66,8.2
0.0,287.0,304.7,13.3,53.0,4.9,323.6,56.0,67.0,8.4,9.3,2.28,8.2
0.0,287.8,306.5,13.0,54.9,2.0,322.6,39.0,69.0,7.6,9.2,2.49,6.3
0.0,288.7,307.8,12.3,53.7,1.6,316.6,38.0,70.0,7.1,9.0,2.7,6.0
0.0,289.1,306.5,17.6,62.3,3.5,278.6,49.0,70.0,7.0,8.8,2.34,7.0
0.0,288.6,301.3,31.0,74.4,4.3,294.4,50.0,65.0,7.8,8.9,1.45,6.2
