pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,295.3,310.6,15.1,47.3,3.0,340.5,67.0,88.0,4.8,6.5,3.4,8.4
0.0,295.6,308.7,17.1,46.2,3.5,346.2,70.0,87.0,5.1,6.4,3.12,8.6
0.0,291.7,307.9,15.1,50.3,4.2,349.8,77.0,87.0,5.3,6.4,2.85,8.9
0.0,289.5,306.1,14.9,51.3,4.4,352.9,79.0,87.0,5.5,6.4,2.56,8.7
0.0,289.7,307.3,8.2,36.9,3.0,361.4,70.0,90.0,5.0,6.3,3.03,8.1
0.0,291.1,308.6,6.4,31.8,2.3,362.0,65.0,92.0,4.5,6.2,3.37,7.6
0.0,293.0,305.7,14.2,38.1,3.1,357.7,69.0,90.0,4.6,6.1,2.8,8.0
0.0,293.2,305.7,19.7,47.9,3.5,356.2,70.0,88.0,5.1,6.1,2.56,8.1
0.0,294.2,309.4,11.9,37.9,3.0,357.2,69.0,91.0,4.9,6.0,3.4,8.4
0.0,296.5,312.5,9.0,32.5,2.4,355.2,65.0,92.0,4.5,5.9,4.18,8.2
0.0,297.5,311.3,9.6,30.4,3.0,353.6,71.0,93.0,4.3,5.8,4.06,8.8
0.0,298.0,311.8,8.4,28.1,3.3,355.1,76.0,95.0,4.0,5.7,4.26,9.2
0.0,297.8,314.9,6.3,27.5,2.7,358.1,72.0,97.0,3.7,5.6,4.89,8.9
0.0,298.9,313.8,7.6,27.7,3.1,355.6,76.0,97.0,3.6,5.4,4.71,9.2
0.0,298.5,313.4,7.5,27.5,3.0,356.7,75.0,98.0,3.5,5.3,4.61,9.1
0.0,297.2,312.2,8.6,30.1,3.1,355.7,76.0,98.0,3.5,5.2,4.23,9.0
0.0,296.8,312.9,8.0,30.2,2.8,356.1,73.0,99.0,3.5,5.1,4.34,8.7
0.0,297.7,313.8,5.4,24.4,2.3,309.1,70.0,100.0,3.3,5.0,4.75,7.7
0.0,299.3,311.8,5.5,21.1,2.9,287.7,77.0,101.0,3.0,4.9,4.58,8.2
0.0,296.9,311.6,10.0,32.6,3.3,334.9,78.0,99.0,3.3,4.9,4.02,8.9
0.0,296.1,310.1,13.4,38.3,2.9,342.5,72.0,98.0,3.8,4.8,3.55,8.3
0.0,295.8,308.5,13.6,36.5,2.8,343.6,71.0,97.0,4.0,4.8,3.33,8.0
0.0,294.7,308.1,13.2,37.3,3.6,346.0,79.0,97.0,4.2,4.8,3.22,8.6
0.0,294.0,307.3,10.0,31.0,3.4,337.0,78.0,98.0,4.1,4.7,3.25,8.3
0.0,295.3,308.5,8.5,27.6,2.9,340.3,75.0,99.0,3.9,4.7,3.58,8.1
0.0,295.5,309.9,9.7,31.8,2.1,341.1,66.0,99.0,3.9,4.7,3.69,7.4
0.0,296.2,311.7,9.6,33.0,1.8,339.5,63.0,99.0,3.9,4.6,4.0,7.2
0.0,296.8,310.1,10.7,31.9,2.5,338.1,69.0,99.0,4.0,4.6,3.77,7.8
0.0,297.1,311.8,8.5,29.4,2.5,336.0,71.0,100.0,3.8,4.5,4.17,8.0
0.0,298.7,312.5,11.4,33.7,2.6,329.9,71.0,100.0,3.9,4.5,4.22,8.1
