pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,283.0,297.2,25.4,75.8,1.9,177.8,43.0,66.0,8.6,9.6,1.18,2.7
0.0,281.6,299.1,13.6,60.9,1.7,178.9,45.0,69.0,8.3,9.4,1.57,2.9
0.0,280.2,295.6,16.8,62.3,1.3,174.3,41.0,69.0,8.3,9.3,1.25,2.3
0.0,283.1,297.5,12.3,48.0,1.5,124.5,43.0,70.0,7.7,9.2,1.58,2.5
0.0,282.7,298.0,12.0,49.7,2.1,143.9,49.0,71.0,7.4,9.2,1.6,3.1
0.0,283.2,295.4,52.2,100.0,3.5,147.6,46.0,56.0,11.2,9.6,0.45,2.1
0.0,277.8,290.5,55.1,100.0,3.5,166.6,43.0,51.0,13.8,10.1,0.25,1.6
0.0,277.4,292.5,33.6,100.0,2.7,168.0,40.0,51.0,15.2,10.4,0.67,2.3
1.0,279.2,291.5,28.4,75.3,2.5,121.0,0.0,39.0,14.3,10.5,0.82,2.3
0.6,280.2,289.2,49.7,89.5,2.0,78.0,0.0,36.0,15.0,10.8,0.44,1.4
6.0,285.4,290.0,48.1,64.5,2.0,134.4,0.0,33.0,15.6,11.7,0.68,1.9
1.4,280.6,288.5,67.5,100.0,2.2,87.2,0.0,28.0,17.5,12.3,0.17,1.0
0.0,279.3,291.2,39.6,89.0,4.9,153.2,45.0,42.0,16.8,12.5,0.6,2.6
0.0,279.8,291.2,24.9,58.6,3.3,145.3,40.0,47.0,14.2,12.3,0.9,2.8
0.0,283.1,290.5,29.3,50.9,4.1,148.6,46.0,50.0,12.3,12.1,0.93,3.1
0.0,280.6,291.9,15.5,40.7,4.2,151.4,52.0,56.0,10.4,11.9,1.14,3.6
0.0,280.1,292.2,15.3,42.6,1.0,148.7,34.0,59.0,9.2,11.6,1.14,1.6
0.0,281.8,292.1,18.5,43.1,0.7,147.2,33.0,60.0,8.4,11.4,1.13,1.3
0.0,281.4,292.5,16.5,41.8,0.7,145.5,34.0,63.0,7.8,11.1,1.17,1.3
0.0,281.2,293.4,15.5,43.0,1.3,144.0,39.0,64.0,7.4,10.8,1.23,1.8
8.8,279.6,288.0,58.8,100.0,3.0,36.6,0.0,34.0,13.4,12.0,0.28,1.0
0.0,278.6,287.2,55.3,96.4,1.8,139.1,29.0,42.0,15.1,12.4,0.31,1.2
0.6,279.8,286.7,61.5,94.4,2.9,54.8,0.0,29.0,16.3,12.8,0.27,1.1
1.6,280.5,288.0,64.1,100.0,1.8,112.6,0.0,26.0,18.1,13.4,0.23,1.0
0.8,276.4,283.9,67.2,100.0,2.8,109.3,0.0,23.0,19.2,13.9,0.13,0.8
0.0,274.8,284.7,40.6,81.3,2.5,136.3,29.0,37.0,17.5,14.0,0.42,1.4
1.2,277.7,287.3,31.8,64.0,1.1,51.8,0.0,28.0,15.4,14.1,0.64,1.2
0.0,276.2,285.1,53.9,96.9,3.2,129.6,31.0,36.0,16.6,14.1,0.28,1.2
0.0,275.7,285.4,38.8,76.9,2.1,103.1,28.0,39.0,15.3,14.0,0.47,1.3
11.2,284.2,289.8,42.2,61.5,5.3,57.6,0.0,24.0,17.2,15.1,0.73,2.7
