pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,286.5,304.8,26.7,84.5,3.3,356.1,44.0,59.0,9.7,10.6,1.77,7.1
0.0,286.6,305.6,24.7,82.1,3.7,358.6,46.0,58.0,9.9,10.6,1.92,7.5
0.0,287.5,306.4,22.8,75.8,3.9,355.7,48.0,59.0,9.7,10.6,2.11,7.9
0.0,288.6,308.8,18.1,66.8,3.5,354.2,47.0,62.0,9.0,10.5,2.62,8.3
0.0,290.0,311.1,13.5,54.9,3.4,352.8,49.0,65.0,7.9,10.2,3.23,8.8
0.0,289.4,308.9,12.3,47.5,4.6,354.4,58.0,66.0,7.4,10.0,3.0,9.6
0.0,285.4,303.1,20.3,65.4,5.2,360.0,59.0,65.0,7.5,9.9,1.89,8.2
0.0,286.8,305.2,20.6,68.3,3.7,358.7,50.0,65.0,7.8,9.8,2.09,7.7
0.0,286.5,305.5,22.4,75.7,3.9,354.6,50.0,64.0,8.4,9.7,2.02,7.7
0.0,287.0,306.2,20.4,70.5,3.8,356.2,50.0,65.0,8.5,9.7,2.19,7.9
0.0,287.6,309.0,17.3,69.2,2.9,353.9,46.0,66.0,8.2,9.6,2.63,7.8
0.0,288.6,309.3,18.5,69.8,3.9,348.5,52.0,66.0,8.5,9.6,2.64,8.5
0.0,287.1,302.4,32.2,83.7,5.0,348.5,54.0,60.0,10.3,9.8,1.46,7.1
0.0,285.7,302.8,33.0,95.4,3.7,343.1,45.0,57.0,11.6,10.0,1.38,6.5
0.0,286.1,305.9,25.5,88.4,3.4,342.6,44.0,57.0,12.1,10.1,1.88,7.1
0.0,287.6,308.3,19.3,72.6,2.7,342.4,42.0,60.0,10.8,10.1,2.45,7.3
0.0,286.6,309.0,17.2,73.0,3.9,344.7,49.0,61.0,10.0,10.0,2.58,8.4
0.0,287.0,306.9,20.2,72.6,4.0,345.3,49.0,61.0,9.7,10.0,2.25,8.0
0.0,286.6,307.7,20.0,77.2,3.6,340.7,48.0,62.0,9.4,10.0,2.31,7.8
0.0,289.2,307.6,20.6,67.2,3.7,335.5,49.0,63.0,9.1,9.9,2.41,7.9
0.0,291.3,310.7,14.4,56.8,3.3,325.2,49.0,66.0,8.2,9.7,3.15,8.3
0.0,291.9,310.4,15.2,56.3,4.1,234.1,54.0,67.0,7.6,9.5,3.11,8.0
0.0,293.3,309.9,14.2,48.4,3.8,275.1,53.0,69.0,7.1,9.3,3.22,8.2
0.0,292.7,305.0,27.5,64.0,3.4,257.0,47.0,65.0,7.8,9.3,2.08,6.4
0.0,288.2,305.2,27.2,83.2,3.7,315.4,49.0,64.0,8.9,9.4,1.83,6.9
0.0,287.0,303.9,22.1,70.6,4.3,315.9,53.0,65.0,8.8,9.4,1.91,7.3
0.0,286.5,303.8,22.6,73.8,3.8,317.7,50.0,65.0,8.7,9.3,1.86,6.9
0.0,286.9,304.3,27.8,87.0,4.2,314.4,51.0,63.0,9.4,9.4,1.69,6.8
0.0,287.8,303.6,31.6,88.3,5.0,312.6,53.0,60.0,10.5,9.5,1.54,6.9
0.0,287.8,304.5,26.2,79.5,3.6,313.2,46.0,61.0,10.5,9.6,1.81,6.7
