pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,300.1,314.3,14.7,42.1,2.4,340.1,59.0,86.0,5.4,6.6,4.35,8.3
0.0,297.3,312.4,14.6,44.2,2.4,345.3,59.0,86.0,5.3,6.5,3.84,8.0
0.0,288.5,311.7,11.2,57.8,2.0,350.4,56.0,86.0,5.5,6.5,3.34,7.4
0.0,287.5,300.2,27.7,66.5,3.1,349.1,60.0,81.0,6.3,6.6,1.55,6.4
0.0,286.1,304.0,23.8,78.5,1.6,347.7,48.0,80.0,7.3,6.7,1.82,5.9
0.0,289.0,305.6,23.2,70.6,2.5,344.7,55.0,79.0,7.6,6.7,2.1,6.8
0.0,289.3,307.1,23.8,76.4,1.7,343.2,48.0,78.0,8.0,6.8,2.2,6.3
0.0,290.4,308.6,23.2,78.9,1.2,341.1,43.0,77.0,8.4,7.0,2.37,6.0
0.0,294.8,311.1,16.3,54.0,2.4,321.7,55.0,79.0,7.7,7.0,3.33,7.4
0.0,295.2,309.3,18.2,52.4,1.9,282.0,50.0,79.0,7.2,7.0,3.06,6.3
0.0,296.8,310.6,18.7,52.3,2.5,222.9,55.0,79.0,6.9,6.9,3.29,6.5
0.0,294.7,310.9,21.1,64.8,2.3,323.9,54.0,80.0,7.0,6.9,2.99,7.2
0.0,292.0,310.2,19.8,69.4,2.7,325.5,57.0,80.0,7.2,6.9,2.81,7.4
0.0,291.4,311.4,12.1,54.2,1.7,323.0,52.0,82.0,6.8,6.9,3.38,6.6
0.0,295.0,312.6,6.7,34.0,2.3,302.4,60.0,86.0,5.8,6.7,4.17,7.4
0.0,293.3,309.3,11.4,42.8,2.1,295.9,56.0,85.0,5.5,6.7,3.3,6.6
0.0,291.6,310.3,15.6,60.2,2.8,321.7,62.0,84.0,5.8,6.7,3.04,7.6
0.0,290.2,308.9,15.4,60.1,2.3,288.6,56.0,83.0,6.0,6.7,2.82,6.6
0.0,289.6,307.4,18.9,66.5,2.8,250.8,59.0,82.0,6.5,6.6,2.46,6.3
0.0,288.5,304.8,24.5,75.4,3.8,320.7,65.0,79.0,7.3,6.7,1.94,7.0
0.0,288.8,305.2,19.9,64.7,1.9,319.8,51.0,80.0,7.3,6.7,2.19,5.9
0.0,289.5,307.6,18.1,65.7,2.5,318.2,56.0,80.0,7.3,6.8,2.51,6.7
0.0,289.3,306.3,21.4,70.2,2.0,316.9,51.0,79.0,7.6,6.9,2.23,6.0
0.0,289.8,307.0,20.6,68.8,2.0,314.7,51.0,78.0,7.7,7.0,2.35,6.1
0.0,288.8,302.5,33.5,84.2,4.2,309.6,63.0,73.0,8.9,7.2,1.48,6.3
0.0,288.0,302.9,32.0,86.8,2.8,312.5,51.0,71.0,9.9,7.4,1.51,5.8
0.0,287.5,304.7,18.2,63.9,2.2,313.9,51.0,75.0,9.1,7.4,2.16,6.0
0.0,288.9,306.0,16.4,58.3,2.2,293.8,52.0,76.0,8.3,7.3,2.42,6.0
0.0,290.0,305.2,20.8,62.5,2.3,308.9,52.0,76.0,8.0,7.4,2.22,6.1
0.0,287.4,300.9,31.2,79.2,4.4,306.6,64.0,72.0,8.8,7.6,1.43,6.2
