pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
1.1,275.4,285.5,57.1,100.0,4.5,269.1,0.0,20.0,15.8,17.4,0.22,2.6
0.0,276.7,291.5,36.5,100.0,2.8,310.6,26.0,31.0,16.0,17.4,0.6,3.9
0.0,281.9,299.1,16.5,60.1,2.3,314.6,27.0,37.0,13.2,17.1,1.53,5.3
0.0,284.4,299.4,16.3,51.5,2.0,316.5,28.0,40.0,11.1,16.9,1.66,5.3
0.0,280.8,296.8,22.1,70.2,2.6,274.7,30.0,40.0,10.4,16.6,1.21,4.8
0.0,280.1,294.0,33.4,86.8,2.8,312.7,30.0,39.0,11.1,16.4,0.81,4.5
0.0,280.8,297.5,29.7,92.6,1.4,312.2,25.0,40.0,11.8,15.8,1.02,4.5
0.0,287.1,303.1,21.3,65.6,1.7,313.7,29.0,44.0,10.6,15.2,1.82,5.5
0.0,282.6,297.9,34.2,94.8,4.2,305.2,39.0,41.0,11.8,15.2,0.96,5.2
0.0,281.7,292.2,43.5,87.4,3.7,318.5,35.0,39.0,12.3,15.3,0.63,4.4
0.0,280.4,291.2,44.9,92.1,4.7,303.0,38.0,38.0,13.1,15.4,0.55,4.1
0.0,280.0,288.4,59.3,100.0,5.3,284.3,36.0,33.0,14.6,15.7,0.29,3.2
0.6,280.2,288.4,62.6,100.0,6.3,265.2,0.0,23.0,15.9,15.8,0.24,2.9
0.0,279.6,292.3,41.9,97.9,3.2,324.1,30.0,35.0,15.9,15.5,0.59,4.2
0.0,281.0,295.9,27.8,78.9,1.4,326.1,25.0,39.0,14.2,15.2,1.03,4.6
0.0,283.1,298.3,23.3,68.7,2.1,328.3,30.0,43.0,12.3,14.9,1.33,5.3
0.0,280.6,297.4,29.9,93.7,1.9,326.6,28.0,41.0,12.7,15.0,1.02,4.8
0.0,281.1,295.6,35.4,93.8,1.9,332.3,27.0,40.0,13.2,15.1,0.84,4.7
0.0,281.4,297.3,29.5,87.2,2.1,333.8,29.0,41.0,12.8,15.0,1.06,5.0
0.0,281.3,295.4,33.5,87.4,3.0,335.4,34.0,42.0,12.7,14.7,0.89,5.0
0.9,280.3,291.1,49.5,100.0,4.7,330.1,0.0,27.0,14.2,14.7,0.46,4.1
2.5,276.1,286.7,68.0,100.0,6.0,274.0,0.0,23.0,16.3,15.0,0.07,2.2
0.0,277.1,295.1,23.5,85.0,2.3,341.6,30.0,40.0,14.6,15.0,1.0,4.9
0.0,280.9,294.9,28.7,76.7,2.8,337.8,33.0,41.0,13.2,14.8,0.99,5.1
0.0,280.4,296.2,26.6,80.4,1.8,342.2,29.0,43.0,12.3,14.8,1.06,4.9
0.0,280.7,297.4,23.8,77.4,1.5,342.5,29.0,45.0,11.5,14.6,1.2,5.0
0.0,282.0,298.2,27.2,82.9,1.8,341.4,30.0,45.0,11.2,14.3,1.17,5.2
0.0,283.7,298.9,27.2,77.3,3.1,341.6,38.0,47.0,10.8,13.9,1.27,5.9
0.0,284.1,300.8,23.8,75.7,2.8,341.2,38.0,50.0,10.3,13.5,1.48,6.1
0.0,281.3,298.5,29.8,95.1,3.2,337.7,39.0,47.0,11.3,13.6,1.08,5.6
