pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,277.8,289.0,43.0,70.9,8.2,315.9,58.0,50.0,9.0,12.3,0.61,4.7
0.0,277.3,290.0,39.4,71.4,7.3,321.1,55.0,51.0,9.3,12.0,0.68,4.9
0.0,277.9,291.3,35.1,65.6,8.1,377.1,61.0,54.0,9.2,11.7,0.8,5.8
0.0,281.8,294.8,30.2,52.3,6.2,373.4,54.0,56.0,8.7,11.6,1.15,6.7
0.0,284.0,298.4,24.4,44.0,4.0,374.2,45.0,58.0,7.9,11.4,1.56,7.1
0.0,286.0,300.1,27.8,49.8,6.1,368.2,56.0,59.0,7.6,11.3,1.63,8.0
0.0,289.1,302.5,29.6,50.3,7.1,365.3,61.0,59.0,7.5,11.1,1.86,8.9
0.0,287.6,301.2,32.4,57.0,6.9,363.8,60.0,59.0,7.6,10.9,1.6,8.2
0.0,286.8,298.9,32.2,51.6,7.9,366.9,66.0,60.0,7.6,10.6,1.47,8.1
0.0,287.4,302.4,25.3,46.7,4.4,370.2,50.0,63.0,7.3,10.3,1.93,7.9
0.0,287.8,301.8,25.3,43.6,2.5,239.1,38.0,63.0,6.9,10.1,1.91,5.6
0.0,281.2,296.2,34.9,70.8,3.9,364.5,45.0,61.0,7.7,10.2,1.05,6.0
0.0,281.1,295.1,40.1,77.7,7.7,362.0,62.0,58.0,8.7,10.3,0.88,6.1
0.0,284.5,297.9,33.9,60.4,8.1,362.5,66.0,60.0,8.5,10.2,1.27,7.5
0.0,285.3,297.3,38.7,63.8,9.0,349.9,69.0,59.0,8.7,10.1,1.14,7.2
0.0,285.5,297.6,41.3,73.7,6.9,338.6,59.0,58.0,9.2,10.0,1.05,6.5
0.0,286.1,299.6,32.7,62.6,8.3,363.3,68.0,61.0,8.9,9.8,1.41,8.0
0.0,289.0,303.6,20.8,40.2,9.7,371.0,80.0,65.0,7.8,9.7,2.24,10.9
0.0,291.4,306.8,15.5,29.8,7.8,372.5,74.0,68.0,6.7,9.5,2.92,11.6
0.0,295.6,308.7,15.9,26.1,2.8,368.9,45.0,70.0,5.9,9.3,3.41,8.3
0.0,296.1,309.8,16.8,28.7,4.1,368.4,54.0,72.0,5.4,9.1,3.53,9.6
0.0,298.0,311.8,19.1,33.1,2.7,363.5,45.0,73.0,5.2,8.8,3.79,8.5
0.0,296.9,309.5,21.0,34.5,3.5,359.8,50.0,74.0,5.2,8.5,3.32,8.9
0.0,296.9,309.8,19.9,32.9,4.6,362.2,58.0,75.0,5.1,8.3,3.42,9.9
0.0,295.8,307.9,22.9,36.9,1.7,359.6,39.0,75.0,5.2,8.2,2.97,7.0
0.0,294.8,305.9,22.8,34.7,7.0,358.1,72.0,75.0,5.3,8.1,2.73,10.5
0.0,294.1,307.3,22.5,39.2,5.8,356.4,65.0,75.0,5.4,8.0,2.8,9.9
0.0,294.6,308.6,21.4,38.8,3.6,357.3,52.0,76.0,5.4,7.9,3.01,8.7
0.0,295.8,309.9,19.3,34.5,4.0,353.9,55.0,77.0,5.3,7.7,3.37,9.3
0.0,293.8,303.7,29.9,43.7,2.0,257.5,39.0,73.0,5.7,7.6,2.18,5.6
