pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,280.1,298.0,26.7,71.1,7.8,335.8,73.0,63.0,8.0,9.8,1.27,7.2
0.0,278.4,294.7,33.6,82.7,4.9,340.2,54.0,61.0,8.9,9.8,0.9,5.4
0.0,278.5,294.7,34.3,83.7,4.7,332.6,52.0,59.0,9.7,9.9,0.89,5.3
0.0,278.0,297.9,27.8,85.9,3.3,341.2,45.0,60.0,10.0,9.9,1.16,5.7
1.1,281.7,298.4,32.1,79.0,4.0,109.4,0.0,44.0,10.5,10.0,1.18,4.2
0.0,287.3,302.7,37.4,82.0,3.2,319.9,42.0,57.0,10.6,10.1,1.39,6.2
0.0,287.9,302.5,37.8,78.5,3.6,310.6,44.0,57.0,10.5,10.2,1.41,6.2
0.0,283.0,299.8,38.4,94.5,4.6,330.7,48.0,54.0,11.5,10.3,1.07,6.0
0.0,281.9,302.2,25.2,76.7,7.2,362.6,67.0,59.0,10.7,10.3,1.6,8.3
0.0,282.6,310.1,13.5,61.5,7.5,367.9,74.0,64.0,9.3,10.1,2.91,12.1
0.0,285.3,313.9,9.7,45.3,9.1,364.3,88.0,67.0,7.8,9.8,3.83,15.2
0.0,287.5,315.8,9.5,42.4,8.8,363.4,89.0,70.0,6.8,9.6,4.28,15.7
0.0,287.6,313.9,12.3,49.2,5.9,361.1,71.0,71.0,6.3,9.4,3.75,12.2
0.0,285.5,311.0,16.6,65.3,2.2,361.5,45.0,71.0,6.4,9.2,2.96,7.7
0.0,284.8,305.0,26.0,76.6,2.7,360.5,45.0,68.0,7.2,9.1,1.87,6.9
0.0,284.9,302.1,33.1,82.0,2.5,355.2,42.0,65.0,8.3,9.2,1.42,6.2
0.0,284.8,302.8,32.3,83.9,2.9,354.0,44.0,63.0,9.0,9.2,1.48,6.4
0.0,284.8,305.7,25.9,79.7,3.5,350.5,49.0,64.0,9.2,9.3,1.92,7.4
0.0,285.9,309.0,22.5,77.6,4.2,353.8,54.0,65.0,9.0,9.3,2.41,8.6
0.0,286.5,314.4,15.0,67.0,5.8,356.5,67.0,68.0,8.3,9.2,3.57,11.8
0.0,287.7,312.0,18.0,64.9,5.0,353.7,62.0,69.0,7.8,9.1,3.1,10.3
0.0,287.0,308.5,24.0,74.8,3.7,354.6,52.0,67.0,8.0,9.0,2.33,8.2
0.0,288.4,310.2,22.0,68.6,6.0,355.3,68.0,69.0,7.9,8.9,2.68,10.2
0.0,288.0,311.5,21.0,72.4,6.2,355.5,69.0,69.0,7.8,8.8,2.86,10.7
0.0,287.4,308.2,24.7,80.8,5.1,358.4,61.0,67.0,8.3,8.8,2.21,8.9
0.0,286.9,310.0,20.0,75.6,4.7,363.0,60.0,68.0,8.3,8.8,2.61,9.4
0.0,286.6,310.0,21.5,82.8,3.0,361.0,48.0,67.0,8.6,8.9,2.5,8.0
0.0,287.0,309.3,21.5,77.3,2.7,359.3,46.0,67.0,8.6,8.9,2.46,7.7
0.0,286.4,309.9,18.2,71.3,3.0,365.1,49.0,69.0,8.3,8.8,2.68,8.2
0.0,285.0,309.6,17.7,75.0,5.1,362.9,63.0,69.0,8.2,8.8,2.61,9.7
