pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,287.2,306.7,25.0,93.0,4.9,299.1,54.0,58.0,11.1,10.4,1.95,7.4
0.0,287.0,308.5,18.8,83.1,3.4,302.6,47.0,59.0,10.9,10.5,2.4,7.2
0.0,290.7,312.8,11.1,58.5,3.2,298.3,48.0,63.0,9.5,10.3,3.56,8.1
0.0,292.6,314.3,11.0,56.2,3.4,294.8,51.0,65.0,8.4,10.1,3.91,8.5
0.0,292.3,314.7,10.7,57.1,3.0,293.9,49.0,67.0,7.7,9.9,3.98,8.1
0.0,289.7,311.8,14.4,69.7,4.8,288.6,60.0,67.0,7.6,9.8,3.15,9.1
0.0,288.4,310.5,14.9,71.9,4.5,296.4,59.0,67.0,7.9,9.7,2.9,8.6
0.0,286.1,310.0,11.9,68.8,2.1,295.8,44.0,69.0,7.5,9.5,2.9,6.3
0.0,292.5,314.8,5.4,40.4,3.2,287.3,55.0,73.0,6.5,9.2,4.36,8.4
0.0,293.0,314.6,7.6,45.9,2.5,281.6,49.0,74.0,6.0,9.1,4.19,7.3
0.0,295.0,313.9,9.0,43.8,4.0,168.5,60.0,74.0,5.7,8.9,4.13,8.2
0.0,294.5,308.1,21.0,57.9,5.3,199.2,63.0,70.0,6.2,8.8,2.69,7.8
0.0,293.9,306.9,30.0,73.6,5.6,270.7,64.0,69.0,7.1,8.8,2.1,7.5
0.0,292.1,307.2,31.5,85.9,5.0,269.7,58.0,65.0,8.7,8.9,1.91,6.9
0.0,288.5,297.3,57.5,100.0,5.1,255.8,50.0,55.0,11.6,9.2,0.59,4.0
0.0,288.1,304.9,30.2,93.2,3.9,269.6,48.0,58.0,12.2,9.5,1.63,5.9
0.0,288.8,307.1,24.2,84.4,3.0,267.8,43.0,59.0,12.0,9.6,2.07,6.0
0.0,290.3,310.3,14.7,63.8,2.2,266.9,41.0,63.0,10.5,9.6,2.96,6.0
0.0,292.4,310.3,15.3,58.3,3.9,252.0,53.0,65.0,9.3,9.5,3.06,7.6
0.0,291.9,307.2,24.6,71.8,5.3,246.0,59.0,63.0,9.2,9.5,2.25,7.4
0.0,289.1,300.3,42.4,90.1,5.2,258.1,54.0,59.0,10.4,9.6,1.09,5.2
0.0,285.9,299.9,34.4,89.9,6.2,229.4,59.0,58.0,11.2,9.6,1.18,5.4
0.0,285.5,302.2,23.1,76.5,3.7,261.3,48.0,61.0,10.9,9.6,1.66,5.6
0.0,286.2,303.5,19.1,68.4,3.0,232.4,45.0,62.0,10.2,9.6,1.93,5.3
0.0,285.2,303.8,15.1,62.6,4.2,260.3,55.0,64.0,9.3,9.6,2.07,6.6
0.0,287.2,301.0,28.2,75.4,5.9,250.4,61.0,62.0,9.5,9.7,1.5,6.2
0.0,286.2,299.0,30.3,75.9,3.7,249.1,48.0,61.0,9.7,9.7,1.3,4.9
0.0,285.3,298.7,34.6,87.7,5.9,242.7,59.0,58.0,10.7,9.8,1.12,5.2
0.0,282.1,295.1,35.5,89.0,4.8,247.8,52.0,58.0,11.2,9.8,0.88,4.3
0.0,281.5,295.5,27.3,76.6,2.2,244.4,39.0,60.0,10.9,9.8,1.08,3.7
