County,incident_acres_burned,incident_longitude,incident_latitude,incident_type,Date
fresno,70.0,-120.5828,36.60736,,2017-05-19
merced,12.0,-121.07761,37.21812,,1969-12-31
san luis obispo,0.0,-120.80411,35.85253,,2017-05-19
san diego,486.0,-117.32348,33.3906,,2017-05-19
san diego,2056.0,-116.80527,32.65597,,2017-05-20
san luis obispo,17.0,-120.474,35.556667,,2017-05-20
kern,506.0,-118.85896,35.4605,,2017-05-20
riverside,10.0,-117.17773,33.94673,,2017-05-23
santa barbara,190.0,-119.8036,34.9465,,2017-05-20
san diego,25.0,-116.29296,32.679,,2017-05-24
san benito,21.0,-120.99552,36.35578,,2017-05-22
riverside,35.0,-117.20507,33.96419,,2017-05-21
san diego,1000.0,-117.39818,33.34988,,2017-05-25
riverside,120.0,-116.99651,33.88287,,2017-05-25
kern,10.0,-118.35296,34.87128,,2017-05-28
fresno,16.0,-119.58292,36.96642,,2017-05-28
riverside,48.0,-116.07429,33.58577,,2017-05-28
calaveras,15.0,-120.83484,38.19906,,2017-05-28
fresno,18.0,-120.7109,36.61332,,2017-05-28
san bernardino,16.0,-116.55326,34.04412,,2017-05-29
tulare,79.0,-119.00334,35.89423,,2017-05-31
yuba,10.0,-121.376,39.23205,,2017-05-29
sacramento,68.0,-121.11113,38.33707,,2017-06-01
riverside,26.0,-116.59719,33.94788,,2017-06-01
kern,16.0,-119.2877,35.188,,2017-06-02
modoc,42.0,-120.53443,41.38247,,2017-06-03
riverside,27.0,-116.96079,33.82165,,2017-06-03
los angeles,25.0,-118.37539,34.29931,,2017-06-03
kern,33.0,-118.4642,35.60633,,2017-06-04
tehama,78.0,-122.13088,40.38944,,2017-06-04
lassen,67.0,-120.1064,40.03392,,2017-06-04
riverside,10.0,-116.88097,33.87107,,2017-06-04
contra costa,20.0,-122.2102,37.86549,,2017-06-05
kern,10.0,-118.796513,35.564124,,2017-06-05
butte,91.0,-121.64897,39.52499,,2017-06-06
siskiyou,46.0,-122.4571,41.8721,,2017-06-06
tulare,339.0,-118.87676,36.45809,,2017-06-07
madera,157.0,-120.0193,37.12759,,2017-06-07
kern,206.0,-118.47939,35.59804,,2017-06-10
kern,35.0,-118.84134,35.37351,,2017-06-09
monterey,14.0,-120.52508,35.80375,,2017-06-09
madera,1417.0,-119.8011,37.0825,,2017-06-10
fresno,186.0,-120.405077,36.704679,,2017-06-11
napa,22.0,-122.2654,38.68347,,2017-06-13
monterey,32.0,-120.983684,35.902149,,2017-06-11
fresno,450.0,-120.369347,36.616986,,2017-06-11
fresno,76.0,-119.35901,36.8005,,2017-06-11
tuolumne,38.0,-120.45268,37.85137,,2017-06-11
riverside,33.0,-116.972036,33.584036,,2017-06-13
san diego,50.0,-117.29509,33.23281,,2017-06-13
tulare,135.0,-118.74542,35.8556,,2017-06-13
riverside,20.0,-116.85226,33.52584,,2017-06-13
san luis obispo,150.0,-120.3187,35.6871,,2017-06-14
mariposa,63.0,-120.0088,37.36914,,2017-06-15
riverside,105.0,-116.884446,33.950382,,2017-06-15
riverside,28.0,-117.11659,33.79925,,2017-06-15
butte,134.0,-121.75417,39.69717,,2017-06-16
riverside,10.0,33.939428,117.138741,,2017-06-16
monterey,32.0,-120.93371,35.90092,,2017-06-16
los angeles,850.0,-118.60703,34.55607,,2017-06-17
tehama,60.0,-122.83208,40.32063,,2017-06-18
riverside,10.0,-116.9669,33.90965,,2017-06-18
riverside,153.0,-117.21314,33.98639,,2017-06-18
madera,25.0,-119.95136,37.02081,,2017-06-18
kern,1522.0,-118.66733,35.53456,,2017-06-18
riverside,26.0,-117.31924,33.71025,,2017-06-18
siskiyou,56.0,-122.36545,41.93006,,2017-06-18
solano,39.0,-122.23004,38.07481,,2017-06-22
san bernardino,1503.0,-116.826,34.2976,,2017-06-19
sierra,168.0,-120.02325,39.71101,,2017-06-19
stanislaus,65.0,-120.68992,37.82934,,2017-06-21
santa clara,54.0,-121.76323,37.33454,,2017-06-21
butte,21.0,-121.4143,39.364,,2017-06-22
butte,111.0,-121.5786,39.38416,,2017-06-22
fresno,357.0,-120.65185,36.27306,,2017-06-23
tehama,42.0,-122.27379,40.10282,,2017-06-24
tulare,0.0,-119.50606,36.51912,,2017-06-23
los angeles,760.0,-118.49343,34.37443,,2017-06-25
san diego,36.0,-116.77342,33.1683,,2017-06-25
riverside,6309.0,-116.594422,33.530045,,2017-06-26
siskiyou,19.0,-122.645079,40.703775,,2017-06-26
san luis obispo,1626.0,-120.4992,35.4025,,2017-06-26
sacramento,35.0,-120.92162,38.45822,,2017-06-27
marin,38.0,-122.65749,37.9775,,2017-06-27
san diego,25.0,-116.8516,32.7789,,2017-06-27
san bernardino,670.0,-117.17813,34.14575,,2017-06-27
del norte,28.0,-124.19629,41.93323,,2017-06-26
santa clara,85.0,-121.71752,37.3344,,2017-06-29
monterey,15.0,-120.87492,35.947,,2017-06-28
modoc,562.0,-121.29581,41.85763,,2017-06-28
mariposa,558.0,-119.9646,37.3762,,2017-06-28
san diego,0.0,-117.58252,33.43513,,2017-06-28
kern,1200.0,-118.80123,35.38298,,2017-06-30
monterey,42.0,-121.08753,35.96275,,2017-06-29
los angeles,55.0,-118.58624,34.03941,,2017-06-29
los angeles,41.0,-118.70294,34.10446,,2017-06-29
shasta,128.0,-122.0122,40.69554,,2017-07-01
nevada,10.0,-121.06656,39.08382,,2017-07-02
riverside,11.0,-117.096233,33.913089,,2017-07-02
butte,14.0,-121.6268,39.8629,,2017-07-02
mariposa,225.0,-119.921,37.4591,,2017-07-02
fresno,1562.0,-120.620791,36.269125,,2017-07-02
riverside,30.0,-117.25411,33.96896,,2017-07-03
riverside,10.0,-116.99321,33.91806,,2017-07-03
riverside,50.0,-117.16215,33.87739,,2017-07-03
san benito,34.0,-121.30983,36.85596,,2017-07-04
san bernardino,13.0,-117.3125,34.304722,,2017-07-04
fresno,57.0,-119.51592,36.81476,,2017-07-04
riverside,35.0,-117.48405,33.99316,,2017-07-04
butte,18.0,-121.54722,39.53944,,2017-07-04
ventura,50.0,-118.98603,34.20599,,2017-07-04
siskiyou,0.0,-122.73031,41.86609,,2017-07-04
riverside,205.0,-117.48195,33.85323,,2017-07-04
tulare,21.0,-118.81979,36.10858,,2017-07-05
siskiyou,496.0,-122.8428,41.3975,,2017-07-05
el dorado,74.0,-120.97111,38.7803,,2017-07-08
stanislaus,62.0,-120.4925,37.64898,,2017-07-08
fresno,91.0,-119.65621,36.95104,,2017-07-05
calaveras,22.0,-120.67848,38.20176,,2017-07-05
yolo,1700.0,-122.0251,38.49521,,2017-07-06
kern,1626.0,-119.08312,35.59904,,2017-07-06
san luis obispo,28687.0,-120.3223,35.0179,,2017-07-06
lassen,0.0,-120.9643,40.6361,,2017-07-06
kern,2940.0,-118.89627,35.77896,,2017-07-07
siskiyou,0.0,-123.474,41.841,,2017-06-25
madera,90.0,-120.02027,37.09773,,2017-07-07
riverside,33.0,-117.314994,33.763304,,2017-07-07
butte,6033.0,-121.41222,39.45352,,2017-07-07
san bernardino,74.0,-117.06765,34.07612,,2017-07-07
san luis obispo,58.0,-120.62825,35.346,,2017-07-07
mariposa,36.0,-120.34802,37.65963,,2017-07-07
contra costa,231.0,-121.78677,37.87808,,2017-07-08
shasta,10.0,-122.38619,40.48972,,2017-07-15
santa barbara,18430.0,-119.9494,34.55096,,2017-07-08
modoc,410.0,-121.30451,41.72163,,2017-07-13
siskiyou,27276.0,-123.501,41.59,,2017-07-26
san luis obispo,340.0,-120.47322,35.42433,,2017-07-09
contra costa,370.0,-122.25544,38.02929,,2017-07-08
yuba,50.0,-121.303,39.06308,,2017-07-08
el dorado,13.0,-121.06088,38.67474,,2017-07-12
monterey,1816.0,-120.57894,35.86949,,2017-07-08
san luis obispo,1816.0,-120.57894,35.86949,,2017-07-08
tehama,29.0,-122.42606,40.29118,,2017-07-08
kings,48660.0,-120.20014,35.93273,,2017-07-09
butte,166.0,-121.53865,39.37192,,2017-07-10
sierra,747.0,-120.027222,39.439722,,2017-07-10
santa clara,70.0,-121.68562,37.25014,,2017-07-10
butte,10.0,-121.33785,39.50475,,2017-07-12
santa barbara,50.0,-120.13249,34.72379,,2017-07-17
san bernardino,460.0,-117.10567,34.09773,,2017-07-14
san diego,400.0,-116.85396,32.84796,,2017-07-11
lassen,83733.0,-120.14013,40.07045,,2017-07-11
santa clara,101.0,-121.8179,37.39801,,2017-07-11
calaveras,59.0,-120.85322,38.18303,,2017-07-12
riverside,32.0,-117.07975,33.62613,,2017-07-13
san bernardino,46.0,-117.189,34.149,,2017-07-12
marin,35.0,-122.77846,38.08055,,2017-07-12
riverside,10.0,-117.24091,33.77896,,2017-07-13
monterey,40.0,-121.74826,36.66684,,2017-07-16
mendocino,900.0,-123.28825,39.30125,,2017-07-16
mariposa,81826.0,-120.21321,37.61757,,2017-07-16
mendocino,20.0,-123.10227,39.13207,,2017-07-17
fresno,1649.0,-120.55579,35.95911,,2017-07-17
colusa,70.0,-122.20127,39.01224,,2017-07-17
calaveras,117.0,-120.62177,38.29113,,2017-07-17
modoc,15.0,-120.56933,41.45589,,2017-07-17
lake,40.0,-122.62382,38.86056,,2017-07-17
tulare,59.0,-118.78928,36.18815,,2017-07-17
kings,2312.0,-120.05404,36.05187,,2017-08-24
humboldt,19.0,-123.57562,40.39799,,2017-08-01
kern,1083.0,-119.44751,34.94373,,2017-07-18
shasta,180.0,-122.43608,40.47106,,2017-07-18
riverside,72.0,-117.25075,33.75526,,2017-07-18
tulare,58.0,-118.99944,36.64404,,2017-07-18
glenn,0.0,-122.17657,39.75425,,2017-07-19
tulare,2289.0,-118.94252,36.0226,,2017-07-30
siskiyou,0.0,-123.508,41.702,,2017-07-25
tuolumne,124.0,-120.36005,37.90014,,2017-07-30
los angeles,135.0,-118.851943,34.792882,,2017-07-28
riverside,63.0,-117.18552,33.81976,,2017-07-28
stanislaus,19.0,-120.65764,37.81827,,2017-07-18
butte,103.0,-121.74121,39.76243,,2017-07-19
plumas,4310.0,-120.9761,39.9034,,2017-07-29
tuolumne,675.0,-120.408135,37.905545,,2017-07-29
san luis obispo,47.0,-120.5634,35.06472,,2017-07-20
nevada,10.0,-120.97586,39.36902,,2017-07-21
el dorado,140.0,-120.70013,38.559707,,2017-07-26
tulare,416.0,-119.06598,36.22265,,2017-07-20
sacramento,1268.0,-121.104,38.5181,,2017-07-26
santa clara,51.0,-121.84108,37.44485,,2017-07-26
del norte,319.0,-123.506,41.478,,2017-07-19
san bernardino,85.0,-117.14466,34.20152,,2017-07-22
san diego,255.0,-116.66107,33.34659,,2017-07-22
san bernardino,20.0,-117.199,34.139,,2017-07-22
el dorado,13.0,-120.73757,38.69775,,2017-07-25
san luis obispo,150.0,-120.23656,35.7751,,2017-07-24
yuba,39.0,-121.3519,39.06522,,2017-07-24
santa clara,78.0,-121.55552,36.96607,,2017-07-23
san bernardino,170.0,-117.03031,34.41204,,2017-07-23
tehama,57.0,-122.3209,40.1583,,2017-07-28
nevada,15.0,-120.95498,39.16826,,2017-07-27
tuolumne,20.0,-120.31157,37.65986,,2017-08-01
shasta,17.0,-122.17384,40.69259,,2017-07-29
siskiyou,155.0,-121.9741,41.9808,,2017-07-29
el dorado,236.0,-121.039267,38.538332,,2017-07-30
kern,1350.0,-118.654,35.543,,2017-07-30
sonoma,11.0,-122.90217,38.70289,,2017-07-31
san bernardino,100.0,-117.26969,34.19076,,2017-07-31
riverside,200.0,-117.396404,33.689092,,2017-07-31
trinity,32.0,-123.39253,40.79902,,2017-08-02
san luis obispo,70.0,-120.2913,35.4403,,2017-08-02
san luis obispo,460.0,-120.28037,35.40357,,2017-08-02
modoc,0.0,-120.304,41.338,,2017-07-23
humboldt,85.0,-123.76099,40.11794,,2017-08-03
san bernardino,325.0,-117.03826,34.08492,,2017-08-03
los angeles,10.0,-117.85182,34.23925,,2017-08-03
humboldt,30.0,-123.64281,40.27582,,2017-08-03
lake,62.0,-122.81135,38.94599,,2017-08-08
riverside,122.0,-117.239099,34.009026,,2017-08-04
kern,50.0,-118.47307,35.70639,,2017-08-05
plumas,1020.0,-120.1397,39.75371,,2017-08-06
lassen,530.0,-120.74968,41.11989,,2017-08-06
lassen,859.0,-120.066,39.888,,2017-08-06
riverside,92.0,-116.8247,33.57139,,2017-08-07
monterey,82.0,-120.64584,35.86596,,2017-08-07
trinity,4736.0,-123.36882,40.17598,,2017-08-07
kern,338.0,-118.9267,34.92907,,2017-08-10
santa clara,100.0,-121.68165,37.14653,,2017-08-11
tehama,15.0,-122.5415,39.87983,,2017-08-10
napa,114.0,-122.2483,38.49336,,2017-08-11
riverside,19.0,-117.124538,33.797216,,2017-08-13
san luis obispo,775.0,-120.77485,35.7908,,2017-08-11
siskiyou,41.0,-122.9401,41.99279,,2017-08-13
riverside,1500.0,-117.30819,33.98212,,2017-08-13
mariposa,125.0,-120.30046,37.62823,,2017-08-13
mariposa,8094.0,-119.618,37.644,,2017-08-01
mariposa,7000.0,-119.598,37.538,,2017-08-14
riverside,600.0,-116.88066,33.95036,,2017-08-14
shasta,17.0,-121.5935,40.92602,,2017-08-17
riverside,168.0,-117.00258,33.87679,,2017-08-19
yuba,867.0,-121.32957,39.1234,,2017-08-20
plumas,186.0,-120.89746,39.9864,,2017-08-20
siskiyou,78698.0,-123.474,41.841,,2017-08-15
tulare,2295.0,-118.296,36.257,,2017-08-02
san diego,200.0,-116.42907,32.65003,,2017-08-21
siskiyou,3142.0,-123.676,41.853,,2017-08-07
modoc,7697.0,-120.321,41.466,,2017-08-03
alameda,200.0,-121.90516,37.72543,,2017-08-22
fresno,31.0,-120.443545,36.099681,,2017-08-23
san diego,62.0,-116.46989,33.20988,,2017-08-26
lassen,157.0,-120.48641,40.80968,,2017-08-26
tehama,40.0,-122.70449,40.29831,,2017-08-26
fresno,111.0,-119.43376,36.93332,,2017-08-26
alameda,44.0,-121.56425,37.56181,,2017-08-27
sonoma,18.0,-122.71998,38.26294,,2017-08-27
riverside,46.0,-117.3968,33.6444,,2017-08-27
fresno,69.0,-119.28241,36.7279,,2017-08-27
humboldt,40.0,-123.63721,41.02705,,2017-08-28
amador,10.0,-120.72274,38.34421,,2017-08-28
tulare,36556.0,-118.74103,36.15356,,2017-08-29
siskiyou,54.0,-122.27499,41.222,,2017-08-28
butte,4016.0,-121.30209,39.57701,,2017-08-29
madera,12407.0,-119.64622,37.44663,,2017-08-29
lassen,6042.0,-120.22215,40.43962,,2017-08-29
siskiyou,55.0,-121.90077,41.99483,,2017-08-29
mono,8925.0,-119.55425,38.655,,2017-08-29
modoc,28.0,-120.36659,41.4844,,2017-08-30
nevada,392.0,-121.12004,39.34292,,2017-08-30
modoc,27.0,-120.31814,41.64469,,2017-08-30
fresno,102.0,-120.32685,36.36113,,2017-08-30
humboldt,34.0,-123.64214,40.03697,,2017-08-31
trinity,21846.0,-123.10003,40.76025,,2017-08-30
riverside,85.0,34.015742,117.337331,,2017-08-31
los angeles,30.0,-118.62882,34.52055,,2017-08-31
san diego,130.0,-116.76997,32.6001,,2017-09-01
stanislaus,5247.0,-119.782,38.329,,2017-07-31
riverside,34.0,-117.33364,33.73547,,2017-09-10
stanislaus,1749.0,-119.941,38.12,,2017-09-03
shasta,25.0,-122.02525,40.71923,,2017-09-01
kern,1319.0,-118.406,35.76,,2017-09-01
los angeles,7194.0,-118.2674,34.22957,,2017-09-01
madera,1037.0,-119.48067,37.21616,,2017-09-03
fresno,100.0,-120.52189,36.09486,,2017-09-03
riverside,3800.0,-117.09984,33.97471,,2017-09-02
san luis obispo,120.0,-120.50886,35.31886,,2017-09-03
lake,21.0,-122.49327,39.01748,,2017-09-05
plumas,79.0,-120.9204,40.13278,,2017-09-03
santa clara,100.0,-121.59899,36.99092,,2017-09-03
mariposa,680.0,-119.83556,37.37397,,2017-09-03
lassen,18618.0,-119.93499,40.69573,,2017-08-30
san luis obispo,25.0,-121.04445,35.76343,,2017-09-23
siskiyou,54.0,-122.292,41.222,,2017-08-28
trinity,32.0,-123.375,40.804,,2017-08-02
tuolumne,39.0,-120.504134,37.896778,,2017-09-19
san diego,25.0,-116.61609,32.59252,,2017-09-07
mariposa,0.0,-119.78256,37.73596,,2017-09-07
san luis obispo,74.0,-120.56068,35.5956,,2017-09-26
monterey,43.0,-120.87609,36.17297,,2017-09-11
plumas,2575.0,-120.75485,39.75312,,2017-09-05
fresno,10.0,-119.32109,37.10067,,2017-09-11
lake,200.0,-122.85194,39.44543,,2017-09-12
butte,143.0,-121.56858,40.07613,,2017-09-28
siskiyou,39715.0,-123.218,42.039,,2017-08-14
san mateo,50.0,-122.3001,37.41591,,2017-09-11
shasta,900.0,-121.81623,40.98352,,2017-09-11
del norte,40.0,-124.01168,41.98128,,2017-09-12
butte,12.0,-121.60683,39.44257,,2017-09-12
lake,58.0,-123.03344,39.42604,,2017-09-12
trinity,13417.0,-123.03583,40.2275,,2017-09-12
el dorado,136.0,-120.915,38.5758,,2017-09-17
madera,483.0,-120.015509,37.14624,,2017-09-18
mendocino,146.0,-123.1362,39.02482,,2017-09-19
alameda,155.0,-121.49925,37.63358,,2017-09-19
fresno,237.0,-120.31598,36.24653,,2017-09-19
madera,48.0,-120.90462,36.94652,,2017-09-20
san luis obispo,245.0,-120.39387,35.12269,,2017-09-20
mariposa,10.0,-120.15846,37.76888,,2017-09-20
butte,28.0,-121.7127,39.8255,,2017-09-25
solano,55.0,-122.0041,38.4446,,2017-09-23
yuba,26.0,-121.40947,39.03168,,2017-09-26
alameda,22.0,-122.169,37.77982,,2017-09-26
san luis obispo,105.0,-120.65279,35.3024,,2017-09-26
orange,2662.0,-117.68598,33.8668,,2017-09-25
tulare,18900.0,-118.48555,36.27138,,2017-09-27
santa barbara,444.0,-120.4393,34.67403,,2017-09-29
kern,40.0,-118.46734,35.59302,,2017-09-29
riverside,35.0,-117.10301,33.74925,,2017-09-29
solano,100.0,-121.97233,38.43658,,2017-10-02
mariposa,17.0,-119.87465,37.41231,,2017-10-03
tehama,20.0,-122.24731,40.20077,,2017-10-03
lake,87.0,-122.576,39.15016,,2017-10-06
shasta,40.0,-122.24199,40.70627,,2017-10-08
sonoma,20.0,-123.24713,38.51937,,2017-10-07
tehama,10.0,-122.255,40.24789,,2017-10-08
humboldt,20.0,-123.96844,40.88516,,2017-10-08
butte,8500.0,-121.52966,39.62496,,2017-10-08
napa,51624.0,-122.24367,38.39206,Wildfire,2017-10-09
solano,51624.0,-122.24367,38.39206,Wildfire,2017-10-09
napa,36807.0,-122.62879,38.60895,Wildfire,2017-10-08
sonoma,36807.0,-122.62879,38.60895,Wildfire,2017-10-08
napa,44573.0,-122.5209,38.4041,Wildfire,2017-10-09
sonoma,44573.0,-122.5209,38.4041,Wildfire,2017-10-09
napa,8283.0,-122.39052,38.31802,,2017-10-08
butte,6151.0,-121.40613,39.39455,,2017-10-09
yuba,9989.0,-121.4021,39.32198,Wildfire,2017-10-08
nevada,76.0,-121.08406,39.19325,,2017-10-09
mendocino,36523.0,-123.16635,39.24873,Wildfire,2017-10-08
calaveras,130.0,-120.52953,38.40234,,2017-10-09
sonoma,1660.0,-122.47301,38.14242,,2017-10-09
san luis obispo,45.0,-120.44448,35.28738,,2017-10-09
kern,50.0,-118.56578,35.21556,,2017-10-26
lake,2207.0,-122.64543,39.01387,,2017-10-09
nevada,821.0,-121.12792,39.24549,Wildfire,2017-10-08
butte,150.0,-121.67261,39.74679,,2017-10-09
orange,9217.0,-117.70975,33.87041,,2017-10-09
riverside,866.0,-117.34192,33.60247,,2017-10-26
tehama,194.0,-121.91425,40.02261,,2017-10-26
fresno,58.0,-119.2288,36.7528,,2017-10-11
sonoma,17357.0,-122.90939,38.76549,,2017-10-09
santa cruz,391.0,-122.07012,37.18356,,2017-10-16
los angeles,50.0,-118.05545,34.22551,,2017-10-17
trinity,148.0,-123.51619,40.46836,,2017-10-14
kern,183.0,-118.76152,35.19008,,2017-10-12
san diego,25.0,-116.50897,33.18716,,2017-10-15
nevada,19.0,-121.13737,39.06414,,2017-10-10
el dorado,29.0,-120.46234,38.77921,,2017-10-10
riverside,23.0,-117.02132,33.50488,,2017-10-10
san bernardino,34.0,-117.40625,34.21829,,2017-12-05
san bernardino,260.0,-117.33334,34.16564,,2017-12-05
riverside,50.0,-117.00589,33.8826,,2017-10-23
san bernardino,40.0,-117.4982,34.13534,,2017-10-24
kern,184.0,-118.701,35.3091,,2017-10-15
san luis obispo,73.0,-120.96514,35.78616,,2017-10-13
el dorado,426.0,-120.287,38.848,,2017-10-13
lake,100.0,-122.57487,39.0199,,2017-10-14
sonoma,100.0,-122.58152,38.46123,,2017-10-14
sonoma,0.0,-122.64001,38.36685,,2017-10-09
monterey,31.0,-121.80377,36.5858,,2017-10-15
alameda,116.0,-121.85663,37.7393,,2017-10-17
san diego,1088.0,-117.402445,33.402411,,2017-10-17
stanislaus,13.0,-120.84748,37.89532,,2017-10-18
los angeles,6049.0,-118.58188,34.45283,,2017-12-05
los angeles,15619.0,-118.35863,34.31283,,2017-12-05
santa barbara,281893.0,-119.09124,34.41521,Wildfire,2017-12-04
ventura,281893.0,-119.09124,34.41521,Wildfire,2017-12-04
riverside,40.0,-117.4764,33.96514,,2017-12-04
tehama,43.0,-122.28165,39.81517,,2017-11-02
mono,370.0,-119.48284,38.46111,,2017-11-13
san diego,81.0,-117.46709,33.38613,,2017-10-13
riverside,40.0,-116.50151,33.90327,,2017-11-14
ventura,86.0,-119.30918,34.34949,,2017-10-24
san luis obispo,21.0,-120.00353,35.41112,,2017-10-20
san benito,47.0,-121.00391,36.38109,,2017-11-25
san diego,100.0,-116.37345,32.64962,,2017-10-21
san bernardino,99.0,-116.940661,34.035344,,2017-11-29
san diego,4088.0,-117.163,33.3237,,2017-12-07
riverside,300.0,-117.14979,33.59257,,2017-12-07
riverside,19.0,-116.91023,33.88994,,2017-12-13
los angeles,422.0,-118.48178,34.09454,,2017-12-06
santa barbara,14.0,-120.27077,34.71796,Wildfire,2017-12-16
santa barbara,14.0,-120.414875,34.605358,Wildfire,2017-12-14
riverside,45.0,-117.38417,33.9885,Wildfire,2017-12-21
el dorado,80.0,-119.61865,38.869036,Wildfire,2017-12-28
monterey,50.0,-121.28185,35.96689,,2018-02-07
inyo,2070.0,-118.50235,37.40208,,2018-02-18
alameda,12.0,-121.6039,37.73835,,2018-05-14
riverside,1261.0,-117.05992,33.62924,,2018-05-17
riverside,15.0,-116.164058,33.711263,,2018-04-15
santa barbara,258.0,-119.76576,34.0232,,2018-03-27
shasta,11.0,-121.77419,40.4635,,2018-03-27
riverside,21.0,-117.48144,33.86439,,2018-04-09
san diego,12.0,-116.58759,33.12213,,2018-05-10
siskiyou,127.0,-122.48556,41.65935,,2018-05-09
riverside,18.0,-117.16232,33.88744,,2018-04-22
plumas,20.0,-120.18499,39.89075,,2018-04-26
santa barbara,60.0,-120.18236,34.74245,,2018-05-17
san diego,18.0,-117.27467,33.40178,,2018-05-09
san diego,300.0,-117.502405,33.389425,,2018-05-04
merced,1756.0,-120.77206,36.85156,,2018-05-02
riverside,70.0,-117.148204,33.504964,,2018-05-04
riverside,15.0,-117.003829,33.467999,,2018-05-04
inyo,1065.0,-118.08449,36.71537,,2018-04-19
humboldt,0.0,-123.55012,40.70258,,2018-04-24
riverside,73.0,-117.32281,33.67815,,2018-04-28
tulare,26.0,-118.9821,35.826333,,2018-05-18
tehama,103.0,-122.21032,40.31759,,2018-05-18
siskiyou,27.0,-122.513883,41.791859,,2018-05-19
merced,88.0,-121.01638,37.056944,,2018-05-20
napa,12.0,-122.23059,38.16303,,2018-05-21
san diego,59.0,-117.03134,33.35505,,2018-05-22
madera,56.0,-119.75307,37.0979,,2018-05-23
san luis obispo,100.0,-120.12441,35.56922,,2018-05-24
fresno,108.0,-119.42172,36.75581,,2018-05-26
santa clara,16.0,-121.76828,37.21803,,2018-05-27
riverside,10.0,-116.10231,33.53924,,2018-05-28
glenn,75.0,-122.58666,39.65578,,2018-05-28
stanislaus,63.0,-121.10903,37.32744,,2018-05-29
san luis obispo,25.0,-120.64028,35.71859,,2018-05-29
alameda,484.0,-121.57918,37.75375,Wildfire,2018-05-30
yolo,14.0,-122.01762,38.64953,,2018-06-01
glenn,127.0,-122.65582,39.46543,,2018-06-01
tehama,23.0,-122.29388,40.201826,,2018-06-01
contra costa,23.0,-121.86473,37.99113,,2018-06-02
orange,175.0,-117.72044,33.55132,,2018-06-02
riverside,10.0,-117.22215,33.45014,,2018-06-02
fresno,13.0,-120.55324,36.10499,,2018-06-02
tehama,10.0,-122.3307,39.80827,,2018-06-03
riverside,11.0,-117.31468,33.47413,,2018-06-03
riverside,17.0,-117.28189,33.742,,2018-06-03
san benito,35.0,-121.36446,36.83036,,2018-06-03
san luis obispo,12.0,-120.91793,35.75737,,2018-06-03
siskiyou,37.0,-122.33769,41.58233,,2018-06-03
san diego,38.0,-117.06782,32.78031,,2018-06-03
san diego,10.0,-116.92404,32.75072,,2018-06-03
los angeles,1352.0,-118.31138,34.5486,,2018-06-04
siskiyou,12.0,-122.98442,41.64805,,2018-06-04
san benito,1314.0,-120.99322,36.40755,,2018-06-04
san benito,513.0,-120.901167,36.378333,,2018-06-04
madera,300.0,-119.623981,37.10181,,2018-06-04
san benito,64.0,-121.03253,36.64832,,2018-06-04
sonoma,10.0,-122.44408,38.245151,,2018-06-05
san diego,12.0,-117.22974,33.40769,,2018-06-05
san diego,265.0,-116.46674,32.63046,,2018-06-06
san joaquin,62.0,-121.09199,38.24033,,2018-06-11
merced,200.0,-120.24315,37.33924,,2018-06-07
tehama,2956.0,-122.3571,39.94355,,2018-06-09
glenn,2290.0,-122.58218,39.64978,,2018-06-09
marin,12.0,-122.5275,37.97638,,2018-06-09
los angeles,175.0,-122.5275,37.97638,,2018-06-09
monterey,96.0,-121.11936,35.9352,,2018-06-09
san benito,215.0,-120.862579,36.37532,,2018-06-12
san luis obispo,60.0,-120.670311,35.663607,,2018-06-13
orange,155.0,-117.746625,33.787838,,2018-06-11
riverside,154.0,-117.654299,33.925862,,2018-06-12
los angeles,20.0,-118.427886,34.110516,,2018-06-12
tehama,70.0,-122.135924,40.394073,,2018-06-13
riverside,20.0,-116.821724,33.524412,,2018-06-14
butte,20.0,-121.617698,39.602703,,2018-06-14
san luis obispo,60.0,-120.624135,35.58354,,2018-06-14
lassen,646.0,-120.36403,40.3768,,2018-06-14
merced,4563.0,-120.34207,37.39339,,2018-06-15
madera,60.0,-119.91223,37.14663,,2018-06-15
mariposa,53.0,-119.84299,37.47677,,2018-06-15
butte,40.0,-121.521111,39.549167,,2018-06-16
lake,32.0,-122.476381,38.886518,,2018-06-16
contra costa,25.0,-121.998967,38.015323,,2018-06-16
amador,17.0,-120.892404,38.265645,,2018-06-17
alameda,20.0,-121.806775,37.627119,,2018-06-17
merced,185.0,-121.176354,37.05876,,2018-06-17
mariposa,115.0,-120.199162,37.707234,,2018-06-18
contra costa,40.0,-121.908976,37.779209,,2018-06-19
monterey,10.0,-120.57833,35.77017,,2018-06-19
san luis obispo,1500.0,-120.75593,35.73629,,2018-06-20
san luis obispo,10.0,-120.39295,35.05747,Wildfire,2018-06-21
shasta,328.0,-122.17457,40.52909,,2018-06-23
tehama,3392.0,-121.77867,40.35068,,2018-06-23
tehama,170.0,-122.19792,40.12791,,2018-06-23
tehama,268.0,-122.27574,40.18395,Wildfire,2018-06-23
lake,15180.0,-122.59848,39.0674,Wildfire,2018-06-23
los angeles,62.0,-118.75495,34.53765,,2018-06-23
colusa,75.0,-122.512012,39.2976,,2018-07-04
kern,95.0,-118.72905,35.1234,,2018-06-29
shasta,1678.0,-122.42308,40.50318,,2018-06-24
tuolumne,163.0,-120.30187,37.80785,,2018-06-24
calaveras,80.0,-120.68902,37.95766,Wildfire,2018-06-24
