County,incident_acres_burned,incident_longitude,incident_latitude,incident_type,Date
san mateo,41.0,-122.427285,37.667295,,2013-09-07
contra costa,3111.0,-121.882582,37.90757,,2013-09-08
tulare,134.0,-118.459,36.258,,2013-09-08
san bernardino,73.0,-117.106075,34.003151,,2013-09-11
los angeles,268.0,-117.908,34.149,,2013-09-23
modoc,97.0,-120.375,41.73325,,2013-09-05
nevada,52.0,-121.107022,39.333401,,2013-08-31
butte,80.0,-121.713938,39.731878,,2013-08-31
modoc,68.0,-120.959,41.569,,2013-09-07
tuolumne,257314.0,-120.086,37.857,,2013-08-17
san diego,263.0,-116.746023,32.710918,,2013-09-09
lake,30.0,-122.683,38.9777,,2013-09-15
san luis obispo,94.0,-120.8358,35.4393,,2013-09-24
mendocino,98.0,-122.966,38.9252,,2013-09-28
napa,376.0,-122.289,38.628,,2013-10-03
sonoma,159.0,-122.6503,38.34599,,2013-10-04
san diego,2236.0,-117.3092,33.341,,2013-10-05
butte,305.0,-121.497,39.439,,2013-10-04
orange,40.0,-117.6649,33.7655,,2013-10-06
yolo,163.0,-122.08725,38.67479,,2013-11-04
shasta,33.0,-122.140914,40.483662,,2013-11-07
san luis obispo,51.0,-120.751555,35.457978,,2013-11-08
lake,120.0,-122.567525,38.882214,,2013-11-08
napa,190.0,-122.311,38.382,,2013-11-21
ventura,64.0,-119.13249,34.384,,2013-11-14
mendocino,82.0,-123.1478,39.0442,,2013-11-22
sonoma,3505.0,-122.8498,38.8167,,2013-11-22
lake,50.0,-122.7656,39.0448,,2013-11-23
lake,23.0,-122.5818,38.9289,,2013-11-23
santa clara,40.0,-121.717706,37.342186,,2013-12-31
tehama,865.0,-121.790183,40.134597,,2014-01-02
los angeles,1952.0,-117.8816,34.1703,,2014-01-16
humboldt,333.0,-123.773779,40.884415,,2014-01-04
fresno,106.0,-119.3415,36.8266,,2014-01-25
san diego,125.0,-116.49,32.81,,2014-03-08
monterey,400.0,-121.4819,36.6313,,2014-03-19
riverside,57.0,-116.1985,33.5982,,2014-03-28
inyo,113.0,-118.352,37.399,,2014-04-19
san bernardino,2143.0,-117.547374,34.169346,,2014-04-30
san diego,29.0,-116.222,32.665,,2014-05-05
san diego,1548.0,-117.133,33.003,,2014-05-13
monterey,75.0,-121.117,36.103,,2014-04-30
santa barbara,632.0,-120.454,34.609,,2014-05-13
san diego,5367.0,-117.284889,33.3529,,2014-05-14
san diego,1457.0,-117.550567,33.417572,,2014-05-16
san diego,380.0,-117.162,33.312,,2014-05-14
shasta,50.0,-122.721,40.39,,2014-05-14
san diego,1995.0,-117.1599,33.1137,,2014-05-14
san diego,600.0,-117.279,33.1109,,2014-05-14
lake,175.0,-122.5983,39.1647,,2014-05-25
