County,Date,Year,Month,Day,incident_acres_burned,log_acres_burned,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),No_Drought,D0,D1,D2,D3,D4,Drought_Score,Drought_D3_D4,Any_Drought,Temp_Range,Avg_Temp,Is_Fire_Season,Season,Fire_Impact_Per_Capita,Max_Air_Temp_mean_7d,Max_Air_Temp_max_7d,Min_Air_Temp_mean_7d,Min_Air_Temp_min_7d,Precip_sum_7d,Precip_max_7d,Avg_Wind_Speed_mean_7d,Avg_Wind_Speed_max_7d,Max_Rel_Hum_mean_7d,Max_Rel_Hum_min_7d,Sol_Rad_mean_7d,Avg_Vap_Pres_mean_7d,ETo_sum_7d,Avg_Soil_Temp_mean_7d,Wind_Run_sum_7d,Population,Density,Land Area (mi)
siskiyou,2016-06-07,2016,6,7,2860.0,7.95892649305011,0.25,0.0,599.0,14.8,88.3,53.0,94.0,5.6,133.2,69.3,29.97,70.03,7.62,0.0,0.0,0.0,77.65,0.0,70.03,35.3,70.65,1,Summer,0.06559181707680664,84.45714285714284,90.3,45.68571428571429,40.0,0.0,0.0,4.142857142857143,5.5,88.71428571428571,81.0,620.8571428571429,11.471428571428572,1.6600000000000001,65.74285714285715,694.9999999999999,43603.0,6.944258639910814,6279.0
stanislaus,2016-06-07,2016,6,7,120.0,4.795790545596741,0.29,0.0,661.0,15.2,90.4,57.6,89.0,8.5,205.1,74.0,0.0,100.0,100.0,100.0,100.0,0.0,400.0,100.0,100.0,32.800000000000004,74.0,1,Summer,0.00022158209616662973,95.85714285714286,98.5,55.457142857142856,53.1,0.0,0.0,4.928571428571429,5.7,85.0,80.0,651.0,13.342857142857142,1.9499999999999997,73.82857142857142,825.5999999999999,541560.0,362.0053475935829,1496.0
kern,2016-06-11,2016,6,11,61.0,4.127134385045092,0.27,0.0,707.0,11.5,86.1,60.0,72.0,4.8,115.4,78.0,0.0,100.0,100.0,100.0,100.0,73.06,473.06,173.06,100.0,26.099999999999994,73.05,1,Summer,6.894306884813086e-05,95.2,102.3,61.98571428571429,59.9,0.0,0.0,3.642857142857143,4.3,71.42857142857143,57.0,683.8571428571429,13.414285714285713,1.94,79.88571428571429,616.6,884788.0,108.76312231100184,8135.0
shasta,2016-06-11,2016,6,11,24.0,3.2188758248682006,0.26,0.0,728.0,6.4,75.0,44.5,61.0,6.2,148.2,64.4,0.0,100.0,17.13,0.0,0.0,0.0,117.13,0.0,100.0,30.5,59.75,1,Summer,0.00013360722815104298,83.47142857142856,93.1,49.95714285714286,42.7,0.09000000000000005,0.09,5.271428571428571,8.5,87.0,76.0,614.2857142857143,12.828571428571427,1.7000000000000002,65.67142857142856,886.9,179631.0,47.57176906779661,3776.0
tehama,2016-06-11,2016,6,11,80.0,4.394449154672439,0.4,0.0,751.0,7.9,87.3,63.9,40.0,12.3,294.5,71.7,0.0,100.0,99.88,0.0,0.0,0.0,199.88,0.0,100.0,23.4,75.6,1,Summer,0.0012643024211391365,89.38571428571429,99.9,62.60000000000001,57.6,0.0,0.0,5.3,7.1,78.71428571428571,70.0,657.4285714285714,16.857142857142858,1.83,74.65714285714286,890.5999999999999,63276.0,21.45676500508647,2949.0
san benito,2016-06-12,2016,6,12,83.0,4.430816798843313,0.22,0.0,694.0,13.5,73.3,51.2,90.0,4.1,99.5,72.2,0.0,100.0,100.0,100.0,96.95,59.53,456.48,156.48000000000002,100.0,22.099999999999994,62.25,1,Summer,0.0013969771434342074,80.98571428571428,87.0,52.214285714285715,46.4,0.0,0.0,4.214285714285714,5.4,91.57142857142857,83.0,659.7142857142857,13.457142857142856,1.61,72.54285714285713,708.5,59414.0,42.77465802735781,1389.0
santa barbara,2016-06-15,2016,6,15,7474.0,8.919319398258887,0.23,0.0,689.0,10.7,70.5,46.3,93.0,5.2,125.8,75.3,0.0,100.0,100.0,100.0,100.0,100.0,500.0,200.0,100.0,24.200000000000003,58.4,1,Summer,0.01675146244704933,76.11428571428573,79.5,51.785714285714285,48.4,0.0,0.0,5.171428571428572,5.7,94.57142857142857,91.0,586.5714285714286,14.099999999999998,1.4000000000000001,75.88571428571429,868.4,446170.0,163.19312362838332,2734.0
amador,2016-06-17,2016,6,17,210.0,5.351858133476067,0.17,0.0,476.0,11.4,77.8,45.4,89.0,3.3,79.1,69.4,0.0,100.0,100.0,92.63,0.0,0.0,292.63,0.0,100.0,32.4,61.599999999999994,1,Summer,0.005617526683251745,76.11428571428573,82.8,47.528571428571425,42.0,0.0,0.0,3.6857142857142855,4.1,81.57142857142857,71.0,669.2857142857143,9.271428571428572,1.59,70.28571428571429,620.2,37383.0,62.82857142857143,595.0
monterey,2016-06-18,2016,6,18,70.0,4.2626798770413155,0.26,0.0,702.0,12.4,83.9,49.7,95.0,5.8,139.8,71.1,0.0,100.0,99.83,81.3,72.2,52.77,406.09999999999997,124.97,100.0,34.2,66.80000000000001,1,Summer,0.00016083376222336592,78.85714285714286,86.3,46.25714285714286,39.8,0.0,0.0,7.557142857142857,11.9,88.0,82.0,669.1428571428571,10.942857142857141,1.72,70.58571428571429,1265.4,435232.0,132.61182205971969,3282.0
san diego,2016-06-19,2016,6,19,7609.0,8.937218450855731,0.21,0.0,692.0,12.6,98.9,65.6,60.0,4.0,95.4,73.5,0.0,100.0,100.0,100.0,66.61,0.0,366.61,66.61,100.0,33.30000000000001,82.25,1,Summer,0.0022934224379240263,77.11428571428571,88.7,57.42857142857143,54.6,0.009999999999999778,0.01,4.3,4.9,81.57142857142857,72.0,609.8571428571429,13.957142857142857,1.4600000000000002,70.94285714285715,724.8,3317749.0,788.0638954869358,4210.0
butte,2016-06-20,2016,6,20,112.0,4.727387818712341,0.25,0.0,744.0,16.8,92.0,52.6,100.0,1.9,46.4,72.1,0.0,100.0,100.0,0.0,0.0,0.0,200.0,0.0,100.0,39.4,72.3,1,Summer,0.0004936878482262501,76.07142857142857,87.5,54.18571428571429,49.9,0.32000000000000045,0.17,3.6000000000000005,5.0,87.42857142857143,71.0,552.5714285714286,13.799999999999999,1.27,71.67142857142858,605.4,226864.0,138.66992665036676,1636.0
butte,2016-06-21,2016,6,21,49.0,3.912023005428146,0.26,0.0,740.0,19.4,96.2,54.7,100.0,2.0,47.0,72.1,0.0,100.0,100.0,0.0,0.0,0.0,200.0,0.0,100.0,41.5,75.45,1,Summer,0.0002159884335989844,77.62857142857142,92.0,53.65714285714285,49.9,0.32000000000000045,0.17,3.2142857142857144,5.0,88.42857142857143,71.0,561.7142857142857,13.985714285714284,1.27,71.41428571428571,542.0,226864.0,138.66992665036676,1636.0
placer,2016-06-21,2016,6,21,88.0,4.48863636973214,0.3,0.0,705.0,10.1,97.7,68.8,40.0,4.1,98.0,73.9,0.0,100.0,100.0,17.43,0.0,0.0,217.43,0.0,100.0,28.900000000000006,83.25,1,Summer,0.00023125579781936294,80.17142857142858,94.4,55.857142857142854,48.3,0.0,0.0,3.6571428571428575,4.3,71.28571428571429,54.0,589.3571428571429,10.914285714285715,1.5,70.2,614.1999999999999,380531.0,270.45557924662404,1407.0
tehama,2016-06-21,2016,6,21,43.0,3.784189633918261,0.29,0.0,717.0,14.7,98.0,59.9,83.0,4.4,106.6,71.7,0.0,100.0,99.88,0.0,0.0,0.0,199.88,0.0,100.0,38.1,78.95,1,Summer,0.0006795625513622859,77.60000000000001,90.5,55.142857142857146,52.9,0.6999999999999996,0.5,5.6571428571428575,9.0,85.42857142857143,71.0,618.8571428571429,12.542857142857143,1.56,69.61428571428571,947.0,63276.0,21.45676500508647,2949.0
kern,2016-06-23,2016,6,23,48019.0,10.779372869775244,0.27,0.0,728.0,12.7,95.0,58.1,79.0,2.7,64.1,78.6,0.0,100.0,100.0,100.0,100.0,73.06,473.06,173.06,100.0,36.9,76.55,1,Summer,0.05427175775439992,90.35714285714286,97.9,58.77142857142858,49.5,0.0,0.0,3.2285714285714286,3.9,79.71428571428571,75.0,710.8571428571429,14.442857142857141,1.81,77.32857142857142,544.0,884788.0,108.76312231100184,8135.0
monterey,2016-06-23,2016,6,23,52.0,3.970291913552122,0.33,0.0,730.0,9.7,93.7,45.5,92.0,8.0,192.5,73.1,0.0,100.0,99.83,81.3,72.2,52.77,406.09999999999997,124.97,100.0,48.2,69.6,1,Summer,0.00011947650908021469,88.78571428571429,95.0,47.614285714285714,39.8,0.0,0.0,6.299999999999999,7.2,85.57142857142857,75.0,724.2857142857143,10.885714285714284,2.05,71.68571428571428,1056.7,435232.0,132.61182205971969,3282.0
alameda,2016-06-25,2016,6,25,211.0,5.356586274672012,0.24,0.0,665.0,14.1,85.8,51.3,92.0,3.1,73.7,71.7,0.0,100.0,100.0,82.42,44.83,0.0,327.25,44.83,100.0,34.5,68.55,1,Summer,0.0001280569811082573,77.38571428571427,85.8,51.628571428571426,48.9,0.0,0.0,3.357142857142857,4.1,90.0,83.0,656.1428571428571,13.457142857142856,1.53,70.38571428571429,561.6,1647704.0,2235.6906377204887,737.0
merced,2016-06-25,2016,6,25,1246.0,7.1284959456800365,0.24,0.0,696.0,9.4,99.2,49.2,75.0,6.7,161.5,86.6,0.0,100.0,100.0,100.0,100.0,0.0,400.0,100.0,100.0,50.0,74.2,1,Summer,0.004637625059552167,94.55714285714285,100.4,50.314285714285724,47.0,0.0,0.0,6.185714285714286,7.5,75.14285714285714,67.0,679.5714285714286,9.114285714285716,1.6199999999999999,85.37142857142858,1038.5,268672.0,138.63364293085655,1938.0
mono,2016-06-25,2016,6,25,650.0,6.478509642208569,0.28,0.0,771.0,7.9,96.2,47.5,57.0,2.4,57.3,75.7,0.0,100.0,100.0,100.0,89.61,12.94,402.55,102.55,100.0,48.7,71.85,1,Summer,0.09337395277989338,95.78571428571429,100.2,50.9,43.3,0.0,0.0,3.5285714285714285,4.2,57.0,37.0,768.2857142857143,7.857142857142857,2.11,73.8142857142857,595.5,13228.0,4.338471630042637,3049.0
lake,2016-06-26,2016,6,26,215.0,5.375278407684165,0.3,0.0,725.0,11.8,94.4,49.1,85.0,4.8,115.1,70.2,0.0,100.0,95.46,0.59,0.0,0.0,196.04999999999998,0.0,100.0,45.300000000000004,71.75,1,Summer,0.003353297148917587,87.97142857142856,95.0,48.1,43.3,0.10999999999999924,0.07,4.414285714285714,6.0,90.57142857142857,82.0,769.8571428571429,12.257142857142858,1.87,68.47142857142856,743.1999999999999,64116.0,51.08844621513944,1255.0
orange,2016-06-26,2016,6,26,47.0,3.871201010907891,0.21,0.0,598.0,19.0,84.5,59.1,99.0,3.2,76.0,75.0,0.0,100.0,100.0,100.0,100.0,73.46,473.46,173.45999999999998,100.0,25.4,71.8,1,Summer,1.4814665383989823e-05,84.14285714285714,89.96666666666667,62.11428571428571,59.5,0.0,0.0,3.8285714285714283,4.1,87.85714285714286,75.0,633.4285714285714,15.985714285714286,1.6,73.71428571428571,642.3,3172532.0,4000.670870113493,793.0
yolo,2016-06-26,2016,6,26,277.0,5.627621113690637,0.29,0.0,732.0,14.5,98.7,58.9,76.0,3.9,94.7,71.9,0.0,100.0,100.0,81.76,0.0,0.0,281.76,0.0,100.0,39.800000000000004,78.8,1,Summer,0.0012835840260979972,92.68571428571428,97.1,54.857142857142854,52.4,0.0,0.0,5.142857142857143,5.7,71.57142857142857,57.0,746.1428571428571,11.814285714285715,2.09,70.61428571428571,865.4000000000001,215802.0,213.0325765054294,1013.0
calaveras,2016-06-27,2016,6,27,33.0,3.5263605246161616,0.3,0.0,734.0,9.7,98.8,58.9,52.0,3.0,72.8,73.0,0.0,100.0,100.0,100.0,71.18,0.0,371.18,71.18,100.0,39.9,78.85,1,Summer,0.0007305572159128645,91.28571428571429,96.4,54.2,48.2,0.0,0.0,3.3000000000000003,3.8,67.71428571428571,52.0,670.1428571428571,9.314285714285713,1.87,71.71428571428571,553.9,45171.0,44.28529411764706,1020.0
san luis obispo,2016-06-27,2016,6,27,86.0,4.465908118654584,0.26,0.0,693.0,11.6,95.5,62.5,69.0,4.0,95.5,70.5,0.0,100.0,100.0,100.0,100.0,87.06,487.06,187.06,100.0,33.0,79.0,1,Summer,0.00030400831427389736,89.25714285714287,94.0,54.15714285714286,49.4,0.0,0.0,3.885714285714286,5.0,84.57142857142857,78.0,713.1428571428571,11.828571428571427,1.86,69.47142857142856,654.7,282887.0,85.6973644350197,3301.0
amador,2016-06-28,2016,6,28,372.0,5.921578419643816,0.29,0.0,718.0,11.0,98.6,61.0,59.0,2.9,69.6,73.4,0.0,100.0,100.0,92.63,0.0,0.0,292.63,0.0,100.0,37.599999999999994,79.8,1,Summer,0.009951047267474521,92.24285714285715,98.8,55.18571428571429,48.2,0.0,0.0,3.3142857142857145,3.8,63.714285714285715,52.0,689.1428571428571,9.314285714285715,1.9200000000000002,72.02857142857142,557.4,37383.0,62.82857142857143,595.0
el dorado,2016-06-28,2016,6,28,5645.0,8.638702608813434,0.33,0.0,724.0,8.7,96.9,69.4,34.0,5.7,136.1,64.9,0.0,100.0,100.0,40.39,0.0,0.0,240.39,0.0,100.0,27.5,83.15,1,Summer,0.03041077441077441,90.68571428571428,97.0,58.385714285714286,32.0,0.0,0.0,5.771428571428572,6.6,39.0,33.0,773.7142857142857,7.742857142857142,2.2199999999999998,63.34285714285714,970.0,185625.0,108.67974238875878,1708.0
placer,2016-06-28,2016,6,28,5645.0,8.638702608813434,0.32,0.0,698.0,11.6,102.5,74.7,38.0,4.1,99.3,76.8,0.0,100.0,100.0,17.43,0.0,0.0,217.43,0.0,100.0,27.799999999999997,88.6,1,Summer,0.014834533848753452,96.28571428571429,101.4,66.01428571428572,58.4,0.0,0.0,3.8857142857142852,4.6,46.857142857142854,35.0,708.5714285714286,10.442857142857145,2.1,74.6857142857143,652.9,380531.0,270.45557924662404,1407.0
tehama,2016-06-30,2016,6,30,464.0,6.142037405587356,0.31,0.0,736.0,17.6,105.7,65.1,86.0,4.8,115.8,75.4,0.0,100.0,99.88,0.0,0.0,0.0,199.88,0.0,100.0,40.60000000000001,85.4,1,Summer,0.007332954042606992,97.54285714285713,104.3,60.92857142857143,55.9,0.0,0.0,4.685714285714285,6.1,74.42857142857143,65.0,746.1428571428571,14.4,2.1,73.32857142857142,790.5,63276.0,21.45676500508647,2949.0
ventura,2016-06-30,2016,6,30,2304.0,7.742835955430749,0.2,0.0,625.0,17.7,76.3,56.9,100.0,4.0,95.4,72.0,0.0,100.0,100.0,100.0,100.0,100.0,500.0,200.0,100.0,19.4,66.6,1,Summer,0.002711423991865728,77.07142857142857,80.9,58.042857142857144,52.5,0.0,0.0,3.685714285714286,4.0,100.0,100.0,593.1428571428571,18.814285714285713,1.3399999999999999,71.52857142857142,619.5,849738.0,461.56328082563823,1841.0
fresno,2016-07-01,2016,7,1,2944.0,7.987864096085687,0.31,0.0,957.0,11.1,102.8,71.4,56.0,4.0,96.9,74.7,0.0,100.0,100.0,100.0,100.0,60.94,460.94,160.94,100.0,31.39999999999999,87.1,1,Summer,0.00300434221335524,99.60000000000001,102.7,60.857142857142854,57.8,0.0,0.0,6.3999999999999995,8.4,56.142857142857146,52.0,748.7142857142857,10.185714285714287,2.47,72.08571428571429,1076.7,979915.0,164.47045988586774,5958.0
inyo,2016-07-01,2016,7,1,30.0,3.4339872044851463,0.26,0.04,643.0,12.2,93.8,62.1,63.0,3.9,94.6,70.0,0.0,100.0,97.62,77.61,44.23,13.39,332.85,57.62,100.0,31.699999999999996,77.95,1,Summer,0.059344700768973586,98.3,101.7,53.41428571428572,47.5,0.02,0.01,2.6714285714285713,3.1,62.285714285714285,37.0,680.1428571428571,9.857142857142858,1.86,75.84285714285714,447.5,18039.0,1.7690497205060312,10197.0
kern,2016-07-01,2016,7,1,1785.0,7.487733761436444,0.3,0.0,685.0,15.0,99.6,63.7,77.0,4.1,97.6,80.1,0.0,100.0,100.0,100.0,100.0,73.06,473.06,173.06,100.0,35.89999999999999,81.65,1,Summer,0.0020174324244903864,98.34285714285714,101.7,63.75714285714286,58.4,0.0,0.0,3.1571428571428575,3.4,81.0,78.0,685.4285714285714,16.24285714285714,1.92,79.14285714285714,526.9,884788.0,108.76312231100184,8135.0
tehama,2016-07-01,2016,7,1,88.0,4.48863636973214,0.3,0.0,727.0,19.9,96.2,66.4,83.0,4.4,105.7,76.0,0.0,100.0,99.88,0.0,0.0,0.0,199.88,0.0,100.0,29.799999999999997,81.30000000000001,1,Summer,0.0013907326632530501,100.05714285714286,105.7,61.814285714285724,55.9,0.0,0.0,4.7,6.1,74.57142857142857,65.0,746.1428571428571,14.842857142857143,2.13,73.65714285714286,793.0,63276.0,21.45676500508647,2949.0
ventura,2016-07-01,2016,7,1,45.0,3.828641396489095,0.2,0.01,620.0,18.2,75.1,55.0,100.0,3.9,93.2,71.2,0.0,100.0,100.0,100.0,100.0,100.0,500.0,200.0,100.0,20.099999999999994,65.05,1,Summer,5.29574998411275e-05,77.3142857142857,80.9,58.67142857142857,53.1,0.0,0.0,3.742857142857143,4.0,100.0,100.0,592.0,18.885714285714283,1.34,71.8,627.6999999999999,849738.0,461.56328082563823,1841.0
calaveras,2016-07-02,2016,7,2,310.0,5.739792912179234,0.27,0.0,716.0,11.4,91.0,59.3,64.0,3.3,78.1,75.8,0.0,100.0,100.0,100.0,71.18,0.0,371.18,71.18,100.0,31.700000000000003,75.15,1,Summer,0.006862810210090545,96.01428571428572,98.8,58.628571428571426,52.4,0.0,0.0,3.057142857142857,3.2,57.714285714285715,52.0,734.8571428571429,10.228571428571428,2.0,73.5,515.2,45171.0,44.28529411764706,1020.0
fresno,2016-07-04,2016,7,4,145.0,4.983606621708336,0.33,0.0,746.0,10.2,96.7,58.6,60.0,6.3,152.0,74.2,0.0,100.0,100.0,100.0,100.0,60.94,460.94,160.94,100.0,38.1,77.65,1,Summer,0.00014797201798115144,100.88571428571429,102.8,63.957142857142856,59.5,0.0,0.0,5.528571428571429,7.4,56.0,54.0,765.1428571428571,11.042857142857144,2.36,73.52857142857144,931.6000000000001,979915.0,164.47045988586774,5958.0
madera,2016-07-04,2016,7,4,103.0,4.6443908991413725,0.29,0.0,633.0,7.8,95.75999999999999,62.52,73.5,4.7,113.8,82.0,0.0,100.0,100.0,100.0,100.0,38.71,438.71,138.71,100.0,33.23999999999999,79.14,1,Summer,0.0006658176952364945,100.97714285714287,105.5,61.49714285714286,58.6,0.0,0.0,4.4,5.3,87.21428571428571,80.0,620.2857142857143,12.114285714285716,2.01,84.27142857142857,739.4000000000001,154697.0,72.38979878334113,2137.0
shasta,2016-07-08,2016,7,8,303.0,5.717027701406222,0.16,0.0,686.0,12.7,77.1,49.3,87.0,6.1,146.6,66.3,0.0,100.0,16.68,0.0,0.0,0.0,116.68,0.0,100.0,27.799999999999997,63.199999999999996,1,Summer,0.0016867912554069176,85.14285714285714,93.3,50.15714285714286,46.6,0.0,0.0,4.957142857142857,5.5,84.42857142857143,76.0,683.5714285714286,12.485714285714286,1.93,67.62857142857143,834.4,179631.0,47.57176906779661,3776.0
los angeles,2016-07-09,2016,7,9,1100.0,7.00397413672268,0.23,0.0,669.0,18.6,93.3,58.8,97.0,2.0,48.2,76.6,0.0,100.0,100.0,100.0,100.0,85.59,485.59000000000003,185.59,100.0,34.5,76.05,1,Summer,0.00010850357297333821,85.9857142857143,89.9,59.81428571428571,57.4,0.0,0.0,1.5857142857142859,2.1,92.42857142857143,89.0,643.0,17.499999999999996,1.4500000000000002,76.0142857142857,267.8,10137915.0,2497.0233990147785,4060.0
sacramento,2016-07-10,2016,7,10,87.0,4.477336814478207,0.25,0.0,694.0,11.0,84.8,53.7,79.0,3.9,93.2,73.2,0.0,100.0,100.0,92.32,0.0,0.0,292.32,0.0,100.0,31.099999999999994,69.25,1,Summer,5.7446218454102455e-05,87.88571428571429,93.6,58.65714285714285,55.6,0.0,0.0,4.8428571428571425,5.5,80.71428571428571,72.0,697.8571428571429,14.4,1.7800000000000002,75.05714285714285,812.5999999999999,1514460.0,1569.3886010362694,965.0
fresno,2016-07-11,2016,7,11,188.0,5.241747015059643,0.32,0.0,756.0,9.3,90.7,53.7,70.0,6.4,152.9,72.5,0.0,100.0,100.0,100.0,100.0,60.94,460.94,160.94,100.0,37.0,72.2,1,Summer,0.00019185337503763083,92.45714285714287,96.7,58.471428571428575,54.9,0.0,0.0,6.92857142857143,9.3,62.857142857142854,56.0,739.1428571428571,10.842857142857143,2.25,74.15714285714286,1162.5,979915.0,164.47045988586774,5958.0
ventura,2016-07-11,2016,7,11,15.0,2.772588722239781,0.22,0.0,637.0,16.6,77.3,55.5,93.0,3.8,91.8,72.3,0.0,100.0,100.0,100.0,100.0,100.0,500.0,200.0,100.0,21.799999999999997,66.4,1,Summer,1.76524999470425e-05,75.15714285714286,77.3,56.72857142857142,55.4,0.0,0.0,3.8428571428571425,4.3,98.0,96.0,586.1428571428571,17.014285714285716,1.32,71.11428571428571,647.0,849738.0,461.56328082563823,1841.0
calaveras,2016-07-12,2016,7,12,341.0,5.834810737062605,0.27,0.0,869.0,8.9,86.3,52.0,69.0,3.6,85.6,72.5,0.0,100.0,100.0,100.0,71.18,0.0,371.18,71.18,100.0,34.3,69.15,1,Summer,0.0075490912310995995,82.60000000000001,85.4,50.18571428571429,45.1,0.0,0.0,3.442857142857143,3.9,82.85714285714286,69.0,713.2857142857143,10.9,1.71,73.74285714285715,577.8000000000001,45171.0,44.28529411764706,1020.0
calaveras,2016-07-12,2016,7,12,35.0,3.58351893845611,0.27,0.0,869.0,8.9,86.3,52.0,69.0,3.6,85.6,72.5,0.0,100.0,100.0,100.0,71.18,0.0,371.18,71.18,100.0,34.3,69.15,1,Summer,0.0007748334108166745,82.60000000000001,85.4,50.18571428571429,45.1,0.0,0.0,3.442857142857143,3.9,82.85714285714286,69.0,713.2857142857143,10.9,1.71,73.74285714285715,577.8000000000001,45171.0,44.28529411764706,1020.0
kern,2016-07-13,2016,7,13,221.0,5.402677381872279,0.26,0.0,713.0,15.6,93.9,58.5,84.0,3.0,71.5,79.9,0.0,100.0,100.0,100.0,100.0,73.06,473.06,173.06,100.0,35.400000000000006,76.2,1,Summer,0.00024977734779404787,90.87142857142855,94.4,59.74285714285714,55.2,0.0,0.0,3.3428571428571425,3.8,80.85714285714286,69.0,705.8571428571429,14.114285714285714,1.8400000000000003,80.28571428571429,560.7,884788.0,108.76312231100184,8135.0
ventura,2016-07-13,2016,7,13,78.0,4.3694478524670215,0.21,0.13,629.0,17.2,78.7,54.8,95.0,3.8,90.8,71.9,0.0,100.0,100.0,100.0,100.0,100.0,500.0,200.0,100.0,23.900000000000006,66.75,1,Summer,9.1792999724621e-05,75.95714285714287,77.3,55.72857142857142,54.2,0.0,0.0,3.7142857142857144,3.8,97.42857142857143,93.0,603.8571428571429,16.985714285714288,1.38,71.54285714285713,627.3000000000001,849738.0,461.56328082563823,1841.0
fresno,2016-07-15,2016,7,15,123.0,4.820281565605037,0.32,0.0,712.0,10.4,100.9,62.3,59.0,4.8,114.5,74.2,0.0,100.0,100.0,100.0,100.0,60.94,460.94,160.94,100.0,38.60000000000001,81.6,1,Summer,0.0001255210911150457,93.15714285714286,99.9,57.92857142857143,53.7,0.0,0.0,6.642857142857144,9.3,63.142857142857146,56.0,732.8571428571429,10.400000000000002,2.25,73.35714285714286,1113.5,979915.0,164.47045988586774,5958.0
kern,2016-07-15,2016,7,15,138.0,4.9344739331306915,0.28,0.0,693.0,15.2,97.3,63.2,79.0,3.4,81.8,81.2,0.0,100.0,100.0,100.0,100.0,73.06,473.06,173.06,100.0,34.099999999999994,80.25,1,Summer,0.0001559695655908534,91.52857142857142,96.6,59.58571428571429,55.2,0.0,0.0,3.1999999999999997,3.8,82.85714285714286,75.0,704.4285714285714,14.799999999999999,1.8199999999999998,80.11428571428571,535.5,884788.0,108.76312231100184,8135.0
yolo,2016-07-15,2016,7,15,84.0,4.442651256490317,0.27,0.0,706.0,13.7,94.4,51.9,84.0,4.5,109.0,75.1,0.0,100.0,100.0,81.76,0.0,0.0,281.76,0.0,100.0,42.50000000000001,73.15,1,Summer,0.00038924569744488004,90.1,98.1,56.58571428571428,51.9,0.0,0.0,5.614285714285714,8.7,77.57142857142857,70.0,718.0,13.185714285714285,2.0000000000000004,73.65714285714286,942.1,215802.0,213.0325765054294,1013.0
san diego,2016-07-18,2016,7,18,100.0,4.61512051684126,0.23,0.0,665.0,18.3,79.2,62.1,92.0,3.7,89.7,76.0,0.0,100.0,100.0,100.0,66.61,0.0,366.61,66.61,100.0,17.1,70.65,1,Summer,3.0140917833145305e-05,79.62857142857142,82.5,60.9,58.6,0.0,0.0,3.957142857142857,4.3,91.0,88.0,661.2857142857143,18.057142857142857,1.56,75.71428571428571,665.3000000000001,3317749.0,788.0638954869358,4210.0
lake,2016-07-19,2016,7,19,69.0,4.248495242049359,0.23,0.0,643.0,13.4,82.6,50.0,91.0,5.0,120.9,71.0,0.0,100.0,95.46,0.59,0.0,0.0,196.04999999999998,0.0,100.0,32.599999999999994,66.3,1,Summer,0.0010761744338386675,88.8142857142857,97.8,48.614285714285714,45.7,0.27999999999999925,0.19,3.757142857142857,4.9,91.42857142857143,87.0,700.7142857142857,13.985714285714286,1.78,71.77142857142857,632.8,64116.0,51.08844621513944,1255.0
siskiyou,2016-07-19,2016,7,19,26.0,3.295836866004329,0.24,0.0,749.0,9.6,77.1,32.0,94.0,7.0,167.6,67.8,0.0,100.0,0.01,0.0,0.0,0.0,100.01,0.0,100.0,45.099999999999994,54.55,1,Summer,0.0005962892461527877,79.5,85.4,42.800000000000004,38.6,0.03999999999999989,0.04,5.285714285714286,6.6,92.71428571428571,86.0,693.5714285714286,10.242857142857144,1.79,67.5,887.4999999999999,43603.0,6.944258639910814,6279.0
calaveras,2016-07-21,2016,7,21,57.0,4.060443010546419,0.27,0.0,699.0,7.7,86.7,53.7,59.0,3.7,88.9,73.6,0.0,100.0,100.0,100.0,71.18,0.0,371.18,71.18,100.0,33.0,70.2,1,Summer,0.001261871554758584,88.34285714285714,95.9,54.44285714285714,49.1,0.0,0.0,3.5142857142857147,4.0,65.14285714285714,50.0,699.0,9.357142857142858,1.8599999999999999,72.75714285714285,590.0,45171.0,44.28529411764706,1020.0
san diego,2016-07-21,2016,7,21,1245.0,7.1276936993473985,0.26,0.0,663.0,20.0,92.2,65.3,91.0,3.5,84.8,77.1,0.0,100.0,100.0,100.0,66.61,0.0,366.61,66.61,100.0,26.900000000000006,78.75,1,Summer,0.00037525442702265904,81.98571428571428,90.7,62.6,60.4,0.02999999999999978,0.03,3.9,4.1,91.57142857142857,89.0,653.2857142857143,19.057142857142857,1.5799999999999998,75.97142857142856,654.4,3317749.0,788.0638954869358,4210.0
siskiyou,2016-07-21,2016,7,21,23.0,3.1780538303479458,0.28,0.0,697.0,8.6,81.8,40.8,85.0,5.9,141.5,67.0,0.0,100.0,0.01,0.0,0.0,0.0,100.01,0.0,100.0,41.0,61.3,1,Summer,0.000527486640827466,79.94285714285715,85.4,42.199999999999996,32.0,0.0,0.0,5.471428571428571,7.0,92.42857142857143,86.0,698.0,10.0,1.7799999999999998,67.84285714285714,917.5999999999999,43603.0,6.944258639910814,6279.0
el dorado,2016-07-22,2016,7,22,50.0,3.9318256327243257,0.3,0.0,726.0,6.8,91.1,62.8,37.0,5.5,132.7,65.2,0.0,100.0,100.0,40.39,0.0,0.0,240.39,0.0,100.0,28.299999999999997,76.94999999999999,1,Summer,0.00026936026936026934,87.22857142857143,94.6,60.95714285714286,56.6,0.0,0.0,5.5,6.9,44.285714285714285,33.0,724.1428571428571,7.914285714285714,2.09,65.38571428571429,926.3,185625.0,108.67974238875878,1708.0
