County,Date,Year,Month,Day,incident_acres_burned,log_acres_burned,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),No_Drought,D0,D1,D2,D3,D4,Drought_Score,Drought_D3_D4,Any_Drought,Temp_Range,Avg_Temp,Is_Fire_Season,Season,Fire_Impact_Per_Capita,Max_Air_Temp_mean_7d,Max_Air_Temp_max_7d,Min_Air_Temp_mean_7d,Min_Air_Temp_min_7d,Precip_sum_7d,Precip_max_7d,Avg_Wind_Speed_mean_7d,Avg_Wind_Speed_max_7d,Max_Rel_Hum_mean_7d,Max_Rel_Hum_min_7d,Sol_Rad_mean_7d,Avg_Vap_Pres_mean_7d,ETo_sum_7d,Avg_Soil_Temp_mean_7d,Wind_Run_sum_7d,Population,Density,Land Area (mi)
los angeles,2013-05-17,2013,5,17,712.0,6.569481420414296,0.07,0.0,254.0,14.6,70.2,59.1,84.0,2.7,65.9,67.7,0.0,100.0,100.0,29.18,0.0,0.0,229.18,0.0,100.0,11.100000000000001,64.65,1,Spring,7.166312293194771e-05,85.48571428571428,96.4,56.48571428571428,51.6,0.0,0.0,2.557142857142857,2.8,81.85714285714286,71.0,612.5714285714286,14.414285714285713,1.45,68.02142857142857,428.9,9935375.0,2447.136699507389,4060.0
madera,2013-05-19,2013,5,19,91.0,4.5217885770490405,0.28,0.0,710.0,10.6,84.0,53.5,82.0,6.3,151.3,71.0,0.0,100.0,100.0,100.0,0.0,0.0,300.0,0.0,100.0,30.5,68.75,1,Spring,0.0006005530367525259,84.54285714285713,94.3,52.04285714285714,42.3,0.0,0.0,4.942857142857143,5.8,86.14285714285714,81.0,642.7142857142857,12.27142857142857,1.7,72.61428571428571,828.0,151527.0,70.90641085634067,2137.0
riverside,2013-05-20,2013,5,20,25.0,3.258096538021482,0.29,0.0,741.0,11.7,93.0,56.1,79.0,4.9,117.8,69.8,0.0,100.0,89.23,52.16,0.0,0.0,241.39000000000001,0.0,100.0,36.9,74.55,1,Spring,1.1056056861742683e-05,81.67142857142858,99.0,58.65714285714285,54.6,0.0,0.0,4.642857142857143,5.1,72.28571428571429,43.0,657.2857142857143,11.742857142857144,1.67,69.61428571428571,778.9,2261204.0,313.66403107227075,7209.0
san luis obispo,2013-05-20,2013,5,20,35.0,3.58351893845611,0.27,0.0,701.0,8.1,86.3,53.5,75.0,4.1,98.1,65.3,0.0,100.0,100.0,92.17,0.0,0.0,292.17,0.0,100.0,32.8,69.9,1,Spring,0.00012766267872775023,71.78571428571429,81.1,47.84285714285714,44.8,0.0,0.0,3.5142857142857147,4.5,90.0,86.0,627.5714285714286,11.171428571428573,1.36,65.47142857142858,590.8,274160.0,83.05362011511663,3301.0
riverside,2013-05-21,2013,5,21,90.0,4.51085950651685,0.24,0.0,663.0,13.3,86.8,58.4,84.0,4.5,107.2,70.4,0.0,100.0,89.23,52.16,0.0,0.0,241.39000000000001,0.0,100.0,28.4,72.6,1,Spring,3.9801804702273654e-05,80.81428571428572,93.0,56.98571428571428,54.6,0.0,0.0,4.6571428571428575,5.1,77.42857142857143,65.0,659.5714285714286,12.1,1.64,69.54285714285713,781.9,2261204.0,313.66403107227075,7209.0
san diego,2013-05-22,2013,5,22,100.0,4.61512051684126,0.2,0.0,623.0,15.4,72.1,58.2,97.0,5.3,126.7,74.7,0.0,100.0,100.0,19.43,0.0,0.0,219.43,0.0,100.0,13.899999999999991,65.15,1,Spring,3.15026611873038e-05,71.52857142857144,74.4,56.957142857142856,54.6,0.0,0.0,4.5,5.1,94.57142857142857,85.0,635.0,15.714285714285717,1.4,68.94545454545454,756.4,3174335.0,753.998812351544,4210.0
san diego,2013-05-23,2013,5,23,2650.0,7.8826922062890254,0.21,0.0,687.0,13.6,67.2,55.1,86.0,5.3,127.8,74.7,0.0,100.0,100.0,19.43,0.0,0.0,219.43,0.0,100.0,12.100000000000001,61.150000000000006,1,Spring,0.0008348205214635506,71.87142857142857,74.4,57.15714285714285,54.6,0.0,0.0,4.642857142857143,5.3,94.57142857142857,85.0,632.8571428571429,15.728571428571428,1.4,74.10714285714286,779.7,3174335.0,753.998812351544,4210.0
riverside,2013-05-25,2013,5,25,124.0,4.8283137373023015,0.2,0.0,597.0,11.1,76.1,54.2,77.0,4.6,109.9,68.6,0.0,100.0,89.23,52.16,0.0,0.0,241.39000000000001,0.0,100.0,21.89999999999999,65.15,1,Spring,5.4838042034243706e-05,80.78571428571429,93.0,57.314285714285724,54.6,0.0,0.0,4.8,5.5,78.0,69.0,676.4285714285714,12.4,1.65,69.92857142857143,805.0,2261204.0,313.66403107227075,7209.0
san luis obispo,2013-05-25,2013,5,25,50.0,3.9318256327243257,0.2,0.0,717.0,9.5,64.1,39.5,90.0,3.3,78.2,63.4,0.0,100.0,100.0,92.17,0.0,0.0,292.17,0.0,100.0,24.599999999999994,51.8,1,Spring,0.00018237525532535746,73.7,86.3,46.01428571428572,42.9,0.0,0.0,4.028571428571429,4.8,84.71428571428571,75.0,702.0,9.228571428571428,1.57,64.5,675.5,274160.0,83.05362011511663,3301.0
san diego,2013-05-26,2013,5,26,2500.0,7.824445930877619,0.21,0.0,664.0,13.8,68.9,53.1,98.0,4.3,104.2,74.7,0.0,100.0,100.0,19.43,0.0,0.0,219.43,0.0,100.0,15.800000000000004,61.0,1,Spring,0.000787566529682595,70.61428571428571,74.4,56.07142857142857,54.3,0.0,0.0,4.6,5.3,94.71428571428571,86.0,659.4285714285714,15.1,1.4500000000000002,74.10714285714286,772.5,3174335.0,753.998812351544,4210.0
