gridmet_id,UniqueId,Name,StartedDateOnly,Latitude,Longitude,AcresBurned
fire_00050,f88a7291-9122-49fa-864d-b807fa360393,Flores Fire,2016-07-01,40.07846,-122.2071,88.0
fire_00051,423df2bd-4464-44e0-8b8a-74f953613287,Curry Fire,2016-07-01,36.0749,-120.452041,2944.0
fire_00052,6f07d935-7d64-4be8-8e96-d34384686bf8,Lone Pine Fire,2016-07-01,36.58972,-118.15589,30.0
fire_00053,902a3085-e518-4090-a2e5-20d0482b4dc2,Appaloosa Fire,2016-07-02,38.02845,-120.61153,310.0
fire_00054,fbe85bec-6399-442f-8a3f-ca4a25bb2b3b,Scott Fire,2016-07-10,38.517772,-121.103642,87.0
fire_00055,e55dd16e-1712-4b97-a2f3-add0877b98cd,Frame Fire,2016-07-04,36.14161,-120.62048,145.0
fire_00056,8e920d15-72f4-4e76-a3b4-22a364d6cf19,Broken Fire,2016-07-04,37.25601,-119.65776,103.0
fire_00057,174608a2-14fd-4278-9811-cb7e5e5a3883,Kuehner Fire,2016-07-01,34.27619,-118.63264,45.0
fire_00058,7ebdcc3e-f402-4ab7-88d4-82d99d59b019,Shelter Fire,2016-07-11,33.11645,-116.58542,15.0
fire_00059,85832754-5848-4454-84fc-8b0a9abbff40,Pacheco Fire,2016-07-12,38.08056,-120.81394,341.0
fire_00060,eb9d05b5-7578-44bf-9eb1-3ddba425ff20,Stagecoach Fire,2016-07-12,37.96311,-120.67335,35.0
fire_00061,b6b6ef56-0d7f-4c97-b072-74b712aa1e65,Dunnigan Fire,2016-07-15,38.8866,-122.04726,84.0
fire_00062,0dc19167-07b3-45e6-9bad-ad070934616a,Onyx Fire,2016-07-13,35.68313,-118.21793,221.0
fire_00063,69b7a19e-7be7-43c1-8779-c7110b22f552,Sherwood Fire,2016-07-13,36.92244,-119.39619,78.0
fire_00064,73083049-8bc2-4444-911b-f3d0812fb70c,Famoso Fire,2016-07-15,35.60748,-118.94811,138.0
fire_00065,a32de567-3d32-434a-9128-7947deaec3bb,Green Fire,2016-07-15,37.0099,-119.5792,123.0
fire_00066,d96a2f4f-8e4d-4534-abe2-d90530e2bbc3,Feather Fire,2016-07-18,32.9612,-116.7945,100.0
fire_00067,6a75dc36-9f37-4c3a-870d-345f94a8104c,Foothill Fire,2016-07-19,39.0863,-122.7891,69.0
fire_00068,be2805af-a801-4ca9-b9e7-14f3b896097e,Bailey Fire,2016-07-19,41.96191,-122.59328,26.0
fire_00069,bd2b7bdc-0f92-451a-a3a5-03569d27c952,Goose Fire,2016-07-30,37.01591,-119.50507,2241.0
fire_00070,2dae3029-2d17-445a-9fac-e95345b179e0,Baker Fire,2016-07-21,37.98171,-120.64241,57.0
fire_00071,dc7637b2-fa97-47c7-bbce-c0fd1a015592,Oak Fire,2016-07-22,38.33475,-122.02564,57.0
fire_00072,78eccd24-9fe2-4ccd-90fa-a1e0fdc19b41,Roblar Fire,2016-07-21,33.393,-117.35093,1245.0
fire_00073,5d276af0-17d5-47d5-8f0e-86756d91b5c6,Table Fire,2016-07-21,41.71847,-122.36924,23.0
fire_00074,947aab39-3d8a-4841-8fc3-d129d8bbf6a3,Bradley Fire,2016-07-22,35.85093,-120.81081,100.0
fire_00075,977ac7ce-4204-4cd3-9f89-727142165261,Soberanes Fire,2016-07-22,36.45994,-121.89938,132127.0
fire_00076,d045584a-8838-4d64-91dc-3ebfbcd8e708,Holy Fire,2016-08-31,33.6542,-117.5221,150.0
fire_00077,383c3df6-a1eb-40fd-b798-41481dff679a,Ken Fire,2016-09-03,34.25858,-117.4415,20.0
fire_00078,c94fda40-ab7a-42d1-bfc9-ca5f39fb6e7d,Saddle Fire,2016-09-05,39.6871,-121.571,800.0
fire_00079,2a2e0af5-24d7-4903-bab4-3705f5d788fb,Ruff Fire ,2016-09-10,39.7299,-123.5044,50.0
fire_00080,324a3c48-efcc-4385-ab87-baf0b5e29b5d,Spring Fire,2016-09-07,34.3183,-117.3189,50.0
fire_00081,af8f8070-a3d6-4ca2-8e2b-6da1049a5bea,Phoenix Fire,2016-09-07,39.39051,-120.51887,38.0
fire_00082,47ee7239-2bc9-4794-8582-982a92fdda9f,Lake Fire,2016-09-10,40.68192,-122.4096,75.0
fire_00083,f273dffb-e1eb-48dc-b0f9-908857e78095,Storksbill Fire,2016-07-22,38.79549,-121.00299,50.0
fire_00084,0b655a9d-94b3-4095-acfd-d40ac8347318,Rock Fire,2016-07-22,33.00056,-116.9571,28.0
fire_00085,416155ea-f8ff-43cf-abf0-e888584bf5bc,Franklin Fire,2016-07-24,38.01264,-122.1885,40.0
fire_00086,7066c984-1420-4c59-b175-9536da4c5d14,Fork Fire,2016-07-29,37.24006,-119.4741,38.0
fire_00087,f4026428-ad5a-42c7-b68e-959554a31343,Frymire Fire,2016-07-30,37.81434,-120.69521,32.0
fire_00088,4c88252e-34a5-4912-a590-2c4539866c62,Sierra Fire,2016-07-30,37.41896,-121.79669,114.0
fire_00089,4f623d67-d74b-4e8f-92f4-ed728970e20e,Gopher Fire,2016-08-10,33.22558,-117.14547,35.0
fire_00090,140161a1-ca06-448a-87f2-27e688b2d922,Baker Fire,2016-08-03,40.19611,-122.26736,80.0
fire_00091,e5122d1e-2bfc-4fa6-8152-da309e02c004,99 Fire,2016-08-02,39.6708,-121.7192,520.0
fire_00092,057fd4e2-7400-4fc4-9b23-3daf67fc8610,Cold Fire,2016-08-02,38.52513,-122.06788,5731.0
fire_00093,f645bf93-57a3-4fdf-9544-d255f8311dc9,Hart Fire,2016-08-04,35.24504,-118.60344,100.0
fire_00094,8505d2db-7c6f-445e-9bff-407e99cac614,Grub Fire,2016-08-04,37.3228,-119.7738,85.0
fire_00095,38fe21ed-2019-4be9-abdf-bf46ac5f59e3,Deer Fire,2016-08-05,38.2581,-120.8657,26.0
fire_00096,b82b0e22-4155-43dd-ac33-1da015b6d3d2,Oak Fire,2016-08-12,37.06531,-121.68577,25.0
