County,Population,Density,Land Area (mi),Year
Alameda County,1680466,2280.1438263229306,737,2020
Alpine County,1205,1.632791327913279,738,2020
Amador County,40525,68.10924369747899,595,2020
Butte County,210151,128.4541564792176,1636,2020
Calaveras County,45348,44.45882352941177,1020,2020
Colusa County,21864,18.995655951346656,1151,2020
Contra Costa County,1166069,1626.3165969316597,717,2020
Del Norte County,27604,27.439363817097416,1006,2020
El Dorado County,191245,111.97014051522248,1708,2020
Fresno County,1009552,169.4447801275596,5958,2020
Glenn County,28904,21.99695585996956,1314,2020
Humboldt County,136262,38.19002242152467,3568,2020
Imperial County,179612,43.01053639846743,4176,2020
Inyo County,18987,1.8620182406590173,10197,2020
Kern County,905910,111.35955746773202,8135,2020
Kings County,152844,109.88066139468009,1391,2020
Lake County,68199,54.341832669322706,1255,2020
Lassen County,32315,7.1162739484695,4541,2020
Los Angeles County,9992813,2461.2839901477832,4060,2020
Madera County,156345,73.16097332709406,2137,2020
Marin County,261306,502.51153846153846,520,2020
Mariposa County,17119,11.814354727398205,1449,2020
Mendocino County,91367,26.052751639577988,3507,2020
Merced County,281830,145.42311661506707,1938,2020
Modoc County,8681,2.1988348530901725,3948,2020
Mono County,13228,4.338471630042637,3049,2020
Monterey County,438322,133.5533211456429,3282,2020
Napa County,137459,182.7912234042553,752,2020
Nevada County,102265,106.74843423799582,958,2020
Orange County,3185734,4017.3190416141238,793,2020
Placer County,405927,288.50533049040513,1407,2020
Plumas County,19746,7.73443008225617,2553,2020
Riverside County,2422993,336.10667221528644,7209,2020
Sacramento County,1586566,1644.1098445595856,965,2020
San Benito County,64530,46.45788336933045,1389,2020
San Bernardino County,2183391,108.79963125373729,20068,2020
San Diego County,3295298,782.7311163895487,4210,2020
San Francisco County,870518,18521.659574468085,47,2020
San Joaquin County,780617,560.7880747126437,1392,2020
San Luis Obispo County,281884,85.39351711602545,3301,2020
San Mateo County,762479,1698.1714922048998,449,2020
Santa Barbara County,448424,164.01755669348938,2734,2020
Santa Clara County,1931168,1495.8698683191324,1291,2020
Santa Cruz County,270474,607.8067415730337,445,2020
Shasta County,182002,48.199682203389834,3776,2020
Sierra County,3225,3.3840503672612803,953,2020
Siskiyou County,43995,7.006688963210703,6279,2020
Solano County,452723,550.7579075425791,822,2020
Sonoma County,488282,310.0203174603175,1575,2020
Stanislaus County,553257,369.82419786096256,1496,2020
Sutter County,99479,164.97346600331676,603,2020
Tehama County,65687,22.274330281451338,2949,2020
Trinity County,16091,5.061654608367411,3179,2020
Tulare County,473914,98.24087893864014,4824,2020
Tuolumne County,55379,24.934263845114813,2221,2020
Ventura County,843371,458.1048343291689,1841,2020
Yolo County,216291,213.51530108588352,1013,2020
Yuba County,81958,129.68037974683546,632,2020
