County,Population,Density,Land Area (mi),Year
Alameda County,1628997,2210.3080054274083,737,2022
Amador County,41412,69.6,595,2022
Butte County,207303,126.71332518337408,1636,2022
Calaveras County,46563,45.65,1020,2022
Colusa County,21914,19.039096437880104,1151,2022
Contra Costa County,1156966,1613.620641562064,717,2022
Del Norte County,27082,26.92047713717694,1006,2022
El Dorado County,192646,112.7903981264637,1708,2022
Fresno County,1015190,170.3910708291373,5958,2022
Glenn County,28339,21.56697108066971,1314,2022
Humboldt County,135010,37.839125560538115,3568,2022
Imperial County,178713,42.79525862068966,4176,2022
Kern County,916108,112.61315304240934,8135,2022
Kings County,152981,109.97915168943206,1391,2022
Lake County,68191,54.33545816733068,1255,2022
Lassen County,29904,6.585333626954415,4541,2022
Los Angeles County,9721138,2394.3689655172416,4060,2022
Madera County,160256,74.99110903135237,2137,2022
Marin County,256018,492.3423076923077,520,2022
Mariposa County,21554,14.875086266390614,1449,2022
Mendocino County,89783,25.601083547191333,3507,2022
Merced County,290014,149.64602683178535,1938,2022
Monterey County,432858,131.88848263254113,3282,2022
Napa County,134300,178.5904255319149,752,2022
Nevada County,102293,106.7776617954071,958,2022
Orange County,3151184,3973.750315258512,793,2022
Placer County,417772,296.92395167022033,1407,2022
Riverside County,2473902,343.1685393258427,7209,2022
Sacramento County,1584169,1641.6259067357512,965,2022
San Benito County,67579,48.65298776097912,1389,2022
San Bernardino County,2193656,109.31114211680287,20068,2022
San Diego County,3276208,778.1966745843231,4210,2022
San Francisco County,808437,17200.787234042553,47,2022
San Joaquin County,793229,569.8484195402299,1392,2022
San Luis Obispo County,282013,85.43259618297486,3301,2022
San Mateo County,729181,1624.011135857461,449,2022
Santa Barbara County,443837,162.3397951719093,2734,2022
Santa Clara County,1870945,1449.2215336948102,1291,2022
Santa Cruz County,264370,594.0898876404494,445,2022
Shasta County,180930,47.91578389830509,3776,2022
Siskiyou County,43660,6.95333651855391,6279,2022
Solano County,448747,545.9209245742093,822,2022
Sonoma County,482650,306.44444444444446,1575,2022
Stanislaus County,551275,368.49933155080214,1496,2022
Sutter County,98503,163.35489220563846,603,2022
Tehama County,65245,22.124448965751103,2949,2022
Tulare County,477544,98.99336650082918,4824,2022
Tuolumne County,54531,24.55245384961729,2221,2022
Ventura County,832605,452.25692558392177,1841,2022
Yolo County,222115,219.26456071076012,1013,2022
Yuba County,84310,133.40189873417722,632,2022
