County,Population,Density,Land Area (mi),Year
Alameda County,1530915,2077.225237449118,737,2012
Alpine County,1093,1.481029810298103,738,2012
Amador County,37543,63.09747899159664,595,2012
Butte County,219975,134.45904645476773,1636,2012
Calaveras County,45160,44.27450980392157,1020,2012
Colusa County,21323,18.525629887054734,1151,2012
Contra Costa County,1065440,1485.9693165969315,717,2012
Del Norte County,28443,28.273359840954274,1006,2012
El Dorado County,180936,105.93442622950819,1708,2012
Fresno County,939406,157.6713662302786,5958,2012
Glenn County,28139,21.41476407914764,1314,2012
Humboldt County,135243,37.904428251121075,3568,2012
Imperial County,175786,42.094348659003835,4176,2012
Inyo County,18392,1.8036677454153183,10197,2012
Kern County,847970,104.23724646588813,8135,2012
Kings County,151868,109.17900790797987,1391,2012
Lake County,64251,51.19601593625498,1255,2012
Lassen County,34246,7.541510680466858,4541,2012
Los Angeles County,9876482,2432.6310344827584,4060,2012
Madera County,151675,70.97566682264858,2137,2012
Marin County,255376,491.10769230769233,520,2012
Mariposa County,18170,12.53968253968254,1449,2012
Mendocino County,87334,24.902765896777872,3507,2012
Merced County,259297,133.79618163054695,1938,2012
Modoc County,9509,2.4085612968591694,3948,2012
Mono County,14422,4.730075434568711,3049,2012
Monterey County,420456,128.10968921389397,3282,2012
Napa County,137691,183.0997340425532,752,2012
Nevada County,98701,103.02818371607516,958,2012
Orange County,3049271,3845.234552332913,793,2012
Placer County,356328,253.2537313432836,1407,2012
Plumas County,19719,7.723854289071681,2553,2012
Riverside County,2234070,309.9001248439451,7209,2012
Sacramento County,1433730,1485.7305699481865,965,2012
San Benito County,55977,40.30021598272138,1389,2012
San Bernardino County,2060827,102.69219653179191,20068,2012
San Diego County,3137156,745.1676959619953,4210,2012
San Francisco County,815650,17354.255319148935,47,2012
San Joaquin County,694354,498.8175287356322,1392,2012
San Luis Obispo County,271058,82.1139048773099,3301,2012
San Mateo County,728344,1622.1469933184856,449,2012
Santa Barbara County,425453,155.61558156547184,2734,2012
Santa Clara County,1812054,1403.6049573973664,1291,2012
Santa Cruz County,264858,595.1865168539326,445,2012
Shasta County,177588,47.03072033898305,3776,2012
Sierra County,3098,3.2507869884575027,953,2012
Siskiyou County,44615,7.105430801082975,6279,2012
Solano County,416342,506.49878345498786,822,2012
Sonoma County,487421,309.4736507936508,1575,2012
Stanislaus County,517560,345.96256684491976,1496,2012
Sutter County,94482,156.6865671641791,603,2012
Tehama County,63331,21.47541539504917,2949,2012
Trinity County,13685,4.304812834224599,3179,2012
Tulare County,446784,92.61691542288557,4824,2012
Tuolumne County,54830,24.687077892841064,2221,2012
Ventura County,830099,450.8957088538838,1841,2012
Yolo County,201954,199.36229022704836,1013,2012
Yuba County,72489,114.69778481012658,632,2012
