County,Population,Density,Land Area (mi),Year
Alameda County,1666756,2261.5413839891453,737,2018
Alpine County,1089,1.475609756097561,738,2018
Amador County,39405,66.22689075630252,595,2018
Butte County,230339,140.7940097799511,1636,2018
Calaveras County,45698,44.80196078431373,1020,2018
Colusa County,21418,18.608166811468287,1151,2018
Contra Costa County,1150519,1604.629009762901,717,2018
Del Norte County,27740,27.57455268389662,1006,2018
El Dorado County,190746,111.67798594847775,1708,2018
Fresno County,991950,166.49043303121854,5958,2018
Glenn County,27967,21.28386605783866,1314,2018
Humboldt County,136244,38.18497757847533,3568,2018
Imperial County,181523,43.468151340996165,4176,2018
Inyo County,17946,1.7599293909973521,10197,2018
Kern County,893758,109.86576521204671,8135,2018
Kings County,151382,108.82961897915169,1391,2018
Lake County,64317,51.24860557768924,1255,2018
Lassen County,30618,6.742567716362035,4541,2018
Los Angeles County,10073906,2481.2576354679804,4060,2018
Madera County,156882,73.41226017781938,2137,2018
Marin County,259662,499.35,520,2018
Mariposa County,17405,12.011732229123533,1449,2018
Mendocino County,87401,24.921870544625037,3507,2018
Merced County,274151,141.4607843137255,1938,2018
Modoc County,8800,2.2289766970618032,3948,2018
Mono County,14403,4.723843883240407,3049,2018
Monterey County,433950,132.22120658135285,3282,2018
Napa County,138789,184.55984042553192,752,2018
Nevada County,99508,103.8705636743215,958,2018
Orange County,3175973,4005.010088272383,793,2018
Placer County,392330,278.8415067519545,1407,2018
Plumas County,18741,7.340775558166863,2553,2018
Riverside County,2445789,339.2688306283812,7209,2018
Sacramento County,1538746,1594.5554404145078,965,2018
San Benito County,61467,44.25269978401728,1389,2018
San Bernardino County,2166753,107.9705501295595,20068,2018
San Diego County,3333861,791.890973871734,4210,2018
San Francisco County,880696,18738.212765957447,47,2018
San Joaquin County,752491,540.5826149425287,1392,2018
San Luis Obispo County,283354,85.83883671614662,3301,2018
San Mateo County,768681,1711.9844097995547,449,2018
Santa Barbara County,445780,163.05047549378202,2734,2018
Santa Clara County,1932337,1496.7753679318357,1291,2018
Santa Cruz County,273841,615.3730337078651,445,2018
Shasta County,179709,47.592425847457626,3776,2018
Sierra County,2997,3.1448058761804827,953,2018
Siskiyou County,43550,6.935817805383023,6279,2018
Solano County,445725,542.2445255474453,822,2018
Sonoma County,498643,316.5987301587302,1575,2018
Stanislaus County,548126,366.39438502673795,1496,2018
Sutter County,96348,159.7810945273632,603,2018
Tehama County,64018,21.70837572058325,2949,2018
Trinity County,12567,3.953129915067631,3179,2018
Tulare County,464589,96.30783582089552,4824,2018
Tuolumne County,54387,24.487618190004504,2221,2018
Ventura County,848142,460.69636067354696,1841,2018
Yolo County,220118,217.29318854886475,1013,2018
Yuba County,77557,122.71677215189874,632,2018
