County,Population,Density,Land Area (mi),Year
Alameda County,1510271,2049.214382632293,737,2010
Alpine County,1175,1.5921409214092141,738,2010
Amador County,38091,64.01848739495799,595,2010
Butte County,220000,134.47432762836186,1636,2010
Calaveras County,45578,44.6843137254902,1020,2010
Colusa County,21419,18.609035621198956,1151,2010
Contra Costa County,1049025,1463.0753138075313,717,2010
Del Norte County,28610,28.439363817097416,1006,2010
El Dorado County,181058,106.00585480093677,1708,2010
Fresno County,930450,156.1681772406848,5958,2010
Glenn County,28122,21.401826484018265,1314,2010
Humboldt County,134623,37.73066143497758,3568,2010
Imperial County,174528,41.793103448275865,4176,2010
Inyo County,18546,1.8187702265372168,10197,2010
Kern County,839631,103.21216963736939,8135,2010
Kings County,152982,109.97987059669303,1391,2010
Lake County,64665,51.52589641434263,1255,2010
Lassen County,34895,7.684430742127285,4541,2010
Los Angeles County,9818605,2418.3756157635466,4060,2010
Madera County,150865,70.59663079082826,2137,2010
Marin County,252409,485.4019230769231,520,2010
Mariposa County,18251,12.595583160800553,1449,2010
Mendocino County,87841,25.04733390362133,3507,2010
Merced County,255793,131.98813209494324,1938,2010
Modoc County,9686,2.4533941236068895,3948,2010
Mono County,14202,4.657920629714661,3049,2010
Monterey County,415057,126.46465569774527,3282,2010
Napa County,136484,181.49468085106383,752,2010
Nevada County,98764,103.09394572025052,958,2010
Orange County,3010232,3796.005044136192,793,2010
Placer County,348432,247.6417910447761,1407,2010
Plumas County,20007,7.836662749706228,2553,2010
Riverside County,2189641,303.7371341378832,7209,2010
Sacramento County,1418788,1470.2466321243523,965,2010
San Benito County,55269,39.79049676025918,1389,2010
San Bernardino County,2035210,101.41568666533784,20068,2010
San Diego County,3095313,735.2287410926366,4210,2010
San Francisco County,805235,17132.659574468085,47,2010
San Joaquin County,685306,492.3175287356322,1392,2010
San Luis Obispo County,269637,81.68342926385944,3301,2010
San Mateo County,718451,1600.1135857461024,449,2010
Santa Barbara County,423895,155.04572055596196,2734,2010
Santa Clara County,1781642,1380.0480247869868,1291,2010
Santa Cruz County,262382,589.6224719101124,445,2010
Shasta County,177223,46.934057203389834,3776,2010
Sierra County,3240,3.3997901364113328,953,2010
Siskiyou County,44900,7.150820194298455,6279,2010
Solano County,413344,502.85158150851584,822,2010
Sonoma County,483878,307.224126984127,1575,2010
Stanislaus County,514453,343.88569518716577,1496,2010
Sutter County,94737,157.10945273631842,603,2010
Tehama County,63463,21.520176330959647,2949,2010
Trinity County,13786,4.33658383139352,3179,2010
Tulare County,442179,91.66231343283582,4824,2010
Tuolumne County,55365,24.927960378208013,2221,2010
Ventura County,823318,447.2123845736013,1841,2010
Yolo County,200849,198.27147087857847,1013,2010
Yuba County,72155,114.16930379746836,632,2010
