County,Population,Density,Land Area (mi),Year
Alameda County,1610921,2185.7815468113977,737,2014
Amador County,36742,61.75126050420168,595,2014
Butte County,224241,137.0666259168704,1636,2014
Calaveras County,44624,43.74901960784314,1020,2014
Colusa County,21419,18.609035621198956,1151,2014
Contra Costa County,1111339,1549.9846582984658,717,2014
Del Norte County,27212,27.049701789264414,1006,2014
El Dorado County,183087,107.19379391100702,1708,2014
Fresno County,965974,162.1305807317892,5958,2014
Glenn County,27955,21.274733637747335,1314,2014
Humboldt County,134809,37.78279147982063,3568,2014
Imperial County,179091,42.88577586206897,4176,2014
Kern County,874589,107.50940381069454,8135,2014
Kings County,150269,108.0294751976995,1391,2014
Lake County,64184,51.14262948207171,1255,2014
Lassen County,31749,6.99163179916318,4541,2014
Los Angeles County,10116705,2491.7992610837437,4060,2014
Madera County,154548,72.32007487131493,2137,2014
Marin County,260750,501.4423076923077,520,2014
Mendocino County,87869,25.055317935557458,3507,2014
Merced County,266353,137.43704850361198,1938,2014
Monterey County,431344,131.42717854966483,3282,2014
Napa County,141667,188.3869680851064,752,2014
Nevada County,98893,103.22860125260961,958,2014
Orange County,3145515,3966.6015132408575,793,2014
Placer County,371694,264.1748400852878,1407,2014
Riverside County,2329271,323.10597863781385,7209,2014
Sacramento County,1482026,1535.778238341969,965,2014
San Benito County,58267,41.94888408927286,1389,2014
San Bernardino County,2112619,105.27302172613115,20068,2014
San Diego County,3263431,775.161757719715,4210,2014
San Francisco County,852469,18137.63829787234,47,2014
San Joaquin County,715597,514.0783045977012,1392,2014
San Luis Obispo County,279083,84.54498636776734,3301,2014
San Mateo County,758581,1689.489977728285,449,2014
Santa Barbara County,440668,161.18068763716167,2734,2014
Santa Clara County,1894605,1467.548412083656,1291,2014
Santa Cruz County,271804,610.7955056179775,445,2014
Shasta County,179804,47.61758474576271,3776,2014
Siskiyou County,43628,6.94824016563147,6279,2014
Solano County,431131,524.4902676399026,822,2014
Sonoma County,500292,317.6457142857143,1575,2014
Stanislaus County,531997,355.6129679144385,1496,2014
Sutter County,95847,158.9502487562189,603,2014
Tehama County,63067,21.385893523228212,2949,2014
Tulare County,458198,94.98300165837479,4824,2014
Tuolumne County,53831,24.237280504277354,2221,2014
Ventura County,846178,459.62954915806625,1841,2014
Yolo County,207590,204.92596248766043,1013,2014
Yuba County,73966,117.03481012658227,632,2014
