County,Population,Density,Land Area (mi),Year
Alameda County,1512986,2052.898236092266,737,2011
Alpine County,1161,1.5731707317073171,738,2011
Amador County,37886,63.673949579831934,595,2011
Butte County,219949,134.44315403422982,1636,2011
Calaveras County,45468,44.576470588235296,1020,2011
Colusa County,21437,18.624674196351,1151,2011
Contra Costa County,1052540,1467.9776847977685,717,2011
Del Norte County,28566,28.395626242544733,1006,2011
El Dorado County,181136,106.05152224824356,1708,2011
Fresno County,932039,156.43487747566297,5958,2011
Glenn County,28127,21.405631659056315,1314,2011
Humboldt County,135009,37.83884529147982,3568,2011
Imperial County,174716,41.838122605363985,4176,2011
Inyo County,18511,1.815337844464058,10197,2011
Kern County,840996,103.379963122311,8135,2011
Kings County,152370,109.53989935298347,1391,2011
Lake County,64735,51.581673306772906,1255,2011
Lassen County,34831,7.670336930191588,4541,2011
Los Angeles County,9823246,2419.518719211823,4060,2011
Madera County,150986,70.65325222274217,2137,2011
Marin County,252904,486.3538461538462,520,2011
Mariposa County,18277,12.61352657004831,1449,2011
Mendocino County,87799,25.035357855717137,3507,2011
Merced County,256721,132.4669762641899,1938,2011
Modoc County,9694,2.4554204660587637,3948,2011
Mono County,14257,4.6759593309281735,3049,2011
Monterey County,416373,126.8656307129799,3282,2011
Napa County,136759,181.86037234042553,752,2011
Nevada County,98790,103.12108559498957,958,2011
Orange County,3015171,3802.233291298865,793,2011
Placer County,350021,248.77114427860695,1407,2011
Plumas County,19914,7.8002350176263215,2553,2011
Riverside County,2201576,305.3927035649882,7209,2011
Sacramento County,1421383,1472.9357512953368,965,2011
San Benito County,55516,39.96832253419726,1389,2011
San Bernardino County,2040848,101.6966314530596,20068,2011
San Diego County,3103212,737.1049881235155,4210,2011
San Francisco County,805505,17138.40425531915,47,2011
San Joaquin County,687127,493.6257183908046,1392,2011
San Luis Obispo County,269802,81.73341411693426,3301,2011
San Mateo County,719699,1602.8930957683742,449,2011
Santa Barbara County,424231,155.1686174103877,2734,2011
Santa Clara County,1786040,1383.454686289698,1291,2011
Santa Cruz County,263147,591.3415730337078,445,2011
Shasta County,177274,46.947563559322035,3776,2011
Sierra County,3220,3.378803777544596,953,2011
Siskiyou County,44938,7.156872113393852,6279,2011
Solano County,413967,503.6094890510949,822,2011
Sonoma County,484755,307.7809523809524,1575,2011
Stanislaus County,515145,344.3482620320856,1496,2011
Sutter County,94751,157.13266998341626,603,2011
Tehama County,63559,21.55272973889454,2949,2011
Trinity County,13755,4.32683233721296,3179,2011
Tulare County,442969,91.82607794361526,4824,2011
Tuolumne County,55190,24.84916704187303,2221,2011
Ventura County,825097,448.1787072243346,1841,2011
Yolo County,201073,198.49259624876603,1013,2011
Yuba County,72348,114.4746835443038,632,2011
