County,Population,Density,Land Area (mi),Year
Alameda County,1647704,2235.6906377204887,737,2016
Amador County,37383,62.82857142857143,595,2016
Butte County,226864,138.66992665036676,1636,2016
Calaveras County,45171,44.28529411764706,1020,2016
Colusa County,21588,18.755864465682016,1151,2016
Contra Costa County,1135127,1583.1617852161785,717,2016
Del Norte County,27540,27.375745526838966,1006,2016
El Dorado County,185625,108.67974238875878,1708,2016
Fresno County,979915,164.47045988586774,5958,2016
Glenn County,28085,21.373668188736684,1314,2016
Humboldt County,136646,38.297645739910315,3568,2016
Imperial County,180883,43.314894636015325,4176,2016
Kern County,884788,108.76312231100184,8135,2016
Kings County,149785,107.68152408339324,1391,2016
Lake County,64116,51.08844621513944,1255,2016
Lassen County,30870,6.798062100858842,4541,2016
Los Angeles County,10137915,2497.0233990147785,4060,2016
Madera County,154697,72.38979878334113,2137,2016
Marin County,260651,501.25192307692305,520,2016
Mendocino County,87628,24.986598232107212,3507,2016
Merced County,268672,138.63364293085655,1938,2016
Monterey County,435232,132.61182205971969,3282,2016
Napa County,142166,189.0505319148936,752,2016
Nevada County,99107,103.45198329853862,958,2016
Orange County,3172532,4000.670870113493,793,2016
Placer County,380531,270.45557924662404,1407,2016
Riverside County,2387741,331.2166736024414,7209,2016
Sacramento County,1514460,1569.3886010362694,965,2016
San Benito County,59414,42.77465802735781,1389,2016
San Bernardino County,2140096,106.64221646402233,20068,2016
San Diego County,3317749,788.0638954869358,4210,2016
San Francisco County,870887,18529.510638297874,47,2016
San Joaquin County,733709,527.0897988505748,1392,2016
San Luis Obispo County,282887,85.6973644350197,3301,2016
San Mateo County,764797,1703.3340757238307,449,2016
Santa Barbara County,446170,163.19312362838332,2734,2016
Santa Clara County,1919402,1486.7560030983734,1291,2016
Santa Cruz County,274673,617.2426966292135,445,2016
Shasta County,179631,47.57176906779661,3776,2016
Siskiyou County,43603,6.944258639910814,6279,2016
Solano County,440207,535.5316301703162,822,2016
Sonoma County,503070,319.4095238095238,1575,2016
Stanislaus County,541560,362.0053475935829,1496,2016
Sutter County,96651,160.28358208955223,603,2016
Tehama County,63276,21.45676500508647,2949,2016
Tulare County,460437,95.44713930348259,4824,2016
Tuolumne County,53804,24.225123818099956,2221,2016
Ventura County,849738,461.56328082563823,1841,2016
Yolo County,215802,213.0325765054294,1013,2016
Yuba County,75275,119.10601265822785,632,2016
