County,Population,Density,Land Area (mi),Year
Alameda County,1553764,2108.2279511533243,737,2013
Alpine County,1110,1.5040650406504066,738,2013
Amador County,37104,62.35966386554622,595,2013
Butte County,220869,135.00550122249388,1636,2013
Calaveras County,44815,43.93627450980392,1020,2013
Colusa County,21284,18.491746307558646,1151,2013
Contra Costa County,1077548,1502.8563458856345,717,2013
Del Norte County,28190,28.021868787276343,1006,2013
El Dorado County,180575,105.72306791569086,1708,2013
Fresno County,945045,158.6178247734139,5958,2013
Glenn County,27851,21.19558599695586,1314,2013
Humboldt County,134572,37.71636771300449,3568,2013
Imperial County,176575,42.28328544061303,4176,2013
Inyo County,18351,1.7996469549867609,10197,2013
Kern County,853606,104.9300553165335,8135,2013
Kings County,150991,108.54852624011502,1391,2013
Lake County,63954,50.959362549800794,1255,2013
Lassen County,33629,7.405637524774279,4541,2013
Los Angeles County,9935375,2447.136699507389,4060,2013
Madera County,151527,70.90641085634067,2137,2013
Marin County,256061,492.425,520,2013
Mariposa County,17881,12.340234644582472,1449,2013
Mendocino County,87288,24.889649272882806,3507,2013
Merced County,260867,134.6062951496388,1938,2013
Modoc County,9351,2.3685410334346506,3948,2013
Mono County,14331,4.70022958346999,3049,2013
Monterey County,424788,129.42961608775138,3282,2013
Napa County,138538,184.22606382978722,752,2013
Nevada County,98137,102.43945720250522,958,2013
Orange County,3078068,3881.548549810845,793,2013
Placer County,360263,256.0504619758351,1407,2013
Plumas County,19377,7.589894242068155,2553,2013
Riverside County,2261204,313.66403107227075,7209,2013
Sacramento County,1444852,1497.255958549223,965,2013
San Benito County,56599,40.74802015838733,1389,2013
San Bernardino County,2073512,103.32429738887781,20068,2013
San Diego County,3174335,753.998812351544,4210,2013
San Francisco County,828876,17635.659574468085,47,2013
San Joaquin County,699593,502.58117816091954,1392,2013
San Luis Obispo County,274160,83.05362011511663,3301,2013
San Mateo County,739224,1646.378619153675,449,2013
Santa Barbara County,429699,157.1686174103877,2734,2013
Santa Clara County,1837853,1423.588690937258,1291,2013
Santa Cruz County,266340,598.5168539325842,445,2013
Shasta County,177875,47.10672669491525,3776,2013
Sierra County,3067,3.2182581322140607,953,2013
Siskiyou County,44079,7.0200668896321075,6279,2013
Solano County,419674,510.5523114355231,822,2013
Sonoma County,489993,311.1066666666667,1575,2013
Stanislaus County,520424,347.8770053475936,1496,2013
Sutter County,94189,156.20066334991708,603,2013
Tehama County,63212,21.435062733129875,2949,2013
Trinity County,13489,4.243158225857187,3179,2013
Tulare County,449779,93.23776948590381,4824,2013
Tuolumne County,54221,24.41287708239532,2221,2013
Ventura County,833516,452.75176534492124,1841,2013
Yolo County,204576,201.95064165844028,1013,2013
Yuba County,72774,115.14873417721519,632,2013
