County,Population,Density,Land Area (mi),Year
Alameda County,1671329,2267.7462686567164,737,2019
Alpine County,1129,1.529810298102981,738,2019
Amador County,39752,66.81008403361345,595,2019
Butte County,219186,133.9767726161369,1636,2019
Calaveras County,45905,45.004901960784316,1020,2019
Colusa County,21547,18.720243266724587,1151,2019
Contra Costa County,1153526,1608.8228730822873,717,2019
Del Norte County,27812,27.646123260437374,1006,2019
El Dorado County,192843,112.90573770491804,1708,2019
Fresno County,999101,167.69066800939913,5958,2019
Glenn County,28393,21.60806697108067,1314,2019
Humboldt County,135558,37.99271300448431,3568,2019
Imperial County,181215,43.394396551724135,4176,2019
Inyo County,18039,1.7690497205060312,10197,2019
Kern County,900202,110.65789797172711,8135,2019
Kings County,152940,109.94967649173256,1391,2019
Lake County,64386,51.30358565737052,1255,2019
Lassen County,30573,6.7326580048447475,4541,2019
Los Angeles County,10039107,2472.6864532019704,4060,2019
Madera County,157327,73.6204960224614,2137,2019
Marin County,258826,497.7423076923077,520,2019
Mariposa County,17203,11.87232574189096,1449,2019
Mendocino County,86749,24.735956658112347,3507,2019
Merced County,277680,143.28173374613004,1938,2019
Modoc County,8841,2.2393617021276597,3948,2019
Mono County,14444,4.737290915054116,3049,2019
Monterey County,434061,132.25502742230347,3282,2019
Napa County,137744,183.17021276595744,752,2019
Nevada County,99755,104.12839248434238,958,2019
Orange County,3175692,4004.655737704918,793,2019
Placer County,398329,283.1051883439943,1407,2019
Plumas County,18807,7.36662749706228,2553,2019
Riverside County,2470546,342.7030101262311,7209,2019
Sacramento County,1552058,1608.3502590673575,965,2019
San Benito County,62808,45.21814254859611,1389,2019
San Bernardino County,2180085,108.63489136934423,20068,2019
San Diego County,3338330,792.9524940617578,4210,2019
San Francisco County,881549,18756.36170212766,47,2019
San Joaquin County,762148,547.5201149425287,1392,2019
San Luis Obispo County,283111,85.76522265980006,3301,2019
San Mateo County,766573,1707.2895322939867,449,2019
Santa Barbara County,446499,163.3134601316752,2734,2019
Santa Clara County,1927852,1493.3013168086754,1291,2019
Santa Cruz County,273213,613.9617977528089,445,2019
Shasta County,180080,47.690677966101696,3776,2019
Sierra County,3005,3.1532004197271775,953,2019
Siskiyou County,43539,6.934065934065934,6279,2019
Solano County,447643,544.5778588807785,822,2019
Sonoma County,494336,313.864126984127,1575,2019
Stanislaus County,550660,368.0882352941176,1496,2019
Sutter County,96971,160.81426202321725,603,2019
Tehama County,65084,22.06985418786029,2949,2019
Trinity County,12285,3.8644227744573767,3179,2019
Tulare County,466195,96.64075456053068,4824,2019
Tuolumne County,54478,24.528590724898695,2221,2019
Ventura County,846006,459.5361216730038,1841,2019
Yolo County,220500,217.67028627838104,1013,2019
Yuba County,78668,124.4746835443038,632,2019
