County,Population,Density,Land Area (mi),Year
Alameda County,1638215,2222.8154681139754,737,2015
Amador County,37001,62.18655462184874,595,2015
Butte County,225411,137.7817848410758,1636,2015
Calaveras County,44828,43.949019607843134,1020,2015
Colusa County,21482,18.663770634231103,1151,2015
Contra Costa County,1126745,1571.4714086471408,717,2015
Del Norte County,27254,27.09145129224652,1006,2015
El Dorado County,184452,107.99297423887587,1708,2015
Fresno County,974861,163.6221886539107,5958,2015
Glenn County,28017,21.32191780821918,1314,2015
Humboldt County,135727,38.04007847533632,3568,2015
Imperial County,180191,43.14918582375479,4176,2015
Kern County,882176,108.4420405654579,8135,2015
Kings County,150965,108.52983465132998,1391,2015
Lake County,64591,51.46693227091634,1255,2015
Lassen County,31345,6.902664611319093,4541,2015
Los Angeles County,10170292,2504.99802955665,4060,2015
Madera County,154998,72.53065044454843,2137,2015
Marin County,261221,502.3480769230769,520,2015
Mendocino County,87649,24.99258625605931,3507,2015
Merced County,268455,138.52167182662538,1938,2015
Monterey County,433898,132.20536258379036,3282,2015
Napa County,142456,189.43617021276594,752,2015
Nevada County,98877,103.21189979123173,958,2015
Orange County,3169776,3997.1954602774276,793,2015
Placer County,375391,266.8024164889837,1407,2015
Riverside County,2361026,327.5108891663199,7209,2015
Sacramento County,1501335,1555.7875647668393,965,2015
San Benito County,58792,42.326853851691865,1389,2015
San Bernardino County,2128133,106.04609328283836,20068,2015
San Diego County,3299521,783.7342042755345,4210,2015
San Francisco County,864816,18400.340425531915,47,2015
San Joaquin County,726106,521.6278735632184,1392,2015
San Luis Obispo County,281401,85.24719781884278,3301,2015
San Mateo County,765135,1704.086859688196,449,2015
Santa Barbara County,444769,162.68068763716167,2734,2015
Santa Clara County,1918044,1485.704105344694,1291,2015
Santa Cruz County,274146,616.0584269662921,445,2015
Shasta County,179533,47.545815677966104,3776,2015
Siskiyou County,43554,6.936454849498328,6279,2015
Solano County,436092,530.5255474452555,822,2015
Sonoma County,502146,318.8228571428571,1575,2015
Stanislaus County,538388,359.8850267379679,1496,2015
Sutter County,96463,159.97180762852403,603,2015
Tehama County,63308,21.467616141064767,2949,2015
Tulare County,459863,95.32815091210614,4824,2015
Tuolumne County,53709,24.182350292660963,2221,2015
Ventura County,850536,461.9967409016839,1841,2015
Yolo County,213016,210.28232971372162,1013,2015
Yuba County,74492,117.86708860759494,632,2015
