County,Population,Density,Land Area (mi),Year
Alameda County,1648556,2236.8466757123474,737,2021
Amador County,41259,69.34285714285714,595,2021
Butte County,208309,127.32823960880195,1636,2021
Calaveras County,46221,45.31470588235294,1020,2021
Colusa County,21918,19.04257167680278,1151,2021
Contra Costa County,1161413,1619.8228730822873,717,2021
Del Norte County,28100,27.932405566600398,1006,2021
El Dorado County,193221,113.12704918032787,1708,2021
Fresno County,1013581,170.1210137630077,5958,2021
Glenn County,28805,21.921613394216134,1314,2021
Humboldt County,136310,38.20347533632287,3568,2021
Imperial County,179851,43.06776819923372,4176,2021
Kern County,917673,112.80553165334972,8135,2021
Kings County,153443,110.31128684399712,1391,2021
Lake County,68766,54.79362549800797,1255,2021
Lassen County,33159,7.302136093371504,4541,2021
Los Angeles County,9829544,2421.0699507389163,4060,2021
Madera County,159410,74.59522695367338,2137,2021
Marin County,260206,500.3961538461538,520,2021
Mariposa County,22542,15.556935817805384,1449,2021
Mendocino County,91305,26.03507271171942,3507,2021
Merced County,286461,147.812693498452,1938,2021
Monterey County,437325,133.24954296160877,3282,2021
Napa County,136207,181.12632978723406,752,2021
Nevada County,103487,108.02400835073068,958,2021
Orange County,3167809,3994.7150063051704,793,2021
Placer County,412300,293.0348258706468,1407,2021
Riverside County,2458395,341.0174781523096,7209,2021
Sacramento County,1588921,1646.5502590673575,965,2021
San Benito County,66677,48.00359971202304,1389,2021
San Bernardino County,2194710,109.36366354395057,20068,2021
San Diego County,3286069,780.5389548693587,4210,2021
San Francisco County,815201,17344.702127659573,47,2021
San Joaquin County,789410,567.1048850574713,1392,2021
San Luis Obispo County,283159,85.77976370796728,3301,2021
San Mateo County,737888,1643.403118040089,449,2021
Santa Barbara County,446475,163.3046817849305,2734,2021
Santa Clara County,1885508,1460.5019364833463,1291,2021
Santa Cruz County,267792,601.7797752808989,445,2021
Shasta County,182139,48.235963983050844,3776,2021
Siskiyou County,44118,7.026278069756331,6279,2021
Solano County,451716,549.5328467153284,822,2021
Sonoma County,485887,308.49968253968257,1575,2021
Stanislaus County,552999,369.6517379679144,1496,2021
Sutter County,99063,164.28358208955223,603,2021
Tehama County,65498,22.21024075957952,2949,2021
Tulare County,477054,98.89179104477611,4824,2021
Tuolumne County,55810,25.128320576316973,2221,2021
Ventura County,839784,456.15643671917434,1841,2021
Yolo County,216986,214.20138203356368,1013,2021
Yuba County,83421,131.99525316455697,632,2021
