County,Population,Density,Land Area (mi),Year
Alameda County,1622188,2201.069199457259,737,2023
Amador County,41811,70.27058823529411,595,2023
Butte County,207172,126.63325183374083,1636,2023
Calaveras County,46565,45.65196078431372,1020,2023
Colusa County,22037,19.145960034752388,1151,2023
Contra Costa County,1155025,1610.9135285913528,717,2023
Del Norte County,26589,26.430417495029822,1006,2023
El Dorado County,192215,112.538056206089,1708,2023
Fresno County,1017162,170.72205438066464,5958,2023
Glenn County,28129,21.40715372907154,1314,2023
Humboldt County,133985,37.55184977578475,3568,2023
Imperial County,179057,42.877634099616856,4176,2023
Kern County,913820,112.3318992009834,8135,2023
Kings County,152682,109.76419841840402,1391,2023
Lake County,67878,54.08605577689243,1255,2023
Lassen County,28861,6.355648535564853,4541,2023
Los Angeles County,9663345,2380.134236453202,4060,2023
Madera County,162858,76.20870379036032,2137,2023
Marin County,254407,489.2442307692308,520,2023
Mendocino County,89108,25.40861134873111,3507,2023
Merced County,291920,150.6295149638803,1938,2023
Monterey County,430723,131.23796465569774,3282,2023
Napa County,133216,177.14893617021278,752,2023
Nevada County,102037,106.51043841336117,958,2023
Orange County,3135755,3954.293820933165,793,2023
Placer County,423561,301.03837953091687,1407,2023
Riverside County,2492442,345.7403245942572,7209,2023
Sacramento County,1584288,1641.7492227979274,965,2023
San Benito County,68175,49.08207343412527,1389,2023
San Bernardino County,2195611,109.40856089296392,20068,2023
San Diego County,3269973,776.7156769596199,4210,2023
San Francisco County,808988,17212.510638297874,47,2023
San Joaquin County,800965,575.4058908045977,1392,2023
San Luis Obispo County,281639,85.31929718267192,3301,2023
San Mateo County,726353,1617.7126948775056,449,2023
Santa Barbara County,441257,161.39612289685442,2734,2023
Santa Clara County,1877592,1454.3702556158016,1291,2023
Santa Cruz County,261547,587.7460674157303,445,2023
Shasta County,180366,47.766419491525426,3776,2023
Siskiyou County,42905,6.833094441790094,6279,2023
Solano County,449218,546.4939172749391,822,2023
Sonoma County,481812,305.91238095238094,1575,2023
Stanislaus County,551430,368.6029411764706,1496,2023
Sutter County,97948,162.43449419568822,603,2023
Tehama County,64896,22.00610376398779,2949,2023
Tulare County,479468,99.3922056384743,4824,2023
Tuolumne County,54204,24.40522287257992,2221,2023
Ventura County,829590,450.6192286800652,1841,2023
Yolo County,220544,217.7137216189536,1013,2023
Yuba County,85722,135.6360759493671,632,2023
