threshold,accuracy,balanced_accuracy,macro_f1,high_precision,high_recall,high_f1,predicted_high_count,actual_high_count
0.1,0.15813953488372093,0.5155714889462103,0.15666175450762831,0.10656753407682776,0.9662921348314607,0.19196428571428573,807,89
0.15000000000000002,0.24767441860465117,0.5406592926157479,0.24501932838443471,0.1125,0.9101123595505618,0.20024721878862795,720,89
0.20000000000000004,0.3813953488372093,0.5705125402585289,0.35171960370899363,0.12265758091993186,0.8089887640449438,0.21301775147928995,587,89
0.25000000000000006,0.5186046511627908,0.62218918958306,0.4456416133130714,0.14596949891067537,0.7528089887640449,0.24452554744525548,459,89
0.30000000000000004,0.6209302325581395,0.6395021786968624,0.505139936174419,0.16619718309859155,0.6629213483146067,0.26576576576576577,355,89
0.3500000000000001,0.727906976744186,0.6643786706305834,0.569186240676834,0.20883534136546184,0.5842696629213483,0.3076923076923077,249,89
0.40000000000000013,0.7883720930232558,0.6583453562424402,0.6002043422733079,0.2430939226519337,0.4943820224719101,0.32592592592592595,181,89
0.45000000000000007,0.8174418604651162,0.6298328451303575,0.6016063214236186,0.2536231884057971,0.39325842696629215,0.30837004405286345,138,89
0.5000000000000001,0.8639534883720931,0.6209868986723794,0.6240345849322388,0.3333333333333333,0.3146067415730337,0.3236994219653179,84,89
0.5500000000000002,0.8895348837209303,0.6004678004634285,0.6232783544134531,0.4375,0.23595505617977527,0.30656934306569344,48,89
0.6000000000000002,0.8941860465116279,0.5583366123085443,0.5759989164296356,0.46153846153846156,0.1348314606741573,0.20869565217391303,26,89
0.6500000000000001,0.8953488372093024,0.5291683061542721,0.5310114156911219,0.46153846153846156,0.06741573033707865,0.11764705882352941,13,89
0.7000000000000002,0.8965116279069767,0.5099389381949606,0.49415442367045354,0.5,0.02247191011235955,0.043010752688172046,4,89
0.7500000000000002,0.8953488372093024,0.4993514915693904,0.4723926380368098,0.0,0.0,0.0,1,89
0.8000000000000002,0.8965116279069767,0.5,0.4727161250766401,0.0,0.0,0.0,0,89
0.8500000000000002,0.8965116279069767,0.5,0.4727161250766401,0.0,0.0,0.0,0,89
0.9000000000000002,0.8965116279069767,0.5,0.4727161250766401,0.0,0.0,0.0,0,89
