task,model,feature_set,accuracy,balanced_accuracy,macro_f1,weighted_f1,large_extreme_recall,high_recall,high_precision,roc_auc,average_precision
binary_high_severity,Random Forest,gridmet_terrain_drought,0.8639534883720931,0.6209868986723794,0.6240345849322388,0.8622073537036807,,0.3146067415730337,0.3333333333333333,0.6942100584386248,0.2732244779879969
binary_high_severity,Random Forest,gridmet_terrain,0.8651162790697674,0.6116964689080284,0.6173907707412862,0.8615364306835177,,0.29213483146067415,0.3291139240506329,0.69139742636879,0.26257209591922653
binary_high_severity,Random Forest,gridmet_terrain_drought_landfire,0.8651162790697674,0.6116964689080284,0.6173907707412862,0.8615364306835177,,0.29213483146067415,0.3291139240506329,0.7080546204404028,0.2636069631407062
binary_high_severity,Random Forest,gridmet_terrain_drought_landfire_expanded_codes,0.8174418604651162,0.6497107215202786,0.6130954939465577,0.8360782490916089,,0.43820224719101125,0.2671232876712329,0.7077631559772075,0.28236216877237325
binary_high_severity,XGBoost,gridmet_terrain_drought_landfire,0.786046511627907,0.657048339381221,0.598228794280143,0.8160717929726176,,0.4943820224719101,0.24043715846994534,0.6990046488581879,0.2689730238325845
binary_high_severity,XGBoost,gridmet_terrain_drought_landfire_expanded_codes,0.7732558139534884,0.6697926230344365,0.5967189224675896,0.808314985724853,,0.5393258426966292,0.2376237623762376,0.7156618429298008,0.27465099777108276
binary_high_severity,XGBoost,gridmet_terrain,0.7616279069767442,0.65336860053338,0.5828512342918527,0.7994155163009041,,0.5168539325842697,0.22115384615384615,0.7066847374633849,0.2896888407768507
binary_high_severity,XGBoost,gridmet_terrain_drought,0.7581395348837209,0.6514230752415512,0.580093896713615,0.7969280489136369,,0.5168539325842697,0.21800947867298578,0.7037263731619522,0.29146753424327054
binary_high_severity,Logistic Regression,gridmet_terrain_drought,0.6558139534883721,0.6490184934201897,0.5260472910072612,0.7227158772564115,,0.6404494382022472,0.17757009345794392,0.6976201926580101,0.2502614867959532
binary_high_severity,Logistic Regression,gridmet_terrain_drought_landfire_expanded_codes,0.6906976744186046,0.5939317098762733,0.5229197080291971,0.7472816160244441,,0.47191011235955055,0.16091954022988506,0.6435389615121176,0.21655838537624544
binary_high_severity,Logistic Regression,gridmet_terrain_drought_landfire,0.6511627906976745,0.6414549906002711,0.5212434310145186,0.7190224562464655,,0.6292134831460674,0.17337461300309598,0.6950115857124121,0.2511058994089904
binary_high_severity,Logistic Regression,gridmet_terrain,0.6465116279069767,0.6388609568778327,0.5180509674374705,0.7153711711316221,,0.6292134831460674,0.1712538226299694,0.6969643976158206,0.24916493085367464
binary_high_severity,Majority baseline,none,0.8965116279069767,0.5,0.4727161250766401,0.8475910056606734,,0.0,0.0,,
multiclass,Random Forest,gridmet_terrain_drought_landfire,0.4965116279069767,0.35430855127350747,0.33533066892408875,0.5223302951773725,0.4044943820224719,,,,
multiclass,Random Forest,gridmet_terrain_drought,0.4755813953488372,0.3614293299524839,0.3325359753467287,0.5058659140270758,0.42696629213483145,,,,
multiclass,Random Forest,gridmet_terrain,0.47325581395348837,0.34740720272635167,0.32335299191068834,0.5027014761345607,0.39325842696629215,,,,
multiclass,Random Forest,gridmet_terrain_drought_landfire_expanded_codes,0.46511627906976744,0.34424022994110604,0.3133306803074714,0.49876215024112613,0.47191011235955055,,,,
multiclass,XGBoost,gridmet_terrain_drought_landfire_expanded_codes,0.436046511627907,0.3329181769419567,0.30106303903438203,0.48098339874665874,0.5393258426966292,,,,
multiclass,XGBoost,gridmet_terrain_drought,0.42790697674418604,0.33191611267330917,0.2965415597707275,0.4706602610460752,0.5280898876404494,,,,
multiclass,XGBoost,gridmet_terrain_drought_landfire,0.4290697674418605,0.3247376319967058,0.29606587399406525,0.4698367354276574,0.5168539325842697,,,,
multiclass,XGBoost,gridmet_terrain,0.42674418604651165,0.32425082218574086,0.2924168812117701,0.4717625016443082,0.5280898876404494,,,,
multiclass,Logistic Regression,gridmet_terrain_drought_landfire_expanded_codes,0.34651162790697676,0.32699464698838915,0.2650561650187392,0.39206354731188864,0.5280898876404494,,,,
multiclass,Logistic Regression,gridmet_terrain_drought_landfire,0.336046511627907,0.31799327080929085,0.2583015114194111,0.3895775069938826,0.6404494382022472,,,,
multiclass,Logistic Regression,gridmet_terrain,0.3174418604651163,0.3194188894126316,0.24705930891961841,0.36858639875534654,0.651685393258427,,,,
multiclass,Logistic Regression,gridmet_terrain_drought,0.3081395348837209,0.29829589476022517,0.24022025481128223,0.3593837292157275,0.6179775280898876,,,,
multiclass,Majority baseline,none,0.6523255813953488,0.25,0.19739619985925405,0.5150663633536815,0.0,,,,
